cores,cpu,gpu,mem,skip_index,start_time,end_time,clean minibatches
6,729600,216750000,3199000000,10,10.14049697,20.45249343,40
12,729600,216750000,2133000000,10,10.15800381,20.597054,40
4,883200,1300500000,665600000,10,9.785563707,17.60389256,40
4,883200,1032750000,2133000000,10,8.126174688,13.41138434,40
2,883200,930750000,3199000000,10,12.37730289,25.24360347,40
2,883200,726750000,2133000000,10,12.89682674,27.07828069,40
2,883200,726750000,3199000000,10,11.90658855,24.98939204,40
2,883200,726750000,665600000,10,15.38489389,32.47038531,40
2,883200,624750000,2133000000,10,13.50605297,27.35758901,40
2,883200,522750000,3199000000,10,12.21167994,24.81394577,40
10,883200,522750000,665600000,10,9.28501749,17.71977568,40
12,883200,522750000,665600000,10,9.327323914,17.78514385,40
2,883200,420750000,2133000000,10,13.20824933,26.59199619,40
4,883200,420750000,665600000,10,9.859553337,18.77254987,40
2,883200,318750000,2133000000,10,12.79348207,24.94730949,40
8,883200,318750000,665600000,10,9.297359943,18.93741798,40
10,883200,318750000,665600000,10,9.272886515,18.93000603,40
4,883200,216750000,3199000000,10,9.174513102,19.45104909,40
2,1036800,1236750000,665600000,10,12.60686445,26.29408813,40
2,1036800,1134750000,2133000000,10,11.06054211,22.89701343,40
2,1036800,1032750000,3199000000,10,10.4200139,21.27026057,40
2,1036800,726750000,3199000000,10,10.89323092,21.68195105,40
2,1036800,624750000,2133000000,10,11.3321979,23.13818336,40
4,1036800,522750000,665600000,10,9.493824244,18.21324873,40
2,1036800,420750000,2133000000,10,10.90282774,22.39368582,40
2,1036800,318750000,3199000000,10,10.43995833,21.02270007,40
6,1036800,318750000,665600000,10,8.089735508,17.68999171,40
10,1036800,318750000,665600000,10,8.122106075,17.64504242,40
2,1036800,216750000,2133000000,10,12.23229504,23.96761847,40
2,1036800,216750000,665600000,10,14.71982503,28.24815226,40
4,1036800,216750000,3199000000,10,7.741194248,17.88963842,40
6,1036800,216750000,3199000000,10,7.725148201,17.74517703,40
8,1036800,216750000,2133000000,10,7.645123005,17.76545167,40
8,1036800,216750000,3199000000,10,7.534568548,17.50005913,40
10,1036800,216750000,3199000000,10,7.494826794,17.40391898,40
12,1036800,216750000,3199000000,10,7.649643421,17.57947397,40
2,1190400,1300500000,665600000,10,11.84018469,24.05543399,40
