cores,cpu,gpu,mem,skip_index,start_time,end_time,clean minibatches
4,2201600,1300500000,3199000000,6,15.97760487,31.36679864,45
6,2201600,1236750000,2133000000,6,16.21436143,32.70292735,45
4,2201600,1134750000,665600000,6,20.68220854,45.39797854,45
2,2201600,1032750000,3199000000,6,16.7229259,33.7817049,45
4,422400,1236750000,665600000,5,69.21225929,146.9742823,46
2,883200,1300500000,2133000000,5,18.38944364,36.65271544,46
12,883200,1300500000,3199000000,5,33.69394088,68.75461221,46
8,1036800,1300500000,2133000000,5,29.27502108,60.92161179,46
6,1036800,1236750000,3199000000,5,27.90777564,59.27517176,46
2,1036800,1134750000,3199000000,5,34.11811709,69.6791513,46
12,1036800,1134750000,3199000000,5,29.06914258,60.4465425,46
2,1190400,1300500000,2133000000,5,31.53063726,63.82733655,46
10,1190400,1300500000,3199000000,5,25.39736915,52.07266045,46
12,1190400,1300500000,3199000000,5,25.4100101,53.05947208,46
10,1190400,1236750000,2133000000,5,26.75712442,53.67520833,46
10,1190400,1236750000,665600000,5,29.13622403,62.1938951,46
6,1190400,1032750000,665600000,5,29.53417015,61.92711282,46
8,1190400,1032750000,2133000000,5,26.07841659,54.41196704,46
6,1344000,1300500000,3199000000,5,23.06514025,47.21059179,46
4,1344000,1236750000,2133000000,5,25.52726698,51.43111992,46
12,1344000,1236750000,2133000000,5,24.51332355,50.58107734,46
8,1344000,1134750000,665600000,5,26.92782927,57.75534916,46
8,1344000,1032750000,2133000000,5,24.62591124,49.31538558,46
10,1344000,1032750000,3199000000,5,23.25575304,48.69133997,46
10,1344000,1032750000,665600000,5,27.11393309,57.9195478,46
12,1344000,828750000,665600000,5,27.8393364,58.66356254,46
6,1344000,624750000,3199000000,5,22.99452972,47.44128871,46
2,1497600,1236750000,3199000000,5,24.69852543,49.26963019,46
4,1497600,1134750000,665600000,5,25.65732193,55.41754985,46
10,1497600,930750000,665600000,5,25.5496428,55.07436442,46
10,1497600,726750000,665600000,5,25.54237604,54.99617958,46
6,1651200,1300500000,2133000000,5,16.42183065,32.94958401,46
10,1651200,1300500000,665600000,5,22.87338758,47.07808661,46
2,1651200,1236750000,3199000000,5,21.79375172,44.8601625,46
