powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim,powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,num_train_batches_nn,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,time_cond1,time_cond2,powermode_nn_50,infer_time_nn_50,bs_nn_50,interleaved_power_nn_50,num_train_batches_nn_50,powermode_random_50,infer_time_random_50,bs_random_50,interleaved_power_random_50,num_train_batches_random_50
8_2201600_930750000_3199000000,2.135856032371521,4.0,34.196,36,1.0,13.0,0.5,30.0,12_2201600_930750000_3199000000,2.0701279640197754,4.0,35.6,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_930750000_3199000000,2.135856032371521,4.0,34.196,37,1.0,13.0,0.5,30.0,12_2201600_930750000_3199000000,2.0701279640197754,4.0,35.6,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_930750000_3199000000,2.135856032371521,4.0,34.196,38,1.0,13.0,0.5,30.0,12_2201600_930750000_3199000000,2.0701279640197754,4.0,35.6,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_930750000_3199000000,2.135856032371521,4.0,34.196,39,1.0,13.0,0.5,30.0,4_1958400_1300500000_3199000000,2.056719899177552,4.0,38.7095,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_1134750000_3199000000,2.0314080715179443,4.0,39.1,40,1.0,13.0,0.5,30.0,8_2201600_1134750000_3199000000,2.0314080715179443,4.0,39.1,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_1134750000_3199000000,2.0314080715179443,4.0,39.1,41,1.0,13.0,0.5,30.0,8_2201600_1134750000_3199000000,2.0314080715179443,4.0,39.1,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_1134750000_3199000000,2.0314080715179443,4.0,39.1,42,1.0,13.0,0.5,30.0,8_2201600_1134750000_3199000000,2.0314080715179443,4.0,39.1,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_1300500000_3199000000,1.943744003772736,4.0,42.832,43,1.0,13.0,0.5,30.0,8_2201600_1300500000_3199000000,1.943744003772736,4.0,42.832,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_1300500000_3199000000,1.943744003772736,4.0,42.832,44,1.0,13.0,0.5,30.0,12_2201600_1300500000_3199000000,1.9236800074577327,4.0,43.839,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_1300500000_3199000000,1.943744003772736,4.0,42.832,45,1.0,13.0,0.5,30.0,12_2201600_1300500000_3199000000,1.9236800074577327,4.0,43.839,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_1300500000_3199000000,1.943744003772736,4.0,42.832,46,1.0,13.0,0.5,30.0,12_2201600_1300500000_3199000000,1.9236800074577327,4.0,43.839,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_1300500000_3199000000,1.943744003772736,4.0,42.832,47,1.0,13.0,0.5,30.0,12_2201600_1300500000_3199000000,1.9236800074577327,4.0,43.839,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_1300500000_3199000000,1.943744003772736,4.0,42.832,48,1.0,13.0,0.5,30.0,12_2201600_1300500000_3199000000,1.9236800074577327,4.0,43.839,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_1300500000_3199000000,1.943744003772736,4.0,42.832,49,1.0,13.0,0.5,30.0,12_2201600_1300500000_3199000000,1.9236800074577327,4.0,43.839,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_1300500000_3199000000,1.943744003772736,4.0,42.832,50,1.0,13.0,0.5,30.0,12_2201600_1300500000_3199000000,1.9236800074577327,4.0,43.839,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
,,,,10,,25.0,0.6,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
,,,,11,,25.0,0.6,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
,,,,12,,25.0,0.6,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
,,,,13,,25.0,0.6,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
,,,,14,,25.0,0.6,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
8_1651200_114750000_665600000,8.492335796356201,16.0,14.851,15,0.0,12.0,0.6,30.0,8_1651200_114750000_665600000,8.492335796356201,16.0,14.851,0.0,1.0,,,,,,4_1036800_114750000_665600000,8.888927936553955,4.0,14.451,0.0,True,,,,,,,,,8_1344000_114750000_665600000,8.826224327087402,16.0,14.55,0.0
8_1344000_114750000_2133000000,8.428063869476318,16.0,15.454,16,0.0,12.0,0.6,30.0,4_422400_318750000_665600000,8.411535739898682,16.0,15.956,1.0,1.0,12_1651200_114750000_665600000,69.83606338500977,4.0,15.252,0.0,4_1958400_114750000_665600000,8.428688049316406,16.0,15.252,0.0,True,0.0698360633850097,0.2031693967183431,2.095081901550293,,,,,,8_1344000_114750000_2133000000,8.428063869476318,16.0,15.454,0.0
8_1651200_114750000_3199000000,8.262288093566895,16.0,16.557,17,0.0,12.0,0.6,30.0,4_1036800_318750000_665600000,5.277968168258667,16.0,16.958,1.0,1.0,4_1651200_318750000_665600000,39.49179267883301,4.0,17.46,0.0,8_729600_318750000_665600000,6.126623868942261,16.0,16.658,1.0,True,0.039491792678833,0.1728251260121663,1.1847537803649903,,,,,,8_1344000_114750000_2133000000,8.428063869476318,16.0,15.454,0.0
8_1958400_114750000_3199000000,8.196928024291992,16.0,17.0675,18,0.0,12.0,0.6,30.0,4_1958400_318750000_665600000,4.168464183807373,16.0,17.861,1.0,1.0,4_1651200_318750000_665600000,39.49179267883301,4.0,17.46,0.0,4_1651200_318750000_665600000,4.83457612991333,16.0,17.46,1.0,True,0.039491792678833,0.1728251260121663,1.1847537803649903,,,,,,12_2201600_114750000_2133000000,8.13755178451538,4.0,17.357,0.0
8_1958400_114750000_3199000000,8.196928024291992,16.0,17.0675,19,0.0,12.0,0.6,30.0,4_1958400_522750000_665600000,3.808495998382568,16.0,18.573,1.0,1.0,12_1958400_318750000_665600000,24.57870388031006,1.0,18.659,0.0,12_1958400_318750000_665600000,4.137488126754761,16.0,18.659,1.0,True,0.02457870388031,0.0579120372136433,0.7373611164093017,,,,,,8_1344000_522750000_665600000,4.745248079299927,16.0,18.1165,1.0
8_1958400_522750000_665600000,4.026656150817871,16.0,19.364,20,1.0,13.0,0.6,30.0,4_729600_522750000_2133000000,5.162512063980103,16.0,19.864,2.0,1.0,12_1958400_318750000_665600000,24.57870388031006,1.0,18.659,0.0,8_1958400_318750000_2133000000,3.4901280403137207,16.0,19.979,1.0,True,0.02457870388031,0.0579120372136433,0.7373611164093017,,,,,,8_1344000_522750000_665600000,4.745248079299927,16.0,18.1165,1.0
8_2201600_522750000_665600000,3.8727680444717407,16.0,20.169,21,1.0,13.0,0.6,30.0,4_729600_726750000_2133000000,4.723039865493774,16.0,20.462,2.0,1.0,12_1958400_318750000_665600000,24.57870388031006,1.0,18.659,0.0,4_729600_726750000_2133000000,4.723039865493774,16.0,20.462,2.0,True,0.02457870388031,0.0579120372136433,0.7373611164093017,,,,,,8_1344000_522750000_665600000,4.745248079299927,16.0,18.1165,1.0
8_1344000_522750000_2133000000,3.3871039152145386,16.0,21.684,22,2.0,13.0,0.6,30.0,8_1344000_522750000_2133000000,3.3871039152145386,16.0,21.684,2.0,1.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,21.179,0.0,4_729600_726750000_2133000000,4.723039865493774,16.0,20.462,2.0,True,0.0193475675582885,0.0526809008916219,0.5804270267486571,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,8_1344000_522750000_665600000,4.745248079299927,16.0,18.1165,1.0
8_1344000_522750000_2133000000,3.3871039152145386,16.0,21.684,23,2.0,13.0,0.6,30.0,8_1651200_522750000_2133000000,3.049296021461487,16.0,22.085,2.0,1.0,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,8_1651200_522750000_2133000000,3.049296021461487,16.0,22.085,2.0,True,0.0501147689819336,0.5834481023152669,1.503443069458008,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,8_2201600_318750000_3199000000,3.446544051170349,16.0,22.287,1.0
4_1344000_726750000_2133000000,3.0856319665908813,16.0,23.674,24,3.0,12.0,0.6,30.0,4_1344000_726750000_2133000000,3.0856319665908813,16.0,23.674,3.0,1.0,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,12_1036800_726750000_2133000000,3.621104001998901,16.0,23.975,3.0,True,0.0501147689819336,0.5834481023152669,1.503443069458008,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,12_1036800_726750000_2133000000,3.621104001998901,16.0,23.975,3.0
12_1344000_726750000_2133000000,3.10534405708313,16.0,24.581,25,3.0,12.0,0.6,30.0,4_1344000_726750000_2133000000,3.0856319665908813,16.0,23.674,3.0,1.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,25.174,3.0,12_1036800_726750000_2133000000,3.621104001998901,16.0,23.975,3.0,True,0.0464747676849365,0.5798081010182699,1.3942430305480955,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,12_1036800_726750000_2133000000,3.621104001998901,16.0,23.975,3.0
12_1344000_726750000_2133000000,3.10534405708313,16.0,24.581,26,3.0,12.0,0.6,30.0,4_1958400_726750000_2133000000,2.4784159660339355,16.0,25.974,3.0,1.0,12_1958400_522750000_3199000000,52.76372909545898,16.0,26.898,2.0,8_1651200_726750000_2133000000,2.7710399627685547,16.0,25.174,3.0,True,0.0527637290954589,0.5860970624287923,1.5829118728637692,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,12_1036800_726750000_2133000000,3.621104001998901,16.0,23.975,3.0
