powermode,observed_time,observed_power,predicted_time,predicted_power
2_268800_522750000_2133000000,3214705.008506775,12.483,2020061.0565000002,13.658963
2_268800_522750000_3199000000,3290740.5927181244,13.497,1926921.7301999999,14.134037000000001
2_268800_522750000_665600000,3543980.82447052,11.878,1975938.1916999999,12.935332
2_268800_420750000_204000000,4243564.076662064,11.375,2866567.9458,12.397532
2_268800_420750000_2133000000,3286176.469564438,12.485,1950895.3368000002,13.578826
2_268800_420750000_3199000000,3156201.956272125,13.497,1848048.999,14.152474
2_268800_420750000_665600000,3486423.1214523315,11.476,1998973.3731,12.771149
2_268800_318750000_204000000,1688422.2390651703,14.304,2928882.255,12.157495999999998
2_268800_318750000_2133000000,577952.8923034668,16.5185,1909557.1128,13.509645500000001
2_268800_318750000_3199000000,563073.1425285339,17.7285,1778328.1017000002,14.110635
2_268800_318750000_665600000,734201.3471126556,15.511,2048510.001,12.614134
2_268800_216750000_204000000,2110819.2813396454,12.383,2978375.1189,11.924491
2_268800_216750000_2133000000,1131754.6255588531,13.8,1927069.1210999999,13.446254000000001
2_268800_216750000_3199000000,1133115.3576374054,14.9575,1738693.2351,14.051928
2_268800_216750000_665600000,1218948.3087062836,12.983,2100509.1354,12.471886
2_268800_114750000_204000000,4327948.992967606,11.374,3203809.2660000003,11.703566
2_268800_114750000_2133000000,3523276.865005493,12.491,2213761.302,13.372247999999999
2_268800_114750000_3199000000,3422059.011697769,13.095,1967325.2802000002,13.372247999999999
2_268800_114750000_665600000,3528473.8852977757,11.477,2331329.6931,13.996354
2_422400_1300500000_204000000,1898538.7654304504,16.105,2367627.0858,12.346453
2_422400_1300500000_2133000000,801867.6211833954,17.02,1523206.27008,15.051103
2_422400_1300500000_3199000000,767567.5113201141,18.026,1473552.3233999999,14.95062
2_422400_1300500000_665600000,939415.5657291412,16.0,1583610.24942,14.887896000000001
2_422400_1236750000_204000000,2662979.0143966675,14.393,2329132.584,15.235296
2_422400_1236750000_2133000000,1761043.8692569733,14.996,1469835.0405000001,14.796002
