cores,cpu,gpu,mem,observed_power,predicted_power,observed_time,predicted_time
12,1190400,522750000,2133000000,21.485,22.02154474169245,199.57650756835932,247.46077015928003
12,1190400,420750000,2133000000,20.381,20.487484029806243,232.20083618164065,251.42135046680784
12,1190400,318750000,2133000000,19.076,18.95342331792004,298.4073486328125,256.5795706782212
12,1190400,216750000,2133000000,17.471,17.41936260603383,420.869873046875,263.9210063857995
12,1190400,114750000,2133000000,15.754,15.885301894147624,778.3482666015625,276.48928892882907
12,1344000,1300500000,2133000000,32.698,34.07355784299989,134.2670135498047,214.42999394616285
12,1344000,1236750000,2133000000,31.386,33.114769898071,136.43235778808594,215.21982403972635
12,1344000,1134750000,2133000000,25.869,31.5807091861848,137.32672119140625,216.5791902328346
12,1344000,1032750000,2133000000,21.266,30.046648474298596,141.79478454589844,218.07651780168345
12,1344000,930750000,2133000000,24.169,28.512587762412384,142.26649475097656,219.74170597648012
12,1344000,828750000,2133000000,24.671,26.97852705052617,155.66537475585938,221.61539197094336
12,1344000,726750000,2133000000,21.969,25.44446633863997,160.90249633789062,223.75474640747552
12,1344000,624750000,2133000000,21.866,23.910405626753764,174.55807495117188,226.24376753648656
12,1344000,522750000,2133000000,19.768,22.37634491486756,197.9997100830078,229.21302224042253
12,1344000,420750000,2133000000,19.779,20.84228420298135,228.6842803955078,232.88154950448148
12,1344000,318750000,2133000000,19.278,19.30822349109514,297.2720031738281,237.6594027507907
12,1344000,216750000,2133000000,17.37,17.774162779208936,421.4129028320313,244.4594812643857
12,1344000,114750000,2133000000,15.754,16.240102067322727,778.0641479492188,256.1009791236427
12,1497600,1300500000,2133000000,30.992,34.42835801617499,136.0603790283203,200.272975977891
12,1497600,1236750000,2133000000,31.789,33.46957007124611,134.22457885742188,201.0106602003444
12,1497600,1134750000,2133000000,26.576,31.9355093593599,126.52268981933594,202.28027882005057
12,1497600,1032750000,2133000000,26.876,30.401448647473693,137.30767822265625,203.67875038043493
12,1497600,930750000,2133000000,24.376,28.867387935587487,143.22633361816406,205.23400011575623
12,1497600,828750000,2133000000,21.563,27.33332722370128,144.3434295654297,206.98398230459807
12,1497600,726750000,2133000000,21.363,25.799266511815077,157.75762939453125,208.98209307161775
12,1497600,624750000,2133000000,23.681,24.265205799928864,172.7698211669922,211.30678496571932
12,1497600,522750000,2133000000,22.079,22.73114508804266,197.59913635253903,214.0800046307953
12,1497600,420750000,2133000000,20.785,21.19708437615645,232.86236572265625,217.5063297409549
12,1497600,318750000,2133000000,19.581,19.663023664270245,293.913330078125,221.9687413225372
12,1497600,216750000,2133000000,17.875,18.12896295238404,418.9100036621094,228.31986756070188
12,1497600,114750000,2133000000,15.855,16.59490224049783,776.9512939453125,239.19277474223648
12,1651200,1300500000,2133000000,26.162,34.7831581893501,125.27161407470705,188.30332469127404
12,1651200,1236750000,2133000000,27.87,33.82437024442122,123.02352142333984,188.9969199753208
12,1651200,1134750000,2133000000,28.579,32.290309532535005,131.8054656982422,190.1906577026066
12,1651200,1032750000,2133000000,28.38,30.7562488206488,131.9224395751953,191.50554725782868
12,1651200,930750000,2133000000,23.662,29.222188108762595,134.57638549804688,192.9678448766475
12,1651200,828750000,2133000000,26.173,27.688127396876386,144.72796630859375,194.6132364363445
12,1651200,726750000,2133000000,22.962,26.154066684990177,155.3785858154297,196.4919267523699
12,1651200,624750000,2133000000,24.471,24.62000597310397,166.9864044189453,198.677679525078
12,1651200,522750000,2133000000,23.08,23.085945261217766,190.4932098388672,201.28515305206375
12,1651200,420750000,2133000000,20.381,21.55188454933156,228.88633728027344,204.50669807862536
12,1651200,318750000,2133000000,19.578,20.017823837445352,293.679443359375,208.7024061258536
12,1651200,216750000,2133000000,17.661,18.483763125559143,421.36767578125,214.6739466212244
12,1651200,114750000,2133000000,16.256,16.949702413672938,777.7555541992188,224.8970162158392
12,1804800,1300500000,2133000000,34.994,35.1379583625252,121.91273498535156,178.02294079010883
