cores_algo,cpu_algo,gpu_algo,mem_algo,bs_algo,algo_time,algo_power,power_budget,num_pwds_nnRan50,visited_dim,tries,time_budget,arr_rate,soln_algo,cores_optimal,cpu_optimal,gpu_optimal,mem_optimal,bs_optimal,optim_time_nnRan50,optim_power_nnRan50,soln_optimal,powermode_random,bs_random,optim_time_random,optim_power_random,soln_random,powermode_nn,bs_nn,optim_time_nn,optim_power_nn,soln_nn,flag,time_scaled,time_cond1,time_cond2,powermode_random_50,bs_random_50,optim_time_random_50,optim_power_random_50,soln_random_50,powermode_nn_50,bs_nn_50,optim_time_nn_50,optim_power_nn_50,soln_nn_50,cpu_bs,gpu_bs,mem_bs,cores_bs,bs_bs,observed_time,observed_power,num_pwds_bs,soln_bs,cores_optim,cpu_optim,gpu_optim,mem_optim,bs_optim,optim_time_bs,optim_power_bs,soln_optim
,,,,,,,12,,,,1.4,2.5,,,,,,,,,,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,0.5035906867980957,0.2589767169952393,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,13,,,,1.4,2.5,,,,,,,,,,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,0.5035906867980957,0.2589767169952393,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14,,,,1.4,2.5,,,,,,,,,,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,0.5035906867980957,0.2589767169952393,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15,,,,1.4,2.5,,,,,,,,,,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,0.5035906867980957,0.2589767169952393,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16,,,,1.4,2.5,,,,,,,,,,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,0.5035906867980957,0.2589767169952393,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,,,,1.4,2.5,,,,,,,,,,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,0.5035906867980957,0.2589767169952393,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18,,,,1.4,2.5,,,,,,,,,,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,0.5035906867980957,0.2589767169952393,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19,,,,1.4,2.5,,,,,,,,,,4_1651200_318750000_665600000,1.0,261.2362823486328,18.775,1.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,0.5035906867980957,0.2589767169952393,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,,,,1.4,2.5,,,,,,,,,,4_1344000_522750000_665600000,1.0,238.12332916259768,19.477,1.0,4_1344000_522750000_665600000,1.0,238.12332916259768,19.477,1.0,True,0.2381233291625976,0.6381233291625977,0.5953083229064942,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21,,,,1.4,2.5,,,,,,,,,,4_1651200_726750000_665600000,1.0,229.46017456054688,20.583,1.0,12_1036800_522750000_665600000,1.0,239.859375,20.38,1.0,True,0.239859375,0.639859375,0.5996484375000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22,,,,1.4,2.5,,,,,,,,,,8_1958400_726750000_665600000,1.0,229.00479888916016,21.38,1.0,12_1036800_522750000_665600000,1.0,239.859375,20.38,1.0,True,0.239859375,0.639859375,0.5996484375000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,,,,1.4,2.5,,,,,,,,,,12_1958400_318750000_2133000000,1.0,202.1840667724609,22.087,1.0,12_1958400_318750000_2133000000,1.0,202.1840667724609,22.087,1.0,True,0.2021840667724609,0.602184066772461,0.5054601669311523,,,,,,,,,,,,,,,,,,,,,,,,,,,
