powermode,observed_time,observed_power,predicted_time,predicted_power
2_883200_726750000_204000000,2241128.5825195312,15.098,2160787.8125,14.772842
2_883200_726750000_2133000000,1133442.8350830078,17.556,860777.1874999999,18.317574
2_883200_726750000_3199000000,1032739.3217163086,18.9065,829893.875,19.197965
2_883200_726750000_665600000,1341026.9577941897,16.151,1041380.78125,16.590285
2_883200_624750000_204000000,2292075.8547973637,14.95,2157526.40625,14.526829
2_883200_624750000_2133000000,1082742.8114318848,17.353,858321.9375,17.830258
2_883200_624750000_3199000000,1051793.5691986084,17.356,836824.8124999999,18.676277
2_883200_624750000_665600000,1298800.2338867188,15.9035,1033988.0000000001,16.254746
2_883200_522750000_204000000,2231544.7197265625,14.549,2154866.25,14.324931000000001
2_883200_522750000_2133000000,948678.7766418456,17.654,855786.2500000001,17.260436000000002
2_883200_522750000_3199000000,1000925.7513275146,18.26,835607.1875,18.23521
2_883200_522750000_665600000,1136966.105606079,16.151,1026545.53125,15.881319
2_883200_420750000_204000000,2192134.154541016,14.243,2146932.96875,14.169235
2_883200_420750000_2133000000,1069148.7421417236,16.854,851946.15625,16.791348000000003
2_883200_420750000_3199000000,1006947.3900299072,17.8575,834413.34375,17.942581999999998
2_883200_420750000_665600000,1296509.3118591309,16.2055,1014638.3437500001,15.632494000000001
2_883200_318750000_204000000,2067566.060546875,13.943,2151946.875,14.088989999999999
2_883200_318750000_2133000000,966210.3918914796,17.307,878784.9375,16.433439999999997
2_883200_318750000_3199000000,918370.365097046,18.967,854702.5625,17.755689999999998
2_883200_318750000_665600000,1165495.0577392578,16.352,1015235.1250000001,15.468568
2_883200_216750000_204000000,2270294.142700196,14.196,2212828.4375,14.082327
2_883200_216750000_2133000000,1079252.7991638184,17.468,940882.0,16.053063
2_883200_216750000_3199000000,1049696.3783569336,18.273,926170.0625,16.996734
2_883200_216750000_665600000,1276282.0051879885,15.55,1047618.6875,15.412443
2_883200_114750000_204000000,2396333.2993164062,13.344,2415661.5625,14.159049999999999
2_883200_114750000_2133000000,1516993.6510620115,15.9535,1505150.21875,15.362254
2_883200_114750000_3199000000,1505570.8746948242,16.869,1502939.5,15.756632
2_883200_114750000_665600000,1559312.5940551758,14.948,1570982.0625,15.368295
2_1036800_1300500000_204000000,2076001.748535156,19.059,2028941.25,17.566004
2_1036800_1300500000_2133000000,1051613.169128418,21.4135,762899.125,22.592135
2_1036800_1300500000_3199000000,863651.4112701416,23.475,722576.09375,25.542873
