cores,cpu,gpu,mem,skip_index,start_time,end_time,clean minibatches
10,268800,1134750000,3199000000,-1,115.25471997261047,222.5336470603943,50
10,268800,1134750000,665600000,-1,119.94835996627808,228.244122505188,50
12,268800,1134750000,204000000,-1,132.74225735664368,256.008944272995,50
12,268800,1134750000,2133000000,-1,118.06589555740356,226.16557621955872,50
12,268800,1134750000,3199000000,-1,118.48681354522704,226.62233352661133,50
12,268800,1134750000,665600000,-1,121.05820536613464,229.170490026474,50
2,268800,1032750000,204000000,-1,246.35027980804443,474.6657166481018,50
2,268800,1032750000,2133000000,-1,190.27294874191284,365.2172710895538,50
2,268800,1032750000,3199000000,-1,184.91483664512637,356.61311173439026,50
2,268800,1032750000,665600000,-1,203.1354992389679,389.0762786865234,50
4,268800,1032750000,204000000,-1,139.09993505477905,269.7426116466522,50
4,268800,1032750000,2133000000,-1,119.25757908821106,232.7582769393921,50
4,268800,1032750000,3199000000,-1,120.1412889957428,233.269273519516,50
4,268800,1032750000,665600000,-1,124.53664469718932,244.8974311351776,50
6,268800,1032750000,204000000,-1,131.4728343486786,253.9338290691376,50
6,268800,1032750000,2133000000,-1,115.9122757911682,223.76936984062195,50
6,268800,1032750000,3199000000,-1,115.50708484649658,221.7603294849396,50
6,268800,1032750000,665600000,-1,119.0373740196228,228.9591155052185,50
8,268800,1032750000,204000000,-1,133.2625012397766,255.15805220603943,50
8,268800,1032750000,2133000000,-1,121.05296564102171,231.82918238639832,50
8,268800,1032750000,3199000000,-1,117.16279339790344,225.8156967163086,50
8,268800,1032750000,665600000,-1,120.25200819969176,229.86101484298703,50
10,268800,1032750000,204000000,-1,132.82191729545593,254.2758316993713,50
10,268800,1032750000,2133000000,-1,118.53244686126708,224.77102541923523,50
10,268800,1032750000,3199000000,-1,116.83223509788512,224.8558111190796,50
10,268800,1032750000,665600000,-1,119.91521000862122,228.07973647117612,50
12,268800,1032750000,204000000,-1,135.03502011299133,258.2816343307495,50
12,268800,1032750000,2133000000,-1,118.27257323265076,226.0327968597412,50
12,268800,1032750000,3199000000,-1,116.98840403556824,225.7528200149536,50
12,268800,1032750000,665600000,-1,121.39107537269592,231.3271450996399,50
2,268800,930750000,204000000,-1,256.1004586219788,488.4093871116638,50
2,268800,930750000,2133000000,-1,188.3468611240387,365.3371329307556,50
2,268800,930750000,3199000000,-1,185.2010247707367,359.7521743774414,50
2,268800,930750000,665600000,-1,203.57586145401,386.5762147903442,50
4,268800,930750000,204000000,-1,137.58344841003418,265.5397894382477,50
4,268800,930750000,2133000000,-1,119.58236837387084,232.84499168396,50
4,268800,930750000,3199000000,-1,118.80110359191896,233.41945266723636,50
4,268800,930750000,665600000,-1,125.13206768035889,243.91028571128845,50
6,268800,930750000,204000000,-1,131.7129578590393,253.9269859790802,50
6,268800,930750000,2133000000,-1,116.1578402519226,225.75120162963867,50
6,268800,930750000,3199000000,-1,115.6624984741211,222.85293102264404,50
6,268800,930750000,665600000,-1,119.43453073501588,229.3933517932892,50
8,268800,930750000,204000000,-1,133.89874243736267,257.506308555603,50
8,268800,930750000,2133000000,-1,118.39726758003236,228.43258023262024,50
8,268800,930750000,3199000000,-1,116.33768820762634,224.8690128326416,50
8,268800,930750000,665600000,-1,120.14984703063963,234.5480513572693,50
10,268800,930750000,204000000,-1,131.9185004234314,253.5264668464661,50
10,268800,930750000,2133000000,-1,117.22810101509094,222.86808800697327,50
10,268800,930750000,3199000000,-1,116.22966408729552,224.39036345481875,50
10,268800,930750000,665600000,-1,120.02234125137328,229.6986920833588,50
12,268800,930750000,204000000,-1,133.64960861206055,255.66533970832825,50
12,268800,930750000,2133000000,-1,119.4138708114624,226.502135515213,50
12,268800,930750000,3199000000,-1,116.89497780799866,226.27964878082275,50
