cores,cpu,gpu,mem,predicted_time
4.0,1958400.0,1134750000.0,2133000000.0,221.9544
4.0,1958400.0,1134750000.0,3199000000.0,210.52248
4.0,1958400.0,1300500000.0,665600000.0,357.0543
4.0,1958400.0,1300500000.0,2133000000.0,223.3636
4.0,1958400.0,1300500000.0,3199000000.0,210.60426
4.0,2201600.0,114750000.0,665600000.0,835.5246
4.0,2201600.0,114750000.0,2133000000.0,816.2142
4.0,2201600.0,114750000.0,3199000000.0,762.024
4.0,2201600.0,318750000.0,665600000.0,448.27734
4.0,2201600.0,318750000.0,2133000000.0,361.31152
4.0,2201600.0,318750000.0,3199000000.0,347.46887
4.0,2201600.0,522750000.0,665600000.0,381.9494
4.0,2201600.0,522750000.0,2133000000.0,262.19385
4.0,2201600.0,522750000.0,3199000000.0,253.62666
4.0,2201600.0,726750000.0,665600000.0,364.59653
4.0,2201600.0,726750000.0,2133000000.0,238.7082
4.0,2201600.0,726750000.0,3199000000.0,223.8221
4.0,2201600.0,930750000.0,665600000.0,342.01483
4.0,2201600.0,930750000.0,2133000000.0,223.9293
4.0,2201600.0,930750000.0,3199000000.0,210.15479
4.0,2201600.0,1134750000.0,665600000.0,331.85992
4.0,2201600.0,1134750000.0,2133000000.0,216.49144
4.0,2201600.0,1134750000.0,3199000000.0,202.80977
4.0,2201600.0,1300500000.0,665600000.0,329.925
4.0,2201600.0,1300500000.0,2133000000.0,211.65805
4.0,2201600.0,1300500000.0,3199000000.0,199.41801
8.0,422400.0,114750000.0,665600000.0,1106.5808
8.0,422400.0,114750000.0,2133000000.0,1083.7227
8.0,422400.0,114750000.0,3199000000.0,1081.2386
8.0,422400.0,318750000.0,665600000.0,825.30975
8.0,422400.0,318750000.0,2133000000.0,786.9804
8.0,422400.0,318750000.0,3199000000.0,785.05005
8.0,422400.0,522750000.0,665600000.0,816.97565
8.0,422400.0,522750000.0,2133000000.0,773.3505
8.0,422400.0,522750000.0,3199000000.0,769.6501
8.0,422400.0,726750000.0,665600000.0,823.4865
8.0,422400.0,726750000.0,2133000000.0,774.7191
8.0,422400.0,726750000.0,3199000000.0,767.38153
8.0,422400.0,930750000.0,665600000.0,834.0407
8.0,422400.0,930750000.0,2133000000.0,783.2137
8.0,422400.0,930750000.0,3199000000.0,769.8775
8.0,422400.0,1134750000.0,665600000.0,839.8464
8.0,422400.0,1134750000.0,2133000000.0,787.26697
8.0,422400.0,1134750000.0,3199000000.0,778.27423
8.0,422400.0,1300500000.0,665600000.0,850.6747
8.0,422400.0,1300500000.0,2133000000.0,798.7492
8.0,422400.0,1300500000.0,3199000000.0,760.69684
8.0,729600.0,114750000.0,665600000.0,947.576
8.0,729600.0,114750000.0,2133000000.0,924.2782
8.0,729600.0,114750000.0,3199000000.0,915.55756
8.0,729600.0,318750000.0,665600000.0,601.52045
8.0,729600.0,318750000.0,2133000000.0,524.2006
8.0,729600.0,318750000.0,3199000000.0,504.79266
8.0,729600.0,522750000.0,665600000.0,556.1083
8.0,729600.0,522750000.0,2133000000.0,480.2486
8.0,729600.0,522750000.0,3199000000.0,481.34222
8.0,729600.0,726750000.0,665600000.0,537.11993
8.0,729600.0,726750000.0,2133000000.0,474.75986
8.0,729600.0,726750000.0,3199000000.0,474.51642
8.0,729600.0,930750000.0,665600000.0,533.0105
8.0,729600.0,930750000.0,2133000000.0,488.89124
8.0,729600.0,930750000.0,3199000000.0,482.80978
