cores,cpu,gpu,mem,bs,predicted_time
8,729600,114750000,665600000,1,569.45
8,729600,114750000,2133000000,1,354.27618
8,729600,114750000,3199000000,1,506.7995
12,729600,114750000,665600000,1,625.95294
12,729600,114750000,2133000000,1,528.54254
12,729600,114750000,3199000000,1,677.35504
4,729600,318750000,665600000,1,293.45264
4,729600,318750000,2133000000,1,155.62448
4,729600,318750000,3199000000,1,174.33315
8,729600,318750000,665600000,1,236.40227
8,729600,318750000,2133000000,1,134.87766
8,729600,318750000,3199000000,1,157.86978
12,729600,318750000,665600000,1,221.85739
12,729600,318750000,2133000000,1,126.168015
12,729600,318750000,3199000000,1,172.1862
4,729600,522750000,665600000,1,227.67993
4,729600,522750000,2133000000,1,134.27794
4,729600,522750000,3199000000,1,147.91383
8,729600,522750000,665600000,1,191.92137
8,729600,522750000,2133000000,1,117.5028
8,729600,522750000,3199000000,1,136.08131
12,729600,522750000,665600000,1,183.77492
12,729600,522750000,2133000000,1,117.43986
12,729600,522750000,3199000000,1,134.16844
4,729600,726750000,665600000,1,213.04933
4,729600,726750000,2133000000,1,132.43176
4,729600,726750000,3199000000,1,144.05464
8,729600,726750000,665600000,1,167.25992
8,729600,726750000,2133000000,1,113.55999
8,729600,726750000,3199000000,1,133.88615
12,729600,726750000,665600000,1,182.96486
12,729600,726750000,2133000000,1,111.2902
12,729600,726750000,3199000000,1,127.371735
4,729600,930750000,665600000,1,225.65463
4,729600,930750000,2133000000,1,137.48079
4,729600,930750000,3199000000,1,151.34651
8,729600,930750000,665600000,1,169.89137
8,729600,930750000,2133000000,1,119.2072
8,729600,930750000,3199000000,1,138.96785
12,729600,930750000,665600000,1,185.16591
12,729600,930750000,2133000000,1,114.208305
12,729600,930750000,3199000000,1,129.11688
4,729600,1134750000,665600000,1,255.78249
4,729600,1134750000,2133000000,1,143.89781
4,729600,1134750000,3199000000,1,159.37044
8,729600,1134750000,665600000,1,197.02011
8,729600,1134750000,2133000000,1,124.68301
8,729600,1134750000,3199000000,1,145.40929
12,729600,1134750000,665600000,1,210.80672
12,729600,1134750000,2133000000,1,118.48003
12,729600,1134750000,3199000000,1,137.35953
4,729600,1300500000,665600000,1,291.8584
4,729600,1300500000,2133000000,1,149.46074
4,729600,1300500000,3199000000,1,165.67818
8,729600,1300500000,665600000,1,238.56923
8,729600,1300500000,2133000000,1,129.84196
8,729600,1300500000,3199000000,1,151.45172
12,729600,1300500000,665600000,1,251.04242
12,729600,1300500000,2133000000,1,124.1478
12,729600,1300500000,3199000000,1,144.67978
4,1036800,114750000,665600000,1,619.1825
4,1036800,114750000,2133000000,1,384.58493
4,1036800,114750000,3199000000,1,450.17743
8,1036800,114750000,665600000,1,516.65594
8,1036800,114750000,2133000000,1,330.56967
8,1036800,114750000,3199000000,1,481.54776
12,1036800,114750000,665600000,1,617.7786
12,1036800,114750000,2133000000,1,515.73
12,1036800,114750000,3199000000,1,649.5006
4,1036800,318750000,665600000,1,280.88132
4,1036800,318750000,2133000000,1,155.99939
4,1036800,318750000,3199000000,1,172.7189
8,1036800,318750000,665600000,1,218.42818
8,1036800,318750000,2133000000,1,129.94545
8,1036800,318750000,3199000000,1,153.35234
12,1036800,318750000,665600000,1,216.03453
12,1036800,318750000,2133000000,1,116.46496
12,1036800,318750000,3199000000,1,171.08754
4,1036800,522750000,665600000,1,210.5262
4,1036800,522750000,2133000000,1,132.77893
4,1036800,522750000,3199000000,1,147.00786
8,1036800,522750000,665600000,1,172.16075
8,1036800,522750000,2133000000,1,115.48022
8,1036800,522750000,3199000000,1,135.19498
