powermode,bs,observed_time,predicted_time,observed_power,predicted_power
12_1036800_318750000_2133000000,1,34.68608856201172,43.801865,15.954,15.3495
12_1036800_318750000_3199000000,1,33.220887184143066,47.24022,16.656,16.175865
4_1036800_522750000_665600000,1,44.0443754196167,56.923832,14.449,15.002301
4_1036800_522750000_2133000000,1,40.14694690704346,40.515923,15.453,15.321558
4_1036800_522750000_3199000000,1,34.13045406341553,47.92947,16.556,15.876653
8_1036800_522750000_665600000,1,41.67234897613525,52.83155,14.85,15.012305
8_1036800_522750000_2133000000,1,34.755587577819824,39.12075,15.854,15.452392
8_1036800_522750000_3199000000,1,34.73377227783203,44.4857,17.057,16.323883
12_1036800_522750000_665600000,1,39.01481628417969,56.53485,14.85,15.274056
12_1036800_522750000_2133000000,1,34.24656391143799,39.618988,15.854,15.582648
12_1036800_522750000_3199000000,1,33.01405906677246,41.678974,17.057,16.713448
4_1036800_726750000_665600000,1,44.25811767578125,53.722393,14.749,15.159304
4_1036800_726750000_2133000000,1,36.96346282958984,37.270348,15.8035,15.693977
4_1036800_726750000_3199000000,1,34.281134605407715,44.157265,16.857,16.644192
8_1036800_726750000_665600000,1,40.15016555786133,50.04937,15.251,15.199058
8_1036800_726750000_2133000000,1,34.26241874694824,35.639038,16.656,16.239738
8_1036800_726750000_3199000000,1,33.785223960876465,41.066967,17.258,16.643806
12_1036800_726750000_665600000,1,39.05963897705078,54.832767,15.251,15.5721445
12_1036800_726750000_2133000000,1,34.4158411026001,36.13222,16.656,16.682251
12_1036800_726750000_3199000000,1,32.94610977172852,38.792137,17.358,17.085186
4_1036800_930750000_665600000,1,43.69616508483887,55.419838,15.6015,15.298694
4_1036800_930750000_2133000000,1,37.47391700744629,35.532436,16.555,16.66912
4_1036800_930750000_3199000000,1,34.34634208679199,41.784126,17.659,17.063725
8_1036800_930750000_665600000,1,39.29924964904785,48.937183,16.053,15.4328985
8_1036800_930750000_2133000000,1,34.10649299621582,34.89604,17.458,16.632858
