powermode,bs,observed_time,predicted_time,observed_power,predicted_power
4_729600_930750000_2133000000,1,49.1760311126709,55.935856,15.952,15.594421
4_729600_930750000_3199000000,1,51.3427848815918,56.87347,14.95,15.463736
8_729600_930750000_665600000,1,48.85451126098633,55.331882,13.344,13.831147
8_729600_930750000_2133000000,1,47.36747169494629,48.530697,14.348,15.065624
8_729600_930750000_3199000000,1,46.47646331787109,53.974934,15.351,15.345563
12_729600_930750000_665600000,1,48.67156791687012,53.77327,13.344,13.935101
12_729600_930750000_2133000000,1,46.4279670715332,46.32565,14.749,14.476503
12_729600_930750000_3199000000,1,45.88988876342773,50.951775,15.149,14.924978
4_729600_1134750000_665600000,1,55.92548751831055,61.25391,14.1965,15.136253
4_729600_1134750000_2133000000,1,48.74756813049317,59.912968,15.952,15.684802
4_729600_1134750000_3199000000,1,50.65214347839356,59.480362,15.752,15.764913
8_729600_1134750000_665600000,1,54.2623348236084,56.78423,14.146,14.173298
8_729600_1134750000_2133000000,1,49.904911041259766,50.032658,15.15,15.442722
8_729600_1134750000_3199000000,1,46.48198318481445,55.4232,15.752,15.59441
12_729600_1134750000_665600000,1,48.979679107666016,54.69684,13.946,14.285619
12_729600_1134750000_2133000000,1,47.0097599029541,47.275772,15.349,15.024413
12_729600_1134750000_3199000000,1,49.98228645324707,50.4577,15.749,15.334174
4_729600_1300500000_665600000,1,54.93009567260742,60.921623,14.948,15.509713
4_729600_1300500000_2133000000,1,48.46115112304688,63.93932,15.8015,15.9733925
4_729600_1300500000_3199000000,1,50.09323120117188,62.43886,16.554,15.996038
8_729600_1300500000_665600000,1,48.96187210083008,57.680885,14.9465,15.1026945
8_729600_1300500000_2133000000,1,46.52943992614746,51.112297,15.9505,15.69085
8_729600_1300500000_3199000000,1,45.07427215576172,55.761158,16.554,15.807466
12_729600_1300500000_665600000,1,48.54287910461426,55.874405,14.9465,14.581919
12_729600_1300500000_2133000000,1,46.25387191772461,48.53649,15.952,15.357866
12_729600_1300500000_3199000000,1,45.29587173461914,50.663593,16.955,15.669763
4_1036800_114750000_665600000,1,41.493295669555664,54.207363,12.7945,13.532211
4_1036800_114750000_2133000000,1,37.92540740966797,47.906635,13.747,14.066549
4_1036800_114750000_3199000000,1,38.833120346069336,59.546062,14.349,13.942235
8_1036800_114750000_665600000,1,39.44638442993164,49.318058,12.745,13.4913845
8_1036800_114750000_2133000000,1,36.85231971740723,43.12579,13.749,14.0041
8_1036800_114750000_3199000000,1,35.41075134277344,48.782608,14.752,14.584201
12_1036800_114750000_665600000,1,38.018911361694336,53.912163,13.144,13.474673
12_1036800_114750000_2133000000,1,36.07769584655762,42.765327,14.15,13.935107
12_1036800_114750000_3199000000,1,35.11686325073242,44.861027,14.75,14.77101
4_1036800_318750000_665600000,1,42.67104148864746,45.226696,12.744,13.63735
4_1036800_318750000_2133000000,1,39.71235275268555,39.153095,15.952,14.349538
4_1036800_318750000_3199000000,1,39.05420875549317,46.79405,14.351,14.43138
8_1036800_318750000_665600000,1,38.65403366088867,40.544968,12.644,13.580747
8_1036800_318750000_2133000000,1,35.89262390136719,34.397495,14.148,14.227096
8_1036800_318750000_3199000000,1,34.78371238708496,40.850105,14.752,15.182735
12_1036800_318750000_665600000,1,38.67582321166992,41.466114,13.144,13.580245
12_1036800_318750000_2133000000,1,35.93476867675781,34.451466,14.048,14.093689
12_1036800_318750000_3199000000,1,34.17350387573242,36.44809,14.75,15.154061
4_1036800_522750000_665600000,1,41.87705612182617,45.80687,12.743,13.769919
4_1036800_522750000_2133000000,1,38.94112014770508,36.495274,15.955,15.655289
4_1036800_522750000_3199000000,1,36.10601615905762,43.143803,14.65,14.955508
8_1036800_522750000_665600000,1,38.86647987365723,40.400867,13.146,13.672769
8_1036800_522750000_2133000000,1,35.91761589050293,33.608986,13.347,14.6143465
8_1036800_522750000_3199000000,1,38.27056121826172,40.91324,15.153,15.255792
12_1036800_522750000_665600000,1,38.95222473144531,42.015533,13.144,13.689839
12_1036800_522750000_2133000000,1,35.32423973083496,35.361874,14.05,14.273803
12_1036800_522750000_3199000000,1,34.91791915893555,37.686314,14.95,15.121836
4_1036800_726750000_665600000,1,43.23000144958496,47.611797,13.144,13.901572
4_1036800_726750000_2133000000,1,39.70587158203125,38.35749,16.056,15.909471
4_1036800_726750000_3199000000,1,36.72889518737793,43.6594,14.75,15.297269
8_1036800_726750000_665600000,1,38.42633628845215,41.79513,13.146,13.782879
8_1036800_726750000_2133000000,1,39.2148323059082,34.755077,13.947,14.930183
8_1036800_726750000_3199000000,1,34.46793556213379,41.67145,14.549,15.319473
12_1036800_726750000_665600000,1,39.26043128967285,43.495136,13.547,13.867909
12_1036800_726750000_2133000000,1,35.532958984375,36.402332,14.35,14.635238
12_1036800_726750000_3199000000,1,34.22313499450684,38.14859,15.053,15.166886
4_1036800_930750000_665600000,1,42.59096145629883,47.741,13.346,14.22219
4_1036800_930750000_2133000000,1,38.10268783569336,41.950283,16.056,15.716063
4_1036800_930750000_3199000000,1,37.54523277282715,45.26001,15.455,15.5282955
8_1036800_930750000_665600000,1,37.79435348510742,43.265347,13.948,13.97541
8_1036800_930750000_2133000000,1,36.13734436035156,36.43156,14.853,15.216761
8_1036800_930750000_3199000000,1,34.57771110534668,41.764744,15.856,15.451554
12_1036800_930750000_665600000,1,38.473344802856445,43.937634,14.247,14.185042
12_1036800_930750000_2133000000,1,35.445823669433594,36.630505,14.751,15.020954
12_1036800_930750000_3199000000,1,34.00075149536133,36.86613,15.856,15.373748
4_1036800_1134750000_665600000,1,43.3673267364502,48.627193,14.347,15.313712
4_1036800_1134750000_2133000000,1,37.83784103393555,44.549194,15.955,15.732364
4_1036800_1134750000_3199000000,1,36.34515190124512,47.371506,15.853,15.827117
8_1036800_1134750000_665600000,1,39.98366355895996,44.087437,14.25,14.486024
8_1036800_1134750000_2133000000,1,35.714847564697266,37.200333,15.153,15.502158
8_1036800_1134750000_3199000000,1,34.183664321899414,40.75734,16.257,15.706929
12_1036800_1134750000_665600000,1,36.96115112304688,44.154343,14.652,14.499626
12_1036800_1134750000_2133000000,1,35.36409568786621,36.727615,15.554,15.411815
12_1036800_1134750000_3199000000,1,34.84035301208496,36.058266,16.156,15.655095
4_1036800_1300500000_665600000,1,42.78289604187012,49.59384,15.553,15.636944
4_1036800_1300500000_2133000000,1,38.98915100097656,46.952534,16.056,15.965923
4_1036800_1300500000_3199000000,1,36.12673568725586,50.585,17.059,16.102419
8_1036800_1300500000_665600000,1,39.0260009765625,44.41109,15.954,15.50587
8_1036800_1300500000_2133000000,1,36.47987174987793,37.83945,15.955,15.767236
8_1036800_1300500000_3199000000,1,34.19209671020508,40.102406,16.958,16.07222
