powermode,bs,observed_time,predicted_time,observed_power,predicted_power
4_1036800_114750000_2133000000,1,556.7902221679688,1480.039,15.765,16.868387
4_1036800_114750000_3199000000,1,557.962158203125,1718.6346,18.074,18.674894
8_1036800_114750000_665600000,1,567.9557495117188,2110.629,15.35,14.771837
8_1036800_114750000_2133000000,1,560.7033996582031,875.03326,16.166,15.550015
8_1036800_114750000_3199000000,1,577.0688171386719,1065.4325,17.27,17.474821
12_1036800_114750000_665600000,1,554.1062622070312,3248.7695,15.35,17.506908
12_1036800_114750000_2133000000,1,550.2712707519531,2376.0862,16.166,16.779558
12_1036800_114750000_3199000000,1,548.587646484375,2570.5103,17.37,18.892183
4_1036800_318750000_665600000,1,267.2881622314453,1376.4061,18.374,15.17752
4_1036800_318750000_2133000000,1,82.21088027954102,511.5426,42.92,15.6271105
4_1036800_318750000_3199000000,1,208.20816040039065,540.9458,21.787,18.263067
8_1036800_318750000_665600000,1,266.69248962402344,1183.465,18.871,15.346417
8_1036800_318750000_2133000000,1,206.45104217529297,-10.173719,21.184,14.289692
8_1036800_318750000_3199000000,1,209.9112319946289,58.702408,23.392,17.66171
12_1036800_318750000_665600000,1,262.5592346191406,1503.2421,18.775,19.317856
12_1036800_318750000_2133000000,1,204.294677734375,253.64532,21.787,18.38201
12_1036800_318750000_3199000000,1,215.7957000732422,274.7102,22.188,21.293308
4_1036800_522750000_665600000,1,238.78756713867188,821.16125,19.477,17.409178
4_1036800_522750000_2133000000,1,82.0831527709961,316.31378,44.444,17.55599
4_1036800_522750000_3199000000,1,132.19332885742188,391.62683,26.9,21.396688
8_1036800_522750000_665600000,1,238.7052383422852,697.667,19.774,18.906527
8_1036800_522750000_2133000000,1,130.67544555664062,-3.9528072,25.197,17.936739
8_1036800_522750000_3199000000,1,131.50718688964844,21.461544,27.0,21.801744
12_1036800_522750000_665600000,1,239.859375,1161.6434,20.38,23.228415
12_1036800_522750000_2133000000,1,144.06761169433594,228.21019,23.992,24.073774
12_1036800_522750000_3199000000,1,130.52982330322266,66.04121,27.853,26.737696
4_1036800_726750000_665600000,1,231.9158706665039,871.308,20.7275,22.143358
4_1036800_726750000_2133000000,1,92.5504150390625,302.151,41.827,22.87363
4_1036800_726750000_3199000000,1,97.11767959594728,283.9615,31.392,27.25183
8_1036800_726750000_665600000,1,231.38937377929688,782.1112,20.676,24.05266
8_1036800_726750000_2133000000,1,103.02932739257812,193.01118,29.706,25.215988
8_1036800_726750000_3199000000,1,102.25089645385742,31.79727,30.4895,28.604567
12_1036800_726750000_665600000,1,231.778564453125,1278.9767,20.676,28.830938
12_1036800_726750000_2133000000,1,103.5906867980957,455.11853,29.0035,31.352797
12_1036800_726750000_3199000000,1,98.16566467285156,172.80974,31.994,33.79299
4_1036800_930750000_665600000,1,230.24036407470703,1064.9135,21.778,28.128084
4_1036800_930750000_2133000000,1,82.87639999389648,454.19733,42.418,30.633553
4_1036800_930750000_3199000000,1,83.70140838623047,267.53653,36.405,34.738037
8_1036800_930750000_665600000,1,230.54022216796875,1075.8007,22.28,30.485338
8_1036800_930750000_2133000000,1,90.93958282470705,420.67236,33.52,33.347225
8_1036800_930750000_3199000000,1,84.47011184692383,153.5238,36.915,36.81505
12_1036800_930750000_665600000,1,239.75867462158203,1473.0424,22.28,35.909218
12_1036800_930750000_2133000000,1,91.86831665039062,697.8105,32.6165,39.096344
12_1036800_930750000_3199000000,1,78.41203308105469,325.3407,37.909,41.728786
4_1036800_1134750000_665600000,1,230.29086303710935,1283.5245,24.385,35.19153
4_1036800_1134750000_2133000000,1,83.15187072753906,666.2611,41.916,38.911774
4_1036800_1134750000_3199000000,1,81.62236785888672,397.73547,42.509,42.94295
8_1036800_1134750000_665600000,1,226.91310119628903,1335.4823,24.385,38.112583
