cores,cpu,gpu,mem,bs,predicted_power
8,422400,1300500000,3199000000,1,26.609352
12,422400,1300500000,665600000,1,32.313
12,422400,1300500000,2133000000,1,31.48071
12,422400,1300500000,3199000000,1,31.330154
4,729600,114750000,665600000,1,14.084771
4,729600,114750000,2133000000,1,14.520022
4,729600,114750000,3199000000,1,16.039217
8,729600,114750000,665600000,1,13.431796
8,729600,114750000,2133000000,1,12.836497
8,729600,114750000,3199000000,1,14.342729
12,729600,114750000,665600000,1,15.03953
12,729600,114750000,2133000000,1,13.792971
12,729600,114750000,3199000000,1,15.060275
4,729600,318750000,665600000,1,13.368825
4,729600,318750000,2133000000,1,12.554495
4,729600,318750000,3199000000,1,13.965444
8,729600,318750000,665600000,1,13.483629
8,729600,318750000,2133000000,1,11.412768
8,729600,318750000,3199000000,1,12.852241
12,729600,318750000,665600000,1,16.29696
12,729600,318750000,2133000000,1,14.142081
12,729600,318750000,3199000000,1,15.206044
4,729600,522750000,665600000,1,13.881292
4,729600,522750000,2133000000,1,11.7231
4,729600,522750000,3199000000,1,12.7737665
8,729600,522750000,665600000,1,15.013224
8,729600,522750000,2133000000,1,12.173554
8,729600,522750000,3199000000,1,13.163808
12,729600,522750000,665600000,1,18.42382
12,729600,522750000,2133000000,1,16.654293
12,729600,522750000,3199000000,1,17.068031
4,729600,726750000,665600000,1,16.018375
4,729600,726750000,2133000000,1,13.397309
4,729600,726750000,3199000000,1,13.893594
8,729600,726750000,665600000,1,17.856186
8,729600,726750000,2133000000,1,15.737361
8,729600,726750000,3199000000,1,16.123178
12,729600,726750000,665600000,1,21.586735
12,729600,726750000,2133000000,1,20.55778
12,729600,726750000,3199000000,1,20.589378
4,729600,930750000,665600000,1,19.060116
4,729600,930750000,2133000000,1,16.868877
4,729600,930750000,3199000000,1,17.332598
8,729600,930750000,665600000,1,21.278801
8,729600,930750000,2133000000,1,19.873512
8,729600,930750000,3199000000,1,19.89886
12,729600,930750000,665600000,1,25.369438
12,729600,930750000,2133000000,1,24.609365
12,729600,930750000,3199000000,1,24.52305
4,729600,1134750000,665600000,1,22.704714
4,729600,1134750000,2133000000,1,21.016808
4,729600,1134750000,3199000000,1,21.236095
8,729600,1134750000,665600000,1,25.273327
8,729600,1134750000,2133000000,1,24.149876
8,729600,1134750000,3199000000,1,23.998653
12,729600,1134750000,665600000,1,29.514938
12,729600,1134750000,2133000000,1,28.698574
12,729600,1134750000,3199000000,1,28.5761
4,729600,1300500000,665600000,1,25.977497
4,729600,1300500000,2133000000,1,24.520481
4,729600,1300500000,3199000000,1,24.630543
8,729600,1300500000,665600000,1,28.810692
8,729600,1300500000,2133000000,1,27.739555
8,729600,1300500000,3199000000,1,27.440739
12,729600,1300500000,665600000,1,32.930416
12,729600,1300500000,2133000000,1,32.08957
12,729600,1300500000,3199000000,1,31.924467
4,1036800,114750000,665600000,1,14.890037
4,1036800,114750000,2133000000,1,15.571847
4,1036800,114750000,3199000000,1,17.006262
8,1036800,114750000,665600000,1,13.566867
8,1036800,114750000,2133000000,1,13.332406
8,1036800,114750000,3199000000,1,14.927772
12,1036800,114750000,665600000,1,14.71593
12,1036800,114750000,2133000000,1,13.5153475
12,1036800,114750000,3199000000,1,15.14056
4,1036800,318750000,665600000,1,13.940557
4,1036800,318750000,2133000000,1,13.594839
4,1036800,318750000,3199000000,1,15.026124
8,1036800,318750000,665600000,1,13.552702
8,1036800,318750000,2133000000,1,11.45702
8,1036800,318750000,3199000000,1,13.3772
12,1036800,318750000,665600000,1,16.159742
12,1036800,318750000,2133000000,1,14.075219
12,1036800,318750000,3199000000,1,15.325784
4,1036800,522750000,665600000,1,14.704436
4,1036800,522750000,2133000000,1,12.842161
4,1036800,522750000,3199000000,1,14.166096
8,1036800,522750000,665600000,1,15.410735
8,1036800,522750000,2133000000,1,12.635173
8,1036800,522750000,3199000000,1,13.86656
