powermode,bs,observed_time,predicted_time,observed_power,predicted_power
12_1036800_1134750000_2133000000,1,30.970223426818848,36.129246,18.862,18.912695
12_1036800_1134750000_3199000000,1,30.000720024108887,38.15328,19.413,19.253845
4_1036800_1300500000_665600000,1,37.189727783203125,40.79422,18.658,18.3246
4_1036800_1300500000_2133000000,1,35.494815826416016,39.84828,19.665,18.443008
4_1036800_1300500000_3199000000,1,31.38796806335449,40.512314,19.9105,18.809727
8_1036800_1300500000_665600000,1,34.31793594360352,39.156002,18.909,18.799076
8_1036800_1300500000_2133000000,1,31.122767448425293,39.59124,19.459,19.060156
8_1036800_1300500000_3199000000,1,30.54576015472412,40.242523,20.412,19.429142
12_1036800_1300500000_665600000,1,37.58676910400391,40.134785,18.859,19.20829
12_1036800_1300500000_2133000000,1,33.52171325683594,38.232784,19.711,19.820015
12_1036800_1300500000_3199000000,1,29.840271949768063,39.039474,21.015,20.044062
4_1344000_114750000_665600000,1,52.206687927246094,69.97034,14.246,15.257881
4_1344000_114750000_2133000000,1,50.51163101196289,47.336792,15.204,15.560551
4_1344000_114750000_3199000000,1,49.668094635009766,58.115395,15.965,16.302387
8_1344000_114750000_665600000,1,51.47817611694336,49.731613,14.149,15.259481
8_1344000_114750000_2133000000,1,50.18711853027344,39.619255,15.149,15.578813
8_1344000_114750000_3199000000,1,49.50951957702637,45.574028,15.152,16.797888
12_1344000_114750000_665600000,1,51.57171249389648,53.77021,14.651,15.332788
12_1344000_114750000_2133000000,1,50.02292823791504,41.403442,15.554,15.8089485
12_1344000_114750000_3199000000,1,49.45619201660156,47.018234,16.1685,16.813395
4_1344000_318750000_665600000,1,33.87750434875488,41.728394,15.252,15.54967
4_1344000_318750000_2133000000,1,28.50980758666992,31.664366,16.155,15.958974
4_1344000_318750000_3199000000,1,27.25841522216797,31.69239,17.873,17.200964
8_1344000_318750000_665600000,1,30.46473598480225,33.810688,15.753,15.544857
8_1344000_318750000_2133000000,1,27.307456016540527,30.593613,16.76,16.383167
8_1344000_318750000_3199000000,1,26.223807334899902,30.522413,17.7685,17.868086
12_1344000_318750000_665600000,1,30.96326446533203,36.216408,15.653,15.6141815
12_1344000_318750000_2133000000,1,27.01689624786377,28.933765,16.757,17.07
12_1344000_318750000_3199000000,1,25.974703788757324,29.040485,17.771,18.305939
