cores,cpu,gpu,mem,predicted_time
4.0,1036800.0,114750000.0,2133000000.0,7356.3086
4.0,1036800.0,114750000.0,3199000000.0,7964.3296
4.0,1036800.0,318750000.0,665600000.0,4668.474
4.0,1036800.0,318750000.0,2133000000.0,3214.9792
4.0,1036800.0,318750000.0,3199000000.0,3381.7207
4.0,1036800.0,522750000.0,665600000.0,4205.224
4.0,1036800.0,522750000.0,2133000000.0,2173.5464
4.0,1036800.0,522750000.0,3199000000.0,2036.2229
4.0,1036800.0,726750000.0,665600000.0,4093.3765
4.0,1036800.0,726750000.0,2133000000.0,1769.584
4.0,1036800.0,726750000.0,3199000000.0,1502.923
4.0,1036800.0,930750000.0,665600000.0,4028.258
4.0,1036800.0,930750000.0,2133000000.0,1605.6777
4.0,1036800.0,930750000.0,3199000000.0,1352.3252
4.0,1036800.0,1134750000.0,665600000.0,4012.3147
4.0,1036800.0,1134750000.0,2133000000.0,1612.1881
4.0,1036800.0,1134750000.0,3199000000.0,1308.123
4.0,1036800.0,1300500000.0,665600000.0,4039.619
4.0,1036800.0,1300500000.0,2133000000.0,1698.5833
4.0,1036800.0,1300500000.0,3199000000.0,1309.8997
4.0,1344000.0,114750000.0,665600000.0,7907.9546
4.0,1344000.0,114750000.0,2133000000.0,7364.2593
4.0,1344000.0,114750000.0,3199000000.0,8002.196
4.0,1344000.0,318750000.0,665600000.0,4608.24
4.0,1344000.0,318750000.0,2133000000.0,3173.8079
4.0,1344000.0,318750000.0,3199000000.0,3384.6501
4.0,1344000.0,522750000.0,665600000.0,4209.0454
4.0,1344000.0,522750000.0,2133000000.0,2093.0515
4.0,1344000.0,522750000.0,3199000000.0,1975.7332
4.0,1344000.0,726750000.0,665600000.0,4123.1694
4.0,1344000.0,726750000.0,2133000000.0,1705.5975
4.0,1344000.0,726750000.0,3199000000.0,1412.2859
4.0,1344000.0,930750000.0,665600000.0,4068.7783
4.0,1344000.0,930750000.0,2133000000.0,1535.2384
4.0,1344000.0,930750000.0,3199000000.0,1246.796
4.0,1344000.0,1134750000.0,665600000.0,4048.8792
4.0,1344000.0,1134750000.0,2133000000.0,1542.1616
4.0,1344000.0,1134750000.0,3199000000.0,1207.9692
4.0,1344000.0,1300500000.0,665600000.0,4065.7231
4.0,1344000.0,1300500000.0,2133000000.0,1639.0565
4.0,1344000.0,1300500000.0,3199000000.0,1217.0621
4.0,1651200.0,114750000.0,665600000.0,7931.277
4.0,1651200.0,114750000.0,2133000000.0,7398.119
4.0,1651200.0,114750000.0,3199000000.0,8048.5293
4.0,1651200.0,318750000.0,665600000.0,4575.0405
4.0,1651200.0,318750000.0,2133000000.0,3181.091
4.0,1651200.0,318750000.0,3199000000.0,3422.31
4.0,1651200.0,522750000.0,665600000.0,4237.008
4.0,1651200.0,522750000.0,2133000000.0,2042.123
4.0,1651200.0,522750000.0,3199000000.0,1973.8535
4.0,1651200.0,726750000.0,665600000.0,4165.268
4.0,1651200.0,726750000.0,2133000000.0,1664.4319
4.0,1651200.0,726750000.0,3199000000.0,1378.6312
4.0,1651200.0,930750000.0,665600000.0,4114.529
4.0,1651200.0,930750000.0,2133000000.0,1515.174
4.0,1651200.0,930750000.0,3199000000.0,1191.4268
4.0,1651200.0,1134750000.0,665600000.0,4091.5576
4.0,1651200.0,1134750000.0,2133000000.0,1529.8911
4.0,1651200.0,1134750000.0,3199000000.0,1143.4889
4.0,1651200.0,1300500000.0,665600000.0,4118.477
4.0,1651200.0,1300500000.0,2133000000.0,1614.5894
4.0,1651200.0,1300500000.0,3199000000.0,1157.4668
4.0,1958400.0,114750000.0,665600000.0,7969.444
4.0,1958400.0,114750000.0,2133000000.0,7449.0815
4.0,1958400.0,114750000.0,3199000000.0,8098.405
4.0,1958400.0,318750000.0,665600000.0,4602.324
4.0,1958400.0,318750000.0,2133000000.0,3224.2246
4.0,1958400.0,318750000.0,3199000000.0,3477.081
4.0,1958400.0,522750000.0,665600000.0,4274.8843
4.0,1958400.0,522750000.0,2133000000.0,2039.8895
4.0,1958400.0,522750000.0,3199000000.0,2015.8591
4.0,1958400.0,726750000.0,665600000.0,4208.4893
4.0,1958400.0,726750000.0,2133000000.0,1667.0559
4.0,1958400.0,726750000.0,3199000000.0,1397.9014
4.0,1958400.0,930750000.0,665600000.0,4160.106
4.0,1958400.0,930750000.0,2133000000.0,1529.2246
