cores,cpu,gpu,mem,bs,predicted_time
4,729600,318750000,2133000000,1,51.512684
4,729600,318750000,3199000000,1,59.057526
8,729600,318750000,665600000,1,49.45442
8,729600,318750000,2133000000,1,45.57957
8,729600,318750000,3199000000,1,52.185665
12,729600,318750000,665600000,1,52.215855
12,729600,318750000,2133000000,1,44.575108
12,729600,318750000,3199000000,1,49.760826
4,729600,522750000,665600000,1,56.98537
4,729600,522750000,2133000000,1,51.166843
4,729600,522750000,3199000000,1,54.195065
8,729600,522750000,665600000,1,52.053356
8,729600,522750000,2133000000,1,44.876713
8,729600,522750000,3199000000,1,51.735466
12,729600,522750000,665600000,1,52.44803
12,729600,522750000,2133000000,1,44.737125
12,729600,522750000,3199000000,1,50.346333
4,729600,726750000,665600000,1,60.594765
4,729600,726750000,2133000000,1,53.04687
4,729600,726750000,3199000000,1,54.81354
8,729600,726750000,665600000,1,53.415028
8,729600,726750000,2133000000,1,46.833828
8,729600,726750000,3199000000,1,52.513504
12,729600,726750000,665600000,1,52.90761
12,729600,726750000,2133000000,1,45.465004
12,729600,726750000,3199000000,1,51.112278
4,729600,930750000,665600000,1,61.161057
4,729600,930750000,2133000000,1,55.935856
4,729600,930750000,3199000000,1,56.87347
8,729600,930750000,665600000,1,55.331882
8,729600,930750000,2133000000,1,48.530697
8,729600,930750000,3199000000,1,53.974934
12,729600,930750000,665600000,1,53.77327
12,729600,930750000,2133000000,1,46.32565
12,729600,930750000,3199000000,1,50.951775
4,729600,1134750000,665600000,1,61.25391
4,729600,1134750000,2133000000,1,59.912968
4,729600,1134750000,3199000000,1,59.480362
8,729600,1134750000,665600000,1,56.78423
8,729600,1134750000,2133000000,1,50.032658
8,729600,1134750000,3199000000,1,55.4232
12,729600,1134750000,665600000,1,54.69684
12,729600,1134750000,2133000000,1,47.275772
12,729600,1134750000,3199000000,1,50.4577
4,729600,1300500000,665600000,1,60.921623
4,729600,1300500000,2133000000,1,63.93932
4,729600,1300500000,3199000000,1,62.43886
8,729600,1300500000,665600000,1,57.680885
8,729600,1300500000,2133000000,1,51.112297
8,729600,1300500000,3199000000,1,55.761158
12,729600,1300500000,665600000,1,55.874405
12,729600,1300500000,2133000000,1,48.53649
12,729600,1300500000,3199000000,1,50.663593
4,1036800,114750000,665600000,1,54.207363
4,1036800,114750000,2133000000,1,47.906635
4,1036800,114750000,3199000000,1,59.546062
8,1036800,114750000,665600000,1,49.318058
8,1036800,114750000,2133000000,1,43.12579
8,1036800,114750000,3199000000,1,48.782608
12,1036800,114750000,665600000,1,53.912163
12,1036800,114750000,2133000000,1,42.765327
12,1036800,114750000,3199000000,1,44.861027
4,1036800,318750000,665600000,1,45.226696
4,1036800,318750000,2133000000,1,39.153095
4,1036800,318750000,3199000000,1,46.79405
8,1036800,318750000,665600000,1,40.544968
8,1036800,318750000,2133000000,1,34.397495
8,1036800,318750000,3199000000,1,40.850105
12,1036800,318750000,665600000,1,41.466114
12,1036800,318750000,2133000000,1,34.451466
12,1036800,318750000,3199000000,1,36.44809
4,1036800,522750000,665600000,1,45.80687
4,1036800,522750000,2133000000,1,36.495274
4,1036800,522750000,3199000000,1,43.143803
8,1036800,522750000,665600000,1,40.400867
8,1036800,522750000,2133000000,1,33.608986
8,1036800,522750000,3199000000,1,40.91324
12,1036800,522750000,665600000,1,42.015533
12,1036800,522750000,2133000000,1,35.361874
12,1036800,522750000,3199000000,1,37.686314
4,1036800,726750000,665600000,1,47.611797
4,1036800,726750000,2133000000,1,38.35749
4,1036800,726750000,3199000000,1,43.6594
8,1036800,726750000,665600000,1,41.79513
8,1036800,726750000,2133000000,1,34.755077
8,1036800,726750000,3199000000,1,41.67145
12,1036800,726750000,665600000,1,43.495136
12,1036800,726750000,2133000000,1,36.402332
12,1036800,726750000,3199000000,1,38.14859
4,1036800,930750000,665600000,1,47.741
4,1036800,930750000,2133000000,1,41.950283
4,1036800,930750000,3199000000,1,45.26001
8,1036800,930750000,665600000,1,43.265347
8,1036800,930750000,2133000000,1,36.43156
8,1036800,930750000,3199000000,1,41.764744
12,1036800,930750000,665600000,1,43.937634
12,1036800,930750000,2133000000,1,36.630505
