cores,cpu,gpu,mem,bs,predicted_time
4,1036800,1134750000,3199000000,1,39.821453
8,1036800,1134750000,665600000,1,51.355106
8,1036800,1134750000,2133000000,1,34.71937
8,1036800,1134750000,3199000000,1,38.088722
12,1036800,1134750000,665600000,1,53.441044
12,1036800,1134750000,2133000000,1,35.844166
12,1036800,1134750000,3199000000,1,37.83882
4,1036800,1300500000,665600000,1,66.68375
4,1036800,1300500000,2133000000,1,36.585926
4,1036800,1300500000,3199000000,1,42.516834
8,1036800,1300500000,665600000,1,56.595497
8,1036800,1300500000,2133000000,1,36.33945
8,1036800,1300500000,3199000000,1,38.52778
12,1036800,1300500000,665600000,1,57.018658
12,1036800,1300500000,2133000000,1,36.880413
12,1036800,1300500000,3199000000,1,38.655716
4,1344000,114750000,665600000,1,100.97806
4,1344000,114750000,2133000000,1,75.26726
4,1344000,114750000,3199000000,1,98.55654
8,1344000,114750000,665600000,1,87.24392
8,1344000,114750000,2133000000,1,66.84264
8,1344000,114750000,3199000000,1,82.42067
12,1344000,114750000,665600000,1,98.69127
12,1344000,114750000,2133000000,1,70.97104
12,1344000,114750000,3199000000,1,82.40302
4,1344000,318750000,665600000,1,57.419712
4,1344000,318750000,2133000000,1,43.96809
4,1344000,318750000,3199000000,1,52.335945
8,1344000,318750000,665600000,1,54.977806
8,1344000,318750000,2133000000,1,42.110012
8,1344000,318750000,3199000000,1,47.12432
12,1344000,318750000,665600000,1,60.344254
12,1344000,318750000,2133000000,1,42.103836
12,1344000,318750000,3199000000,1,44.22541
4,1344000,522750000,665600000,1,50.221485
4,1344000,522750000,2133000000,1,37.648262
4,1344000,522750000,3199000000,1,42.592407
8,1344000,522750000,665600000,1,50.312595
8,1344000,522750000,2133000000,1,36.667576
8,1344000,522750000,3199000000,1,40.28049
12,1344000,522750000,665600000,1,54.850403
12,1344000,522750000,2133000000,1,37.81835
12,1344000,522750000,3199000000,1,38.4009
4,1344000,726750000,665600000,1,47.277523
4,1344000,726750000,2133000000,1,35.574455
4,1344000,726750000,3199000000,1,39.442955
8,1344000,726750000,665600000,1,48.326042
8,1344000,726750000,2133000000,1,34.73463
8,1344000,726750000,3199000000,1,36.771545
12,1344000,726750000,665600000,1,53.359425
12,1344000,726750000,2133000000,1,34.95952
12,1344000,726750000,3199000000,1,35.660767
4,1344000,930750000,665600000,1,48.25805
4,1344000,930750000,2133000000,1,34.519062
4,1344000,930750000,3199000000,1,37.100395
8,1344000,930750000,665600000,1,47.87789
8,1344000,930750000,2133000000,1,34.0998
8,1344000,930750000,3199000000,1,34.87161
12,1344000,930750000,665600000,1,51.524124
12,1344000,930750000,2133000000,1,34.639084
12,1344000,930750000,3199000000,1,34.54188
4,1344000,1134750000,665600000,1,52.62355
4,1344000,1134750000,2133000000,1,34.392403
4,1344000,1134750000,3199000000,1,35.99306
8,1344000,1134750000,665600000,1,49.43746
8,1344000,1134750000,2133000000,1,34.04729
8,1344000,1134750000,3199000000,1,34.484962
12,1344000,1134750000,665600000,1,53.32117
12,1344000,1134750000,2133000000,1,35.056797
12,1344000,1134750000,3199000000,1,34.975197
4,1344000,1300500000,665600000,1,58.655533
4,1344000,1300500000,2133000000,1,35.78443
4,1344000,1300500000,3199000000,1,36.886345
8,1344000,1300500000,665600000,1,53.62247
8,1344000,1300500000,2133000000,1,35.243084
8,1344000,1300500000,3199000000,1,34.951466
12,1344000,1300500000,665600000,1,55.955494
12,1344000,1300500000,2133000000,1,36.164127
12,1344000,1300500000,3199000000,1,35.906494
4,1651200,114750000,665600000,1,101.368385
4,1651200,114750000,2133000000,1,77.19804
4,1651200,114750000,3199000000,1,96.69569
8,1651200,114750000,665600000,1,92.348656
8,1651200,114750000,2133000000,1,69.76468
8,1651200,114750000,3199000000,1,82.66925
12,1651200,114750000,665600000,1,104.44623
12,1651200,114750000,2133000000,1,77.91586
12,1651200,114750000,3199000000,1,86.0378
4,1651200,318750000,665600000,1,56.528465
4,1651200,318750000,2133000000,1,43.015175
4,1651200,318750000,3199000000,1,49.86316
8,1651200,318750000,665600000,1,55.992546
8,1651200,318750000,2133000000,1,40.86965
8,1651200,318750000,3199000000,1,45.270393
12,1651200,318750000,665600000,1,61.321762
12,1651200,318750000,2133000000,1,41.446342
12,1651200,318750000,3199000000,1,43.312866
4,1651200,522750000,665600000,1,50.356247
4,1651200,522750000,2133000000,1,35.780666
4,1651200,522750000,3199000000,1,40.1151
8,1651200,522750000,665600000,1,50.79384
8,1651200,522750000,2133000000,1,35.03319
8,1651200,522750000,3199000000,1,37.27706
12,1651200,522750000,665600000,1,55.160023
12,1651200,522750000,2133000000,1,36.592667
12,1651200,522750000,3199000000,1,36.394463
4,1651200,726750000,665600000,1,48.06594
4,1651200,726750000,2133000000,1,34.719166
4,1651200,726750000,3199000000,1,36.72205
8,1651200,726750000,665600000,1,50.413414
8,1651200,726750000,2133000000,1,34.03871
8,1651200,726750000,3199000000,1,34.629414
12,1651200,726750000,665600000,1,53.737885
12,1651200,726750000,2133000000,1,34.32228
12,1651200,726750000,3199000000,1,33.95211
4,1651200,930750000,665600000,1,48.02987
4,1651200,930750000,2133000000,1,33.989605
4,1651200,930750000,3199000000,1,35.02331
8,1651200,930750000,665600000,1,49.63176
8,1651200,930750000,2133000000,1,33.50195
8,1651200,930750000,3199000000,1,33.30945
