observed_time,observed_power,powermode,predicted_time,predicted_power
193.5012435913085,26.29,8_1036800_1300500000_665600000,194.7995,24.068306
84.22037124633789,34.596,8_1036800_1134750000_2133000000,115.265396,26.251932
69.04446411132812,38.199,8_1036800_1134750000_3199000000,124.25049,30.052267
197.65753173828125,23.786,8_1036800_1134750000_665600000,197.9195,22.454498
89.63081741333008,30.694,8_1036800_930750000_2133000000,110.01617,23.677608
73.46599960327148,34.299,8_1036800_930750000_3199000000,106.44884,27.220112
200.13450622558588,21.778,8_1036800_930750000_665600000,200.5463,20.690617
99.62395095825195,27.486,8_1036800_726750000_2133000000,112.04699,21.307236
88.10631942749023,30.437,8_1036800_726750000_3199000000,100.34988,24.644827
203.5134735107422,20.572,8_1036800_726750000_665600000,204.26355,19.244585
117.29337692260742,24.189,8_1036800_522750000_2133000000,116.53982,19.748522
113.85193634033205,26.1835,8_1036800_522750000_3199000000,108.53686,22.118677
212.6914596557617,19.176,8_1036800_522750000_665600000,212.93387,17.950336
179.29940795898438,21.084,8_1036800_318750000_2133000000,171.45425,18.253721
175.7442398071289,22.189,8_1036800_318750000_3199000000,186.32146,19.715307
241.2014389038086,18.022,8_1036800_318750000_665600000,239.27249,16.803541
468.3822784423828,16.153,8_1036800_114750000_2133000000,441.2986,15.771997
467.1210021972656,17.0175,8_1036800_114750000_3199000000,463.99905,17.066715
472.864013671875,15.253,8_1036800_114750000_665600000,480.50497,14.92341
76.53006362915039,39.616,8_1344000_1300500000_2133000000,96.35377,31.570354
61.22177696228027,36.3445,8_1344000_1300500000_3199000000,107.18571,36.04317
190.7399978637696,26.293,8_1344000_1300500000_665600000,187.74121,25.795513
81.05926513671875,35.853,8_1344000_1134750000_2133000000,96.07219,28.587475
65.78604888916016,41.407,8_1344000_1134750000_3199000000,93.578285,33.015156
193.5038604736328,23.881,8_1344000_1134750000_665600000,192.35753,23.426258
87.18929672241211,31.4895,8_1344000_930750000_2133000000,99.78046,25.560259
71.477294921875,36.597,8_1344000_930750000_3199000000,88.74552,29.356455
196.7405548095703,22.278,8_1344000_930750000_665600000,195.63872,21.052284
97.26211166381836,28.095,8_1344000_726750000_2133000000,106.45674,22.840397
85.29339218139648,29.436,8_1344000_726750000_3199000000,91.2586,26.412764
201.2153091430664,20.575,8_1344000_726750000_665600000,199.37378,19.102514
115.51087951660156,24.59,8_1344000_522750000_2133000000,115.27227,20.208103
112.2915496826172,26.384,8_1344000_522750000_3199000000,101.098816,23.69351
210.09255981445307,19.373,8_1344000_522750000_665600000,207.95929,17.575756
176.98448181152344,21.08,8_1344000_318750000_2133000000,171.22578,18.172283
174.95697784423828,22.181,8_1344000_318750000_3199000000,180.28497,20.294716
239.0093231201172,18.273,8_1344000_318750000_665600000,236.77475,16.357418
467.1529235839844,16.159,8_1344000_114750000_2133000000,442.21378,15.537313
465.5901489257813,16.972,8_1344000_114750000_3199000000,463.3105,17.2402
472.1035614013672,15.254,8_1344000_114750000_665600000,480.04004,14.602792
75.70022583007812,40.719,8_1651200_1300500000_2133000000,84.68446,34.659782
59.22990417480469,46.474,8_1651200_1300500000_3199000000,84.29804,39.147793
189.10486602783203,26.694,8_1651200_1300500000_665600000,173.51392,28.816538
79.6381607055664,36.5,8_1651200_1134750000_2133000000,86.20475,31.662521
63.9253101348877,42.209,8_1651200_1134750000_3199000000,78.95713,36.11692
192.3068466186524,24.2825,8_1651200_1134750000_665600000,187.05466,25.681952
86.63183975219727,32.191,8_1651200_930750000_2133000000,93.08838,28.035664
70.60168075561523,36.101,8_1651200_930750000_3199000000,80.10241,32.422894
195.1889495849609,22.679,8_1651200_930750000_665600000,191.63745,22.879744
95.54982376098631,28.186,8_1651200_726750000_2133000000,100.63676,25.056631
84.21441650390625,31.992,8_1651200_726750000_3199000000,84.68191,28.827326
199.9641265869141,20.976,8_1651200_726750000_665600000,197.22217,20.18251
113.50627136230467,25.143,8_1651200_522750000_2133000000,116.060394,22.336767
110.1579704284668,27.033,8_1651200_522750000_3199000000,98.29924,25.625463
208.4086227416992,19.372,8_1651200_522750000_665600000,207.62158,17.996296
175.7713623046875,21.075,8_1651200_318750000_2133000000,173.19365,19.192171
172.85417938232422,22.5815,8_1651200_318750000_3199000000,176.35133,21.851936
236.95193481445312,18.266,8_1651200_318750000_665600000,237.20099,16.418076
466.2398681640625,16.557,8_1651200_114750000_2133000000,443.54276,15.859829
464.6930694580078,17.17,8_1651200_114750000_3199000000,464.64737,18.102182
470.6022033691406,15.6535,8_1651200_114750000_665600000,481.1389,14.655543
