cores,cpu,gpu,mem,predicted_time
4.0,1651200.0,522750000.0,3199000000.0,196.65318
4.0,1651200.0,726750000.0,665600000.0,305.08032
4.0,1651200.0,726750000.0,2133000000.0,174.69066
4.0,1651200.0,726750000.0,3199000000.0,157.36525
4.0,1651200.0,930750000.0,665600000.0,287.61295
4.0,1651200.0,930750000.0,2133000000.0,156.3012
4.0,1651200.0,930750000.0,3199000000.0,141.93721
4.0,1651200.0,1134750000.0,665600000.0,280.28937
4.0,1651200.0,1134750000.0,2133000000.0,154.76897
4.0,1651200.0,1134750000.0,3199000000.0,131.97855
4.0,1651200.0,1300500000.0,665600000.0,277.36865
4.0,1651200.0,1300500000.0,2133000000.0,147.91893
4.0,1651200.0,1300500000.0,3199000000.0,126.14918
4.0,1958400.0,114750000.0,665600000.0,785.6183
4.0,1958400.0,114750000.0,2133000000.0,775.4907
4.0,1958400.0,114750000.0,3199000000.0,771.20984
4.0,1958400.0,318750000.0,665600000.0,369.04266
4.0,1958400.0,318750000.0,2133000000.0,298.12872
4.0,1958400.0,318750000.0,3199000000.0,289.18262
4.0,1958400.0,522750000.0,665600000.0,317.30243
4.0,1958400.0,522750000.0,2133000000.0,205.14977
4.0,1958400.0,522750000.0,3199000000.0,192.5016
4.0,1958400.0,726750000.0,665600000.0,300.62
4.0,1958400.0,726750000.0,2133000000.0,161.38243
4.0,1958400.0,726750000.0,3199000000.0,152.4846
4.0,1958400.0,930750000.0,665600000.0,283.0351
4.0,1958400.0,930750000.0,2133000000.0,158.03671
4.0,1958400.0,930750000.0,3199000000.0,136.0514
4.0,1958400.0,1134750000.0,665600000.0,278.1953
4.0,1958400.0,1134750000.0,2133000000.0,151.63225
4.0,1958400.0,1134750000.0,3199000000.0,125.423325
4.0,1958400.0,1300500000.0,665600000.0,267.54123
4.0,1958400.0,1300500000.0,2133000000.0,142.06737
4.0,1958400.0,1300500000.0,3199000000.0,119.04772
4.0,2201600.0,114750000.0,665600000.0,784.51434
4.0,2201600.0,114750000.0,2133000000.0,771.6949
4.0,2201600.0,114750000.0,3199000000.0,749.10333
4.0,2201600.0,318750000.0,665600000.0,366.43823
4.0,2201600.0,318750000.0,2133000000.0,298.67957
4.0,2201600.0,318750000.0,3199000000.0,290.24844
4.0,2201600.0,522750000.0,665600000.0,315.30795
4.0,2201600.0,522750000.0,2133000000.0,203.10732
4.0,2201600.0,522750000.0,3199000000.0,191.27104
4.0,2201600.0,726750000.0,665600000.0,295.41287
4.0,2201600.0,726750000.0,2133000000.0,160.32399
4.0,2201600.0,726750000.0,3199000000.0,152.38272
4.0,2201600.0,930750000.0,665600000.0,280.92352
4.0,2201600.0,930750000.0,2133000000.0,158.37274
4.0,2201600.0,930750000.0,3199000000.0,132.78864
4.0,2201600.0,1134750000.0,665600000.0,277.08798
4.0,2201600.0,1134750000.0,2133000000.0,148.2444
4.0,2201600.0,1134750000.0,3199000000.0,122.52508
4.0,2201600.0,1300500000.0,665600000.0,253.66725
4.0,2201600.0,1300500000.0,2133000000.0,138.67146
