observed_time,observed_power,powermode,predicted_time,predicted_power
1419.0653076171875,37.418,8_422400_1134750000_2133000000,1660.364,35.66277
1095.0881958007812,46.294,8_422400_1134750000_3199000000,1460.8524,43.28054
3912.573364257813,24.083,12_422400_1134750000_665600000,4100.2627,25.916586
1504.05419921875,37.417,12_422400_1134750000_2133000000,1789.8773,36.47625
1076.3255004882812,47.091,12_422400_1134750000_3199000000,1517.9026,44.003124
3920.900390625,25.793,4_422400_1300500000_665600000,4076.998,27.518892
1430.29150390625,41.55,4_422400_1300500000_2133000000,1594.069,38.594284
1094.15625,50.348,4_422400_1300500000_3199000000,1369.483,46.406895
3927.770751953125,26.088,8_422400_1300500000_665600000,4083.2441,28.158512
1388.7597045898438,42.831,8_422400_1300500000_2133000000,1669.8633,39.184383
1045.394775390625,51.492,8_422400_1300500000_3199000000,1403.4984,47.09067
3928.1702880859375,26.289,12_422400_1300500000_665600000,4117.406,29.004694
1372.564208984375,42.831,12_422400_1300500000_2133000000,1793.3595,39.955135
1053.5744018554688,54.125,12_422400_1300500000_3199000000,1458.4703,47.805183
7886.233154296875,15.664,4_729600_114750000_665600000,7759.048,16.487904
7865.21484375,16.568,4_729600_114750000_2133000000,7654.3164,17.473259
7855.256591796875,17.472,4_729600_114750000_3199000000,7696.6855,20.339167
7898.028076171875,15.664,8_729600_114750000_665600000,7729.7656,16.51621
7878.604248046875,16.669,8_729600_114750000_2133000000,7620.562,17.462158
7868.0390625,17.472,8_729600_114750000_3199000000,7663.746,20.3878
7886.872314453125,16.065,12_729600_114750000_665600000,7724.5996,16.885494
7859.49072265625,16.969,12_729600_114750000_2133000000,7598.813,18.022486
7858.177978515625,17.873,12_729600_114750000_3199000000,7653.0796,20.995386
4153.0625,18.675,4_729600_318750000_665600000,4428.7085,17.674303
2870.779663085937,22.084,4_729600_318750000_2133000000,3191.4397,20.170317
2852.63330078125,23.691,4_729600_318750000_3199000000,3153.0059,24.243034
4140.625,18.776,8_729600_318750000_665600000,4365.1475,17.698286
2871.239990234375,22.384,8_729600_318750000_2133000000,3058.2886,20.034359
2854.839233398437,23.701,8_729600_318750000_3199000000,3078.506,24.692013
4148.264892578125,19.076,12_729600_318750000_665600000,4378.6963,18.121937
2863.7218017578125,22.388,12_729600_318750000_2133000000,3055.2966,20.86439
2848.257202148437,24.092,12_729600_318750000_3199000000,3091.9648,25.50855
3983.350463867188,19.274,4_729600_522750000_665600000,4173.467,18.884466
1822.931701660156,26.906,4_729600_522750000_2133000000,2172.292,23.059587
1792.92578125,29.204,4_729600_522750000_3199000000,2099.5308,28.686766
3961.261962890625,19.569,8_729600_522750000_665600000,4189.9907,18.928823
1810.5078125,27.301,8_729600_522750000_2133000000,2116.9177,23.187054
1782.0255737304688,29.304,8_729600_522750000_3199000000,2034.2633,29.214937
3969.30810546875,19.671,12_729600_522750000_665600000,4219.7183,19.444103
1835.1178588867188,27.301,12_729600_522750000_2133000000,2118.67,23.95797
1785.5882568359375,29.51,12_729600_522750000_3199000000,2006.002,30.07243
3948.3743896484375,20.179,4_729600_726750000_665600000,4085.4116,20.189566
1520.5863647460938,30.818,4_729600_726750000_2133000000,1803.9614,26.607344
1364.1172485351562,34.794,4_729600_726750000_3199000000,1624.4618,33.24349
3935.7103271484375,20.484,8_729600_726750000_665600000,4098.1094,20.302397
1582.8069458007812,30.717,8_729600_726750000_2133000000,1808.6344,27.14876
1344.7971801757812,35.405,8_729600_726750000_3199000000,1620.1217,33.744606
3940.537353515625,20.581,12_729600_726750000_665600000,4126.3228,20.899176
1509.5452880859375,31.319,12_729600_726750000_2133000000,1846.9971,27.93296
1348.55859375,35.405,12_729600_726750000_3199000000,1647.3848,34.637104
3930.91064453125,21.779,4_729600_930750000_665600000,4033.4287,21.887379
1406.6056518554688,34.92,4_729600_930750000_2133000000,1651.0656,30.732115
1127.0880737304688,41.218,4_729600_930750000_3199000000,1429.4507,37.82255
3924.1185302734375,21.782,8_729600_930750000_665600000,4033.0527,21.953892
1391.8740844726562,35.215,8_729600_930750000_2133000000,1656.7113,31.322176
1114.6024780273438,42.111,8_729600_930750000_3199000000,1460.4397,38.36347
3925.4921875,22.18,12_729600_930750000_665600000,4066.061,22.903458
1399.7667846679688,35.415,12_729600_930750000_2133000000,1741.9652,32.137695
1164.102783203125,41.018,12_729600_930750000_3199000000,1519.8068,39.21235
3923.340698242188,23.683,4_729600_1134750000_665600000,4053.871,24.472727
1359.1360473632812,38.631,4_729600_1134750000_2133000000,1549.4042,34.946407
1113.4141235351562,43.713,4_729600_1134750000_3199000000,1357.1696,42.403713
3935.2861328125,23.783,8_729600_1134750000_665600000,4054.369,24.795364
1330.0546875,39.925,8_729600_1134750000_2133000000,1580.6698,35.50238
1037.5986328125,46.815,8_729600_1134750000_3199000000,1389.5204,43.01969
3928.8023681640634,23.783,12_729600_1134750000_665600000,4084.59,25.838537
1452.8367309570312,37.927,12_729600_1134750000_2133000000,1692.06,36.35495
1095.1272583007812,47.021,12_729600_1134750000_3199000000,1441.6772,43.809113
3914.8349609375,25.793,4_729600_1300500000_665600000,4086.0085,27.46323
1333.1414794921875,43.155,4_729600_1300500000_2133000000,1522.4918,38.38764
1101.5751953125,50.556,4_729600_1300500000_3199000000,1311.6759,46.151043
3927.453369140625,26.188,8_729600_1300500000_665600000,4088.5232,28.157257
1330.806396484375,44.046,8_729600_1300500000_2133000000,1585.4735,38.935074
1086.6664428710938,51.927,8_729600_1300500000_3199000000,1336.2279,46.82555
3917.761596679688,26.188,12_729600_1300500000_665600000,4107.2334,28.943533
1315.6832275390625,44.146,12_729600_1300500000_2133000000,1691.1254,39.809753
987.9490051269532,54.912,12_729600_1300500000_3199000000,1374.6561,47.575638
7886.930419921875,15.664,4_1036800_114750000_665600000,7767.033,16.59862
