cores,cpu,gpu,mem,bs,predicted_power
4,422400,1300500000,3199000000,4,18.78382
8,422400,1300500000,665600000,4,17.414543
8,422400,1300500000,2133000000,4,18.158659
8,422400,1300500000,3199000000,4,18.73168
12,422400,1300500000,665600000,4,17.50918
12,422400,1300500000,2133000000,4,18.163883
12,422400,1300500000,3199000000,4,18.726057
4,729600,114750000,665600000,4,14.363176
4,729600,114750000,2133000000,4,14.721586
4,729600,114750000,3199000000,4,14.821259
8,729600,114750000,665600000,4,14.274252
8,729600,114750000,2133000000,4,14.7180195
8,729600,114750000,3199000000,4,15.000711
12,729600,114750000,665600000,4,14.241976
12,729600,114750000,2133000000,4,14.689495
12,729600,114750000,3199000000,4,15.447914
4,729600,318750000,665600000,4,14.642998
4,729600,318750000,2133000000,4,14.9874
4,729600,318750000,3199000000,4,14.9602585
8,729600,318750000,665600000,4,14.635254
8,729600,318750000,2133000000,4,15.207298
8,729600,318750000,3199000000,4,15.670498
12,729600,318750000,665600000,4,14.662729
12,729600,318750000,2133000000,4,15.768732
12,729600,318750000,3199000000,4,16.596256
4,729600,522750000,665600000,4,15.292803
4,729600,522750000,2133000000,4,16.034636
4,729600,522750000,3199000000,4,16.900814
8,729600,522750000,665600000,4,15.396046
8,729600,522750000,2133000000,4,16.166704
8,729600,522750000,3199000000,4,17.472647
12,729600,522750000,665600000,4,15.773605
12,729600,522750000,2133000000,4,16.649424
12,729600,522750000,3199000000,4,17.517014
4,729600,726750000,665600000,4,15.985809
4,729600,726750000,2133000000,4,17.774244
4,729600,726750000,3199000000,4,18.055693
8,729600,726750000,665600000,4,16.084917
8,729600,726750000,2133000000,4,17.104576
8,729600,726750000,3199000000,4,18.092854
12,729600,726750000,665600000,4,16.228071
12,729600,726750000,2133000000,4,17.670984
12,729600,726750000,3199000000,4,17.727772
4,729600,930750000,665600000,4,16.44266
4,729600,930750000,2133000000,4,18.803392
4,729600,930750000,3199000000,4,18.674498
8,729600,930750000,665600000,4,16.512653
8,729600,930750000,2133000000,4,18.254074
8,729600,930750000,3199000000,4,18.368635
12,729600,930750000,665600000,4,16.588263
12,729600,930750000,2133000000,4,17.73661
12,729600,930750000,3199000000,4,18.059963
4,729600,1134750000,665600000,4,16.869717
4,729600,1134750000,2133000000,4,18.945772
4,729600,1134750000,3199000000,4,19.403585
8,729600,1134750000,665600000,4,17.011042
8,729600,1134750000,2133000000,4,18.517492
8,729600,1134750000,3199000000,4,19.30565
12,729600,1134750000,665600000,4,17.414808
12,729600,1134750000,2133000000,4,18.59951
12,729600,1134750000,3199000000,4,19.417116
4,729600,1300500000,665600000,4,18.050856
4,729600,1300500000,2133000000,4,19.73155
