observed_time,observed_power,powermode,predicted_time,predicted_power
1117.527723312378,12.784,8_422400_114750000_665600000,1111.2649,12.692868
465.22676944732666,17.016,8_729600_1300500000_2133000000,617.0305,16.805183
458.73379707336426,18.026,8_729600_1300500000_3199000000,610.0762,17.594994
521.3823318481445,17.516,8_729600_1300500000_665600000,654.6304,15.958044
474.495530128479,16.208,8_729600_1134750000_2133000000,585.8462,15.956013
458.33373069763184,16.711,8_729600_1134750000_3199000000,573.0972,16.84045
521.6134786605835,16.007,8_729600_1134750000_665600000,624.64087,15.106345
461.5774154663086,14.905,8_729600_930750000_2133000000,551.6557,15.149696
467.6656723022461,16.01,8_729600_930750000_3199000000,534.4885,16.014996
540.2820110321045,14.392,8_729600_930750000_665600000,592.4686,14.290012
469.11561489105225,15.009,8_729600_726750000_2133000000,523.319,14.486661
467.8680896759033,16.919,8_729600_726750000_3199000000,505.14236,15.291673
532.7104330062866,14.295,8_729600_726750000_665600000,576.6446,13.734277
464.2233848571777,14.202,8_729600_522750000_2133000000,500.13104,14.096585
458.5182666778565,14.806,8_729600_522750000_3199000000,490.03412,14.7701435
543.0526733398438,13.289,8_729600_522750000_665600000,579.1786,13.411906
503.5699605941773,14.202,8_729600_318750000_2133000000,546.08704,13.858224
505.340576171875,15.4585,8_729600_318750000_3199000000,551.3395,14.412111
596.604585647583,13.392,8_729600_318750000_665600000,611.82086,13.158303
955.0491571426392,14.002,8_729600_114750000_2133000000,969.52893,13.634391
954.036831855774,15.008,8_729600_114750000_3199000000,976.91547,14.18929
973.9340543746948,12.994,8_729600_114750000_665600000,1008.3889,12.9230385
357.5516939163208,18.022,8_1036800_1300500000_2133000000,451.263,17.758726
359.45963859558105,18.723,8_1036800_1300500000_3199000000,448.3232,18.59048
455.7509422302246,18.324,8_1036800_1300500000_665600000,494.87073,16.869862
363.55042457580566,16.816,8_1036800_1134750000_2133000000,409.4524,16.910622
351.59945487976074,17.822,8_1036800_1134750000_3199000000,408.11932,17.80023
453.8686275482178,16.4595,8_1036800_1134750000_665600000,463.48294,15.963272
363.7251853942871,16.5655,8_1036800_930750000_2133000000,367.58282,16.06072
346.9122648239136,17.222,8_1036800_930750000_3199000000,364.31097,16.945074
457.48448371887207,15.097,8_1036800_930750000_665600000,447.22125,14.9493685
355.0006151199341,15.714,8_1036800_726750000_2133000000,351.1289,15.269467
343.54400634765625,16.315,8_1036800_726750000_3199000000,340.4771,16.146326
471.28939628601074,14.908,8_1036800_726750000_665600000,454.78076,14.26537
369.10879611968994,14.806,8_1036800_522750000_2133000000,369.45316,14.592785
348.4216928482056,16.115,8_1036800_522750000_3199000000,353.36053,15.406294
480.57496547698975,13.8485,8_1036800_522750000_665600000,475.11484,13.733159
445.4576969146729,14.8535,8_1036800_318750000_2133000000,444.32446,14.1660185
438.5664463043213,15.612,8_1036800_318750000_3199000000,453.06226,14.882248
527.9120206832886,14.0,8_1036800_318750000_665600000,527.36896,13.4251375
894.6619033813477,14.404,8_1036800_114750000_2133000000,891.316,13.915515
890.945553779602,15.111,8_1036800_114750000_3199000000,906.1377,14.531556
905.6895971298218,13.497,8_1036800_114750000_665600000,926.95886,13.198761
297.5672483444214,19.0835,8_1344000_1300500000_2133000000,320.74927,18.765266
284.2220067977905,19.633,8_1344000_1300500000_3199000000,329.07574,19.604042
420.78685760498047,18.223,8_1344000_1300500000_665600000,397.3825,17.806475
301.59032344818115,17.323,8_1344000_1134750000_2133000000,287.70715,17.889914
285.12418270111084,18.929,8_1344000_1134750000_3199000000,295.00146,18.769064
416.5781736373901,16.715,8_1344000_1134750000_665600000,390.30585,16.87125
298.4442710876465,16.72,8_1344000_930750000_2133000000,271.5401,17.00261
278.99444103240967,17.224,8_1344000_930750000_3199000000,271.0564,17.90528
425.6187677383423,15.712,8_1344000_930750000_665600000,389.94305,15.826716
302.507758140564,15.916,8_1344000_726750000_2133000000,275.76425,16.198982
284.29555892944336,17.023,8_1344000_726750000_3199000000,268.6166,17.07663
434.3695640563965,15.107,8_1344000_726750000_665600000,401.2947,14.991088
327.60119438171387,15.612,8_1344000_522750000_2133000000,309.6059,15.4069395
317.64721870422363,16.52,8_1344000_522750000_3199000000,300.5948,16.288092
452.4499177932739,14.504,8_1344000_522750000_665600000,425.75177,14.332732
414.3742322921753,15.6635,8_1344000_318750000_2133000000,398.11826,14.706181
405.38156032562256,16.317,8_1344000_318750000_3199000000,406.83716,15.569457
496.70958518981934,14.101,8_1344000_318750000_665600000,472.98264,13.809878
867.2832250595093,14.606,8_1344000_114750000_2133000000,843.4635,14.254588
855.24582862854,15.109,8_1344000_114750000_3199000000,862.6635,15.0700865
876.8210411071777,13.699,8_1344000_114750000_665600000,870.8388,13.488636
245.1692819595337,20.4875,8_1651200_1300500000_2133000000,257.5238,19.805653
232.09714889526367,20.54,8_1651200_1300500000_3199000000,253.14987,20.6537
390.8027410507202,19.128,8_1651200_1300500000_665600000,371.06805,18.764763
253.2362937927246,19.5295,8_1651200_1134750000_2133000000,240.80217,18.887342
238.7460470199585,19.63,8_1651200_1134750000_3199000000,232.00293,19.76075
392.2362327575684,17.921,8_1651200_1134750000_665600000,366.5617,17.796787
251.47318840026853,17.525,8_1651200_930750000_2133000000,233.43707,17.961988
237.2766733169556,18.226,8_1651200_930750000_3199000000,224.28976,18.871492
394.62924003601074,16.715,8_1651200_930750000_665600000,367.0959,16.770334
264.4364833831787,17.123,8_1651200_726750000_2133000000,247.68927,17.129286
245.8101511001587,18.635,8_1651200_726750000_3199000000,236.21341,18.023
405.7742357254028,15.914,8_1651200_726750000_665600000,382.47406,15.921161
298.30455780029297,16.521,8_1651200_522750000_2133000000,288.02786,16.337244
289.8658514022827,17.6265,8_1651200_522750000_3199000000,277.38953,17.240608
428.9262294769287,15.0565,8_1651200_522750000_665600000,409.24142,15.129119
384.9412202835083,16.118,8_1651200_318750000_2133000000,376.6588,15.546397
379.1613578796387,17.326,8_1651200_318750000_3199000000,382.89117,16.504698
471.80676460266113,14.604,8_1651200_318750000_665600000,455.65317,14.440595
839.6215438842773,15.109,8_1651200_114750000_2133000000,812.0366,14.838411
835.9668254852295,15.713,8_1651200_114750000_3199000000,832.58374,15.813736
851.5726327896118,14.0,8_1651200_114750000_665600000,844.1245,13.899428
220.6094264984131,21.337,8_1958400_1300500000_2133000000,238.36241,20.876942
204.43809032440183,22.45,8_1958400_1300500000_3199000000,216.23486,21.719994
372.4857568740845,20.135,8_1958400_1300500000_665600000,359.23346,19.770958
217.67449378967285,20.242,8_1958400_1134750000_2133000000,225.01309,19.91703
201.87067985534668,20.841,8_1958400_1134750000_3199000000,204.45921,20.796417
371.4019060134888,18.521,8_1958400_1134750000_665600000,355.40616,18.810007
224.76708889007568,19.383,8_1958400_930750000_2133000000,217.1275,18.927748
205.17802238464355,20.336,8_1958400_930750000_3199000000,204.46115,19.849586
380.5186748504639,17.721,8_1958400_930750000_665600000,362.20093,17.738543
240.0393486022949,17.723,8_1958400_726750000_2133000000,231.12874,18.085915
223.0827808380127,19.0825,8_1958400_726750000_3199000000,224.03868,19.010359
388.1741762161255,16.715,8_1958400_726750000_665600000,378.36072,16.860758
270.5461978912353,17.321,8_1958400_522750000_2133000000,266.90662,17.267548
264.4925117492676,18.2285,8_1958400_522750000_3199000000,271.09048,18.222786
404.6424627304077,16.212,8_1958400_522750000_665600000,398.4723,16.059423
366.3264513015748,17.024,8_1958400_318750000_2133000000,363.32867,16.486526
363.1335496902466,17.83,8_1958400_318750000_3199000000,381.3485,17.486582
456.46512508392334,15.6115,8_1958400_318750000_665600000,453.29538,15.2694235
839.6331071853638,15.41,8_1958400_114750000_2133000000,799.2939,15.717314
834.743857383728,16.82,8_1958400_114750000_3199000000,813.07117,16.764244
848.407506942749,14.506,8_1958400_114750000_665600000,841.90015,14.555093
202.11482048034668,23.259,8_2201600_1300500000_2133000000,236.12708,21.732082
186.3888502120972,23.915,8_2201600_1300500000_3199000000,196.68893,22.56766
360.2762222290039,21.446,8_2201600_1300500000_665600000,359.57516,20.620325
206.59315586090088,21.137,8_2201600_1134750000_2133000000,226.10213,20.761805
186.3731145858765,22.243,8_2201600_1134750000_3199000000,189.28525,21.639591
365.40281772613525,19.828,8_2201600_1134750000_665600000,355.80878,19.6408
211.64143085479736,20.641,8_2201600_930750000_2133000000,227.46243,19.700798
189.3515586853028,21.25,8_2201600_930750000_3199000000,191.9206,20.652126
367.6868677139282,18.525,8_2201600_930750000_665600000,360.111,18.521566
225.81708431243896,18.729,8_2201600_726750000_2133000000,244.507,18.850473
210.0880146026612,20.239,8_2201600_726750000_3199000000,210.31645,19.808123
376.3037919998169,17.319,8_2201600_726750000_665600000,373.6453,17.611824
257.9585313796997,17.926,8_2201600_522750000_2133000000,280.26727,18.015787
