cores,cpu,gpu,mem,bs,predicted_power
8,729600,522750000,3199000000,1,12.108633
12,729600,522750000,665600000,1,16.04759
12,729600,522750000,2133000000,1,14.186816
12,729600,522750000,3199000000,1,14.2718
4,729600,726750000,665600000,1,14.450426
4,729600,726750000,2133000000,1,12.447787
4,729600,726750000,3199000000,1,13.047332
8,729600,726750000,665600000,1,15.673631
8,729600,726750000,2133000000,1,13.635105
8,729600,726750000,3199000000,1,13.843431
12,729600,726750000,665600000,1,18.505962
12,729600,726750000,2133000000,1,17.009422
12,729600,726750000,3199000000,1,16.601168
4,729600,930750000,665600000,1,16.867512
4,729600,930750000,2133000000,1,15.075273
4,729600,930750000,3199000000,1,15.504146
8,729600,930750000,665600000,1,18.482841
8,729600,930750000,2133000000,1,16.677185
8,729600,930750000,3199000000,1,16.462532
12,729600,930750000,665600000,1,21.464294
12,729600,930750000,2133000000,1,20.127962
12,729600,930750000,3199000000,1,19.551973
4,729600,1134750000,665600000,1,19.78857
4,729600,1134750000,2133000000,1,18.165756
4,729600,1134750000,3199000000,1,18.244701
8,729600,1134750000,665600000,1,21.693666
8,729600,1134750000,2133000000,1,19.912745
8,729600,1134750000,3199000000,1,19.479067
12,729600,1134750000,665600000,1,24.604113
12,729600,1134750000,2133000000,1,23.264177
12,729600,1134750000,3199000000,1,22.617725
4,729600,1300500000,665600000,1,22.41529
4,729600,1300500000,2133000000,1,20.841694
4,729600,1300500000,3199000000,1,20.741924
8,729600,1300500000,665600000,1,24.379002
8,729600,1300500000,2133000000,1,22.670616
8,729600,1300500000,3199000000,1,22.118942
12,729600,1300500000,665600000,1,27.226627
12,729600,1300500000,2133000000,1,25.81342
12,729600,1300500000,3199000000,1,25.13604
4,1036800,114750000,665600000,1,14.247372
4,1036800,114750000,2133000000,1,14.948371
4,1036800,114750000,3199000000,1,16.658792
8,1036800,114750000,665600000,1,12.787669
8,1036800,114750000,2133000000,1,12.896516
8,1036800,114750000,3199000000,1,14.680507
12,1036800,114750000,665600000,1,14.094554
12,1036800,114750000,2133000000,1,13.192557
12,1036800,114750000,3199000000,1,14.911013
4,1036800,318750000,665600000,1,13.197737
4,1036800,318750000,2133000000,1,12.847679
4,1036800,318750000,3199000000,1,14.523135
8,1036800,318750000,665600000,1,12.478414
8,1036800,318750000,2133000000,1,10.894889
8,1036800,318750000,3199000000,1,12.913776
12,1036800,318750000,665600000,1,14.526988
12,1036800,318750000,2133000000,1,12.882619
12,1036800,318750000,3199000000,1,13.964713
4,1036800,522750000,665600000,1,13.54926
4,1036800,522750000,2133000000,1,11.943004
4,1036800,522750000,3199000000,1,13.268893
8,1036800,522750000,665600000,1,13.461539
8,1036800,522750000,2133000000,1,11.44709
8,1036800,522750000,3199000000,1,12.592183
12,1036800,522750000,665600000,1,16.1804
12,1036800,522750000,2133000000,1,14.469857
12,1036800,522750000,3199000000,1,14.622347
4,1036800,726750000,665600000,1,15.320842
4,1036800,726750000,2133000000,1,13.535863
4,1036800,726750000,3199000000,1,14.230727
8,1036800,726750000,665600000,1,15.898423
8,1036800,726750000,2133000000,1,14.047414
8,1036800,726750000,3199000000,1,14.486699
12,1036800,726750000,665600000,1,18.808376
12,1036800,726750000,2133000000,1,17.412132
12,1036800,726750000,3199000000,1,17.026276
4,1036800,930750000,665600000,1,17.62973
4,1036800,930750000,2133000000,1,16.049568
4,1036800,930750000,3199000000,1,16.476997
8,1036800,930750000,665600000,1,18.980804
8,1036800,930750000,2133000000,1,17.223751
8,1036800,930750000,3199000000,1,17.13746
12,1036800,930750000,665600000,1,21.821785
12,1036800,930750000,2133000000,1,20.519838
12,1036800,930750000,3199000000,1,19.985577
4,1036800,1134750000,665600000,1,20.519978
4,1036800,1134750000,2133000000,1,19.176762
4,1036800,1134750000,3199000000,1,19.243238
8,1036800,1134750000,665600000,1,22.271261
8,1036800,1134750000,2133000000,1,20.611881
8,1036800,1134750000,3199000000,1,20.273878
12,1036800,1134750000,665600000,1,24.999664
12,1036800,1134750000,2133000000,1,23.650414
12,1036800,1134750000,3199000000,1,23.048168
4,1036800,1300500000,665600000,1,23.124544
4,1036800,1300500000,2133000000,1,21.83026
4,1036800,1300500000,3199000000,1,21.785889
8,1036800,1300500000,665600000,1,24.994213
8,1036800,1300500000,2133000000,1,23.40535
8,1036800,1300500000,3199000000,1,22.98131
12,1036800,1300500000,665600000,1,27.686523
12,1036800,1300500000,2133000000,1,26.245377
12,1036800,1300500000,3199000000,1,25.613491
4,1344000,114750000,665600000,1,15.13403
4,1344000,114750000,2133000000,1,15.890441
4,1344000,114750000,3199000000,1,17.734064
8,1344000,114750000,665600000,1,13.036962
8,1344000,114750000,2133000000,1,13.818662
8,1344000,114750000,3199000000,1,15.634424
12,1344000,114750000,665600000,1,13.935748
12,1344000,114750000,2133000000,1,13.247301
12,1344000,114750000,3199000000,1,15.438909
4,1344000,318750000,665600000,1,14.112432
4,1344000,318750000,2133000000,1,13.937854
4,1344000,318750000,3199000000,1,15.605644
8,1344000,318750000,665600000,1,12.648921
8,1344000,318750000,2133000000,1,11.4395075
8,1344000,318750000,3199000000,1,13.64486
12,1344000,318750000,665600000,1,14.399493
12,1344000,318750000,2133000000,1,12.936813
12,1344000,318750000,3199000000,1,14.397242
4,1344000,522750000,665600000,1,14.625458
4,1344000,522750000,2133000000,1,13.401364
4,1344000,522750000,3199000000,1,14.743009
8,1344000,522750000,665600000,1,13.942472
8,1344000,522750000,2133000000,1,12.138698
8,1344000,522750000,3199000000,1,13.565188
12,1344000,522750000,665600000,1,16.428091
12,1344000,522750000,2133000000,1,14.866755
12,1344000,522750000,3199000000,1,15.290286
4,1344000,726750000,665600000,1,16.393345
4,1344000,726750000,2133000000,1,14.937014
4,1344000,726750000,3199000000,1,15.697295
8,1344000,726750000,665600000,1,16.478619
8,1344000,726750000,2133000000,1,14.816006
8,1344000,726750000,3199000000,1,15.339616
12,1344000,726750000,665600000,1,19.170998
12,1344000,726750000,2133000000,1,17.828161
12,1344000,726750000,3199000000,1,17.607338
4,1344000,930750000,665600000,1,18.733238
4,1344000,930750000,2133000000,1,17.317001
4,1344000,930750000,3199000000,1,17.670933
8,1344000,930750000,665600000,1,19.600224
8,1344000,930750000,2133000000,1,18.066277
8,1344000,930750000,3199000000,1,18.114788
12,1344000,930750000,665600000,1,22.290197
12,1344000,930750000,2133000000,1,20.9281
12,1344000,930750000,3199000000,1,20.549397
4,1344000,1134750000,665600000,1,21.478945
4,1344000,1134750000,2133000000,1,20.339367
4,1344000,1134750000,3199000000,1,20.372128
8,1344000,1134750000,665600000,1,22.951975
8,1344000,1134750000,2133000000,1,21.439495
8,1344000,1134750000,3199000000,1,21.2885
12,1344000,1134750000,665600000,1,25.627888
12,1344000,1134750000,2133000000,1,24.138077
12,1344000,1134750000,3199000000,1,23.608294
4,1344000,1300500000,665600000,1,24.04072
4,1344000,1300500000,2133000000,1,22.93157
4,1344000,1300500000,3199000000,1,22.920523
8,1344000,1300500000,665600000,1,25.745789
8,1344000,1300500000,2133000000,1,24.2472
8,1344000,1300500000,3199000000,1,23.98143
12,1344000,1300500000,665600000,1,28.387785
12,1344000,1300500000,2133000000,1,26.845303
12,1344000,1300500000,3199000000,1,26.272915
4,1651200,114750000,665600000,1,16.16657
4,1651200,114750000,2133000000,1,17.12534
4,1651200,114750000,3199000000,1,18.917662
8,1651200,114750000,665600000,1,13.690521
8,1651200,114750000,2133000000,1,14.757693
8,1651200,114750000,3199000000,1,16.77964
12,1651200,114750000,665600000,1,14.0346365
12,1651200,114750000,2133000000,1,13.855709
12,1651200,114750000,3199000000,1,16.146322
4,1651200,318750000,665600000,1,15.269469
4,1651200,318750000,2133000000,1,15.308795
4,1651200,318750000,3199000000,1,17.130291
8,1651200,318750000,665600000,1,13.390724
8,1651200,318750000,2133000000,1,12.598398
8,1651200,318750000,3199000000,1,14.818936
12,1651200,318750000,665600000,1,14.6553755
12,1651200,318750000,2133000000,1,13.41079
12,1651200,318750000,3199000000,1,15.131309
4,1651200,522750000,665600000,1,15.981842
4,1651200,522750000,2133000000,1,15.171889
4,1651200,522750000,3199000000,1,16.59319
8,1651200,522750000,665600000,1,14.975657
