cores,cpu,gpu,mem,predicted_power
4.0,1036800.0,522750000.0,3199000000.0,22.518705
4.0,1036800.0,726750000.0,665600000.0,17.540827
4.0,1036800.0,726750000.0,2133000000.0,21.823193
4.0,1036800.0,726750000.0,3199000000.0,24.014065
4.0,1036800.0,930750000.0,665600000.0,18.50371
4.0,1036800.0,930750000.0,2133000000.0,22.943537
4.0,1036800.0,930750000.0,3199000000.0,25.333185
4.0,1036800.0,1134750000.0,665600000.0,19.765469
4.0,1036800.0,1134750000.0,2133000000.0,24.207167
4.0,1036800.0,1134750000.0,3199000000.0,27.690248
4.0,1036800.0,1300500000.0,665600000.0,20.889572
4.0,1036800.0,1300500000.0,2133000000.0,25.585394
4.0,1036800.0,1300500000.0,3199000000.0,30.257433
4.0,1344000.0,114750000.0,665600000.0,14.940246
4.0,1344000.0,114750000.0,2133000000.0,16.445814
4.0,1344000.0,114750000.0,3199000000.0,16.78327
4.0,1344000.0,318750000.0,665600000.0,16.588638
4.0,1344000.0,318750000.0,2133000000.0,19.01667
4.0,1344000.0,318750000.0,3199000000.0,20.249458
4.0,1344000.0,522750000.0,665600000.0,17.037779
4.0,1344000.0,522750000.0,2133000000.0,21.069063
4.0,1344000.0,522750000.0,3199000000.0,23.087317
4.0,1344000.0,726750000.0,665600000.0,17.592419
4.0,1344000.0,726750000.0,2133000000.0,22.363728
4.0,1344000.0,726750000.0,3199000000.0,25.263979
4.0,1344000.0,930750000.0,665600000.0,18.651423
4.0,1344000.0,930750000.0,2133000000.0,23.950705
4.0,1344000.0,930750000.0,3199000000.0,27.687096
4.0,1344000.0,1134750000.0,665600000.0,20.060781
4.0,1344000.0,1134750000.0,2133000000.0,25.740332
4.0,1344000.0,1134750000.0,3199000000.0,30.76517
4.0,1344000.0,1300500000.0,665600000.0,21.506618
4.0,1344000.0,1300500000.0,2133000000.0,27.461744
4.0,1344000.0,1300500000.0,3199000000.0,33.468815
4.0,1651200.0,114750000.0,665600000.0,15.045475
4.0,1651200.0,114750000.0,2133000000.0,16.344742
4.0,1651200.0,114750000.0,3199000000.0,16.819435
4.0,1651200.0,318750000.0,665600000.0,16.673315
4.0,1651200.0,318750000.0,2133000000.0,19.179317
4.0,1651200.0,318750000.0,3199000000.0,20.544264
4.0,1651200.0,522750000.0,665600000.0,17.02981
4.0,1651200.0,522750000.0,2133000000.0,21.666912
4.0,1651200.0,522750000.0,3199000000.0,24.009882
4.0,1651200.0,726750000.0,665600000.0,17.505775
4.0,1651200.0,726750000.0,2133000000.0,23.31762
4.0,1651200.0,726750000.0,3199000000.0,27.22694
4.0,1651200.0,930750000.0,665600000.0,18.75551
4.0,1651200.0,930750000.0,2133000000.0,25.312416
4.0,1651200.0,930750000.0,3199000000.0,30.221998
4.0,1651200.0,1134750000.0,665600000.0,20.583553
4.0,1651200.0,1134750000.0,2133000000.0,27.354485
4.0,1651200.0,1134750000.0,3199000000.0,33.55195
4.0,1651200.0,1300500000.0,665600000.0,22.187382
4.0,1651200.0,1300500000.0,2133000000.0,29.715487
4.0,1651200.0,1300500000.0,3199000000.0,36.279106
4.0,1958400.0,114750000.0,665600000.0,15.182106
4.0,1958400.0,114750000.0,2133000000.0,16.311174
4.0,1958400.0,114750000.0,3199000000.0,16.910147
4.0,1958400.0,318750000.0,665600000.0,16.490215
4.0,1958400.0,318750000.0,2133000000.0,19.497463
4.0,1958400.0,318750000.0,3199000000.0,21.413713
4.0,1958400.0,522750000.0,665600000.0,16.907404
4.0,1958400.0,522750000.0,2133000000.0,22.599009
4.0,1958400.0,522750000.0,3199000000.0,25.444218
4.0,1958400.0,726750000.0,665600000.0,17.768013
4.0,1958400.0,726750000.0,2133000000.0,24.493755
4.0,1958400.0,726750000.0,3199000000.0,29.403831
4.0,1958400.0,930750000.0,665600000.0,19.528381
4.0,1958400.0,930750000.0,2133000000.0,26.340408
4.0,1958400.0,930750000.0,3199000000.0,32.868134
4.0,1958400.0,1134750000.0,665600000.0,21.409927
4.0,1958400.0,1134750000.0,2133000000.0,29.029064
4.0,1958400.0,1134750000.0,3199000000.0,36.303944
4.0,1958400.0,1300500000.0,665600000.0,23.006826
4.0,1958400.0,1300500000.0,2133000000.0,31.724983
4.0,1958400.0,1300500000.0,3199000000.0,39.015873
4.0,2201600.0,114750000.0,665600000.0,15.28735
4.0,2201600.0,114750000.0,2133000000.0,16.390387
4.0,2201600.0,114750000.0,3199000000.0,17.387466
4.0,2201600.0,318750000.0,665600000.0,16.363855
4.0,2201600.0,318750000.0,2133000000.0,20.023945
4.0,2201600.0,318750000.0,3199000000.0,22.5254
4.0,2201600.0,522750000.0,665600000.0,17.02913
4.0,2201600.0,522750000.0,2133000000.0,23.177952
4.0,2201600.0,522750000.0,3199000000.0,27.08731
4.0,2201600.0,726750000.0,665600000.0,18.400501
4.0,2201600.0,726750000.0,2133000000.0,25.040876
4.0,2201600.0,726750000.0,3199000000.0,31.027615
4.0,2201600.0,930750000.0,665600000.0,20.25507
4.0,2201600.0,930750000.0,2133000000.0,27.123701
4.0,2201600.0,930750000.0,3199000000.0,34.755962
4.0,2201600.0,1134750000.0,665600000.0,22.092436
4.0,2201600.0,1134750000.0,2133000000.0,30.49993
4.0,2201600.0,1134750000.0,3199000000.0,38.150513
4.0,2201600.0,1300500000.0,665600000.0,23.831602
4.0,2201600.0,1300500000.0,2133000000.0,33.277237
4.0,2201600.0,1300500000.0,3199000000.0,40.78533
