cores,cpu,gpu,mem,bs,predicted_power
8,422400,1300500000,2133000000,1,29.963263
8,422400,1300500000,3199000000,1,29.2776
12,422400,1300500000,665600000,1,37.608067
12,422400,1300500000,2133000000,1,36.27841
12,422400,1300500000,3199000000,1,35.707207
4,729600,114750000,665600000,1,13.6694355
4,729600,114750000,2133000000,1,15.136234
4,729600,114750000,3199000000,1,16.929174
8,729600,114750000,665600000,1,13.313985
8,729600,114750000,2133000000,1,13.043461
8,729600,114750000,3199000000,1,14.795968
12,729600,114750000,665600000,1,15.138079
12,729600,114750000,2133000000,1,14.111642
12,729600,114750000,3199000000,1,15.253187
4,729600,318750000,665600000,1,12.846716
4,729600,318750000,2133000000,1,13.458918
4,729600,318750000,3199000000,1,15.191926
8,729600,318750000,665600000,1,13.090772
8,729600,318750000,2133000000,1,11.263066
8,729600,318750000,3199000000,1,12.973648
12,729600,318750000,665600000,1,16.368156
12,729600,318750000,2133000000,1,14.202314
12,729600,318750000,3199000000,1,14.885416
4,729600,522750000,665600000,1,13.054189
4,729600,522750000,2133000000,1,12.244883
4,729600,522750000,3199000000,1,14.010044
8,729600,522750000,665600000,1,14.412247
8,729600,522750000,2133000000,1,11.498575
8,729600,522750000,3199000000,1,13.040093
12,729600,522750000,665600000,1,19.103422
12,729600,522750000,2133000000,1,17.26136
12,729600,522750000,3199000000,1,17.036715
4,729600,726750000,665600000,1,14.939588
4,729600,726750000,2133000000,1,13.142721
4,729600,726750000,3199000000,1,14.556156
8,729600,726750000,665600000,1,17.984287
8,729600,726750000,2133000000,1,15.860914
8,729600,726750000,3199000000,1,16.08073
12,729600,726750000,665600000,1,23.690474
12,729600,726750000,2133000000,1,22.278574
12,729600,726750000,3199000000,1,21.740116
4,729600,930750000,665600000,1,18.607101
4,729600,930750000,2133000000,1,16.946852
4,729600,930750000,3199000000,1,17.667868
8,729600,930750000,665600000,1,22.833105
8,729600,930750000,2133000000,1,21.176447
8,729600,930750000,3199000000,1,20.924692
12,729600,930750000,665600000,1,28.92034
12,729600,930750000,2133000000,1,27.616446
12,729600,930750000,3199000000,1,26.97016
4,729600,1134750000,665600000,1,23.382673
4,729600,1134750000,2133000000,1,21.86659
4,729600,1134750000,3199000000,1,22.201193
8,729600,1134750000,665600000,1,28.178726
8,729600,1134750000,2133000000,1,26.608255
8,729600,1134750000,3199000000,1,26.099504
12,729600,1134750000,665600000,1,34.316628
12,729600,1134750000,2133000000,1,33.04461
12,729600,1134750000,3199000000,1,32.442616
4,729600,1300500000,665600000,1,27.567526
4,729600,1300500000,2133000000,1,26.161457
4,729600,1300500000,3199000000,1,26.218
8,729600,1300500000,665600000,1,32.572414
8,729600,1300500000,2133000000,1,31.084167
8,729600,1300500000,3199000000,1,30.512024
12,729600,1300500000,665600000,1,38.78824
12,729600,1300500000,2133000000,1,37.49597
12,729600,1300500000,3199000000,1,36.89252
4,1036800,114750000,665600000,1,14.626598
4,1036800,114750000,2133000000,1,16.076979
4,1036800,114750000,3199000000,1,17.935425
8,1036800,114750000,665600000,1,13.518753
8,1036800,114750000,2133000000,1,13.630905
8,1036800,114750000,3199000000,1,15.409178
12,1036800,114750000,665600000,1,14.782679
12,1036800,114750000,2133000000,1,13.797916
12,1036800,114750000,3199000000,1,15.397579
4,1036800,318750000,665600000,1,13.685289
4,1036800,318750000,2133000000,1,14.363077
4,1036800,318750000,3199000000,1,16.171873
8,1036800,318750000,665600000,1,13.206871
8,1036800,318750000,2133000000,1,11.488387
8,1036800,318750000,3199000000,1,13.698826
12,1036800,318750000,665600000,1,16.317247
12,1036800,318750000,2133000000,1,14.170982
12,1036800,318750000,3199000000,1,15.2633915
4,1036800,522750000,665600000,1,13.735072
4,1036800,522750000,2133000000,1,13.272628
4,1036800,522750000,3199000000,1,15.364948
8,1036800,522750000,665600000,1,15.01591
8,1036800,522750000,2133000000,1,12.173111
8,1036800,522750000,3199000000,1,13.954658
