cores,cpu,gpu,mem,bs,predicted_time
12,729600,114750000,2133000000,1,9.069178
12,729600,114750000,3199000000,1,8.818819
4,729600,318750000,665600000,1,5.422888
4,729600,318750000,2133000000,1,5.3118477
4,729600,318750000,3199000000,1,5.943226
8,729600,318750000,665600000,1,5.789999
8,729600,318750000,2133000000,1,5.137884
8,729600,318750000,3199000000,1,5.222992
12,729600,318750000,665600000,1,6.1548357
12,729600,318750000,2133000000,1,5.5706816
12,729600,318750000,3199000000,1,5.166353
4,729600,522750000,665600000,1,5.1297507
4,729600,522750000,2133000000,1,4.618748
4,729600,522750000,3199000000,1,4.729617
8,729600,522750000,665600000,1,5.2473345
8,729600,522750000,2133000000,1,4.7752123
8,729600,522750000,3199000000,1,4.420523
12,729600,522750000,665600000,1,5.3815155
12,729600,522750000,2133000000,1,4.9899225
12,729600,522750000,3199000000,1,4.98259
4,729600,726750000,665600000,1,5.2749805
4,729600,726750000,2133000000,1,4.491899
4,729600,726750000,3199000000,1,4.531493
8,729600,726750000,665600000,1,5.2391987
8,729600,726750000,2133000000,1,4.8636894
8,729600,726750000,3199000000,1,4.47108
12,729600,726750000,665600000,1,5.5074883
12,729600,726750000,2133000000,1,6.220682
12,729600,726750000,3199000000,1,4.907774
4,729600,930750000,665600000,1,5.497368
4,729600,930750000,2133000000,1,4.7403893
4,729600,930750000,3199000000,1,4.5298896
8,729600,930750000,665600000,1,5.4540963
8,729600,930750000,2133000000,1,5.156414
8,729600,930750000,3199000000,1,5.1519465
12,729600,930750000,665600000,1,5.775336
12,729600,930750000,2133000000,1,5.8313265
12,729600,930750000,3199000000,1,4.3142967
4,729600,1134750000,665600000,1,5.4861317
4,729600,1134750000,2133000000,1,5.121113
4,729600,1134750000,3199000000,1,4.86859
8,729600,1134750000,665600000,1,5.690814
8,729600,1134750000,2133000000,1,5.555552
8,729600,1134750000,3199000000,1,5.1400895
12,729600,1134750000,665600000,1,5.762487
12,729600,1134750000,2133000000,1,5.2298346
12,729600,1134750000,3199000000,1,3.8923097
4,729600,1300500000,665600000,1,5.5760136
4,729600,1300500000,2133000000,1,5.329329
4,729600,1300500000,3199000000,1,5.1479263
8,729600,1300500000,665600000,1,5.7267785
8,729600,1300500000,2133000000,1,5.656131
8,729600,1300500000,3199000000,1,4.9949813
12,729600,1300500000,665600000,1,5.655197
12,729600,1300500000,2133000000,1,5.1257887
12,729600,1300500000,3199000000,1,4.2709627
4,1036800,114750000,665600000,1,8.196758
4,1036800,114750000,2133000000,1,8.689116
4,1036800,114750000,3199000000,1,8.996386
8,1036800,114750000,665600000,1,8.619909
8,1036800,114750000,2133000000,1,8.449751
8,1036800,114750000,3199000000,1,8.540943
12,1036800,114750000,665600000,1,8.722994
12,1036800,114750000,2133000000,1,8.40425
12,1036800,114750000,3199000000,1,8.285386
4,1036800,318750000,665600000,1,4.837557
4,1036800,318750000,2133000000,1,4.62964
4,1036800,318750000,3199000000,1,4.5900884
8,1036800,318750000,665600000,1,5.0595975
8,1036800,318750000,2133000000,1,3.9555068
8,1036800,318750000,3199000000,1,3.9526124
12,1036800,318750000,665600000,1,5.1900687
12,1036800,318750000,2133000000,1,4.241734
12,1036800,318750000,3199000000,1,3.8642519
4,1036800,522750000,665600000,1,5.117062
4,1036800,522750000,2133000000,1,4.2264547
4,1036800,522750000,3199000000,1,3.648744
8,1036800,522750000,665600000,1,4.8841457
8,1036800,522750000,2133000000,1,3.6023602
8,1036800,522750000,3199000000,1,3.6414433
12,1036800,522750000,665600000,1,4.88258
12,1036800,522750000,2133000000,1,3.5796435
