observed_time,observed_power,powermode,predicted_time,predicted_power
128.3819351196289,33.199,4_2201600_1134750000_2133000000,148.2444,32.573093
105.63503646850586,38.198,4_2201600_1134750000_3199000000,122.52508,37.25807
274.92247009277344,24.183,4_2201600_1134750000_665600000,277.08798,24.765833
138.03482055664062,30.084,4_2201600_930750000_2133000000,158.37274,29.262976
116.17443084716798,33.695,4_2201600_930750000_3199000000,132.78864,33.33735
280.51287841796875,22.478,4_2201600_930750000_665600000,280.92352,22.376028
153.48078155517578,27.3305,4_2201600_726750000_2133000000,160.32399,26.238937
139.21158599853516,29.591,4_2201600_726750000_3199000000,152.38272,29.583488
296.32789611816406,20.779,4_2201600_726750000_665600000,295.41287,20.576317
193.9433822631836,23.729,4_2201600_522750000_2133000000,203.10732,23.565218
181.80219268798828,25.479,4_2201600_522750000_3199000000,191.27104,25.999207
317.78663635253906,19.765,4_2201600_522750000_665600000,315.30795,19.253262
290.5901794433594,20.576,4_2201600_318750000_2133000000,298.67957,20.384012
286.51246643066406,21.88,4_2201600_318750000_3199000000,290.24844,22.061234
373.98594665527344,18.663,4_2201600_318750000_665600000,366.43823,17.970469
775.3311157226562,16.555,4_2201600_114750000_2133000000,771.6949,16.844675
772.4811706542969,17.358,4_2201600_114750000_3199000000,749.10333,17.811789
782.5994262695312,15.7495,4_2201600_114750000_665600000,784.51434,15.72315
298.06329345703125,22.6215,8_422400_1300500000_2133000000,319.65378,22.601707
300.94508361816406,23.226,8_422400_1300500000_3199000000,313.2063,24.730183
360.4225769042969,22.069,8_422400_1300500000_665600000,381.5349,21.101883
294.1309967041016,21.466,8_422400_1134750000_2133000000,326.57748,21.32754
303.1241607666016,21.572,8_422400_1134750000_3199000000,307.5534,22.89248
363.6431427001953,20.2205,8_422400_1134750000_665600000,369.9959,20.171026
319.28619384765625,19.365,8_422400_930750000_2133000000,380.55054,20.04541
302.1651763916016,20.57,8_422400_930750000_3199000000,304.2454,21.27746
341.4218292236328,19.465,8_422400_930750000_665600000,360.5207,19.130262
303.92254638671875,19.061,8_422400_726750000_2133000000,343.8813,19.061672
306.24658203125,19.7655,8_422400_726750000_3199000000,303.71823,20.182764
349.1174621582031,17.76,8_422400_726750000_665600000,359.06384,18.16969
320.9427490234375,18.262,8_422400_522750000_2133000000,322.17407,18.343952
308.1229553222656,19.162,8_422400_522750000_3199000000,317.2818,19.332031
361.0164031982422,17.059,8_422400_522750000_665600000,361.05432,17.346338
336.8637390136719,17.9225,8_422400_318750000_2133000000,357.13397,17.473988
334.222900390625,19.0295,8_422400_318750000_3199000000,347.81155,18.297792
403.6057739257813,16.456,8_422400_318750000_665600000,406.28662,16.532145
795.6012268066406,15.353,8_422400_114750000_2133000000,788.55994,15.977916
788.679443359375,16.065,8_422400_114750000_3199000000,789.1863,16.27066
805.0191345214844,14.45,8_422400_114750000_665600000,803.229,15.008554
210.88982391357425,26.2795,8_729600_1300500000_2133000000,212.44849,25.514854
192.4619674682617,28.0415,8_729600_1300500000_3199000000,205.28636,28.066277
282.00914001464844,24.388,8_729600_1300500000_665600000,290.84476,22.90616
202.77816009521484,25.127,8_729600_1134750000_2133000000,214.36537,23.968527
194.5010223388672,26.184,8_729600_1134750000_3199000000,202.31927,25.869606
286.26080322265625,22.3855,8_729600_1134750000_665600000,284.26617,21.64788
199.0610809326172,23.5735,8_729600_930750000_2133000000,222.17242,22.426086
196.5067977905273,24.276,8_729600_930750000_3199000000,202.9085,23.839712
293.88621520996094,20.775,8_729600_930750000_665600000,293.77112,20.005188
196.4656982421875,22.271,8_729600_726750000_2133000000,212.69186,20.831964
192.17499542236328,23.6245,8_729600_726750000_3199000000,206.19554,22.481222
307.5682373046875,18.97,8_729600_726750000_665600000,308.82086,18.60825
220.17342376708984,20.964,8_729600_522750000_2133000000,222.66435,19.224192
212.7286758422852,22.472,8_729600_522750000_3199000000,219.09695,21.222004
329.66046142578125,17.66,8_729600_522750000_665600000,327.9509,17.500034
304.2663269042969,18.776,8_729600_318750000_2133000000,312.58304,17.89386
300.5375671386719,19.781,8_729600_318750000_3199000000,295.9829,19.424715
382.1400604248047,16.658,8_729600_318750000_665600000,386.0776,16.597052
785.7512817382812,15.355,8_729600_114750000_2133000000,774.2644,16.135303
781.7041015625,16.166,8_729600_114750000_3199000000,773.4404,16.468615
794.6094970703125,14.452,8_729600_114750000_665600000,791.458,15.066813
159.02047729492188,30.097,8_1036800_1300500000_2133000000,166.06761,28.47096
150.07037353515625,32.598,8_1036800_1300500000_3199000000,150.53731,31.622086
276.50396728515625,24.889,8_1036800_1300500000_665600000,279.71927,23.72004
164.17074584960938,27.484,8_1036800_1134750000_2133000000,165.41855,26.268288
145.39287567138672,28.888,8_1036800_1134750000_3199000000,148.06047,29.168911
279.5541381835937,22.784,8_1036800_1134750000_665600000,281.71704,22.286184
160.68092346191406,25.679,8_1036800_930750000_2133000000,165.5281,24.03512
146.53702545166016,27.787,8_1036800_930750000_3199000000,155.59462,26.40936
289.791259765625,21.18,8_1036800_930750000_665600000,291.5739,20.595078
175.2666015625,23.474,8_1036800_726750000_2133000000,196.11818,22.112946
162.16292572021484,25.581,8_1036800_726750000_3199000000,171.86772,24.299143
303.3374328613281,19.2755,8_1036800_726750000_665600000,305.73685,19.03417
197.2988815307617,21.684,8_1036800_522750000_2133000000,207.17946,20.243454
