cores,cpu,gpu,mem,bs,predicted_power
4,729600,522750000,3199000000,1,20.371424
8,729600,522750000,665600000,1,18.736101
8,729600,522750000,2133000000,1,18.03118
8,729600,522750000,3199000000,1,21.517729
12,729600,522750000,665600000,1,23.76303
12,729600,522750000,2133000000,1,24.467628
12,729600,522750000,3199000000,1,26.967463
4,729600,726750000,665600000,1,21.465313
4,729600,726750000,2133000000,1,21.917744
4,729600,726750000,3199000000,1,26.192995
8,729600,726750000,665600000,1,23.796705
8,729600,726750000,2133000000,1,24.920547
8,729600,726750000,3199000000,1,28.107037
12,729600,726750000,665600000,1,29.220243
12,729600,726750000,2133000000,1,31.467138
12,729600,726750000,3199000000,1,33.858154
4,729600,930750000,665600000,1,27.366362
4,729600,930750000,2133000000,1,29.54776
4,729600,930750000,3199000000,1,33.676964
8,729600,930750000,665600000,1,30.26413
8,729600,930750000,2133000000,1,32.964752
8,729600,930750000,3199000000,1,36.23244
12,729600,930750000,665600000,1,36.194748
12,729600,930750000,2133000000,1,39.32889
12,729600,930750000,3199000000,1,41.74044
4,729600,1134750000,665600000,1,34.415558
4,729600,1134750000,2133000000,1,37.944595
4,729600,1134750000,3199000000,1,42.032696
8,729600,1134750000,665600000,1,37.936966
8,729600,1134750000,2133000000,1,41.22775
8,729600,1134750000,3199000000,1,44.623787
12,729600,1134750000,665600000,1,43.655807
12,729600,1134750000,2133000000,1,46.9338
12,729600,1134750000,3199000000,1,49.694485
4,729600,1300500000,665600000,1,40.77477
4,729600,1300500000,2133000000,1,44.8519
4,729600,1300500000,3199000000,1,48.847023
8,729600,1300500000,665600000,1,44.39258
8,729600,1300500000,2133000000,1,47.8463
8,729600,1300500000,3199000000,1,51.3899
12,729600,1300500000,665600000,1,49.870773
12,729600,1300500000,2133000000,1,53.182682
12,729600,1300500000,3199000000,1,55.97958
4,1036800,114750000,665600000,1,15.394154
4,1036800,114750000,2133000000,1,16.868387
4,1036800,114750000,3199000000,1,18.674894
8,1036800,114750000,665600000,1,14.771837
8,1036800,114750000,2133000000,1,15.550015
8,1036800,114750000,3199000000,1,17.474821
12,1036800,114750000,665600000,1,17.506908
12,1036800,114750000,2133000000,1,16.779558
12,1036800,114750000,3199000000,1,18.892183
4,1036800,318750000,665600000,1,15.17752
4,1036800,318750000,2133000000,1,15.6271105
4,1036800,318750000,3199000000,1,18.263067
8,1036800,318750000,665600000,1,15.346417
8,1036800,318750000,2133000000,1,14.289692
8,1036800,318750000,3199000000,1,17.66171
12,1036800,318750000,665600000,1,19.317856
12,1036800,318750000,2133000000,1,18.38201
12,1036800,318750000,3199000000,1,21.293308
4,1036800,522750000,665600000,1,17.409178
4,1036800,522750000,2133000000,1,17.55599
4,1036800,522750000,3199000000,1,21.396688
8,1036800,522750000,665600000,1,18.906527
8,1036800,522750000,2133000000,1,17.936739
8,1036800,522750000,3199000000,1,21.801744
12,1036800,522750000,665600000,1,23.228415
12,1036800,522750000,2133000000,1,24.073774
12,1036800,522750000,3199000000,1,26.737696
4,1036800,726750000,665600000,1,22.143358
4,1036800,726750000,2133000000,1,22.87363
4,1036800,726750000,3199000000,1,27.25183
8,1036800,726750000,665600000,1,24.05266
8,1036800,726750000,2133000000,1,25.215988
8,1036800,726750000,3199000000,1,28.604567
12,1036800,726750000,665600000,1,28.830938
12,1036800,726750000,2133000000,1,31.352797
12,1036800,726750000,3199000000,1,33.79299
4,1036800,930750000,665600000,1,28.128084
4,1036800,930750000,2133000000,1,30.633553
4,1036800,930750000,3199000000,1,34.738037
8,1036800,930750000,665600000,1,30.485338
8,1036800,930750000,2133000000,1,33.347225
8,1036800,930750000,3199000000,1,36.81505
12,1036800,930750000,665600000,1,35.909218
12,1036800,930750000,2133000000,1,39.096344
12,1036800,930750000,3199000000,1,41.728786
4,1036800,1134750000,665600000,1,35.19153
4,1036800,1134750000,2133000000,1,38.911774
4,1036800,1134750000,3199000000,1,42.94295
8,1036800,1134750000,665600000,1,38.112583
8,1036800,1134750000,2133000000,1,41.586403
8,1036800,1134750000,3199000000,1,45.22261
12,1036800,1134750000,665600000,1,43.487556
12,1036800,1134750000,2133000000,1,46.76039
12,1036800,1134750000,3199000000,1,49.561794
4,1036800,1300500000,665600000,1,41.46376
4,1036800,1300500000,2133000000,1,45.708
4,1036800,1300500000,3199000000,1,49.647415
8,1036800,1300500000,665600000,1,44.5833
8,1036800,1300500000,2133000000,1,48.25067
8,1036800,1300500000,3199000000,1,51.860035
12,1036800,1300500000,665600000,1,49.73037
12,1036800,1300500000,2133000000,1,53.04129
12,1036800,1300500000,3199000000,1,55.81247
4,1344000,114750000,665600000,1,16.476467
4,1344000,114750000,2133000000,1,18.136358
4,1344000,114750000,3199000000,1,20.013151
8,1344000,114750000,665600000,1,15.226015
8,1344000,114750000,2133000000,1,16.391232
8,1344000,114750000,3199000000,1,18.329174
12,1344000,114750000,665600000,1,17.45635
12,1344000,114750000,2133000000,1,16.66888
12,1344000,114750000,3199000000,1,18.873465
4,1344000,318750000,665600000,1,16.037827
4,1344000,318750000,2133000000,1,17.358297
4,1344000,318750000,3199000000,1,20.138494
8,1344000,318750000,665600000,1,15.727939
8,1344000,318750000,2133000000,1,15.021536
8,1344000,318750000,3199000000,1,18.59286
12,1344000,318750000,665600000,1,19.083529
12,1344000,318750000,2133000000,1,18.057611
12,1344000,318750000,3199000000,1,21.149576
4,1344000,522750000,665600000,1,18.272604
4,1344000,522750000,2133000000,1,19.09721
4,1344000,522750000,3199000000,1,22.831158
8,1344000,522750000,665600000,1,19.455263
8,1344000,522750000,2133000000,1,18.639545
8,1344000,522750000,3199000000,1,22.72331
12,1344000,522750000,665600000,1,23.02024
12,1344000,522750000,2133000000,1,23.869379
12,1344000,522750000,3199000000,1,26.673822
4,1344000,726750000,665600000,1,23.148327
4,1344000,726750000,2133000000,1,24.325855
4,1344000,726750000,3199000000,1,28.601109
8,1344000,726750000,665600000,1,24.63435
8,1344000,726750000,2133000000,1,25.936253
8,1344000,726750000,3199000000,1,29.461262
12,1344000,726750000,665600000,1,28.623579
12,1344000,726750000,2133000000,1,31.242565
12,1344000,726750000,3199000000,1,33.701046
4,1344000,930750000,665600000,1,29.264992
4,1344000,930750000,2133000000,1,31.945036
4,1344000,930750000,3199000000,1,35.868637
8,1344000,930750000,665600000,1,31.044798
8,1344000,930750000,2133000000,1,33.910267
8,1344000,930750000,3199000000,1,37.4673
12,1344000,930750000,665600000,1,35.81736
12,1344000,930750000,2133000000,1,38.85374
12,1344000,930750000,3199000000,1,41.635803
4,1344000,1134750000,665600000,1,36.184464
4,1344000,1134750000,2133000000,1,39.99865
4,1344000,1134750000,3199000000,1,43.85457
8,1344000,1134750000,665600000,1,38.566418
8,1344000,1134750000,2133000000,1,41.99663
8,1344000,1134750000,3199000000,1,45.725746
12,1344000,1134750000,665600000,1,43.354683
12,1344000,1134750000,2133000000,1,46.59764
12,1344000,1134750000,3199000000,1,49.49151
4,1344000,1300500000,665600000,1,42.368515
4,1344000,1300500000,2133000000,1,46.492336
4,1344000,1300500000,3199000000,1,50.372704
8,1344000,1300500000,665600000,1,44.9103
8,1344000,1300500000,2133000000,1,48.584076
8,1344000,1300500000,3199000000,1,52.295364
12,1344000,1300500000,665600000,1,49.61294
12,1344000,1300500000,2133000000,1,52.91169
12,1344000,1300500000,3199000000,1,55.84169
