cores,cpu,gpu,mem,bs,predicted_time
12,1344000,1134750000,665600000,1,37.18664
12,1344000,1134750000,2133000000,1,28.378548
12,1344000,1134750000,3199000000,1,29.624413
4,1344000,1300500000,665600000,1,36.486458
4,1344000,1300500000,2133000000,1,27.547636
4,1344000,1300500000,3199000000,1,28.891384
8,1344000,1300500000,665600000,1,36.46669
8,1344000,1300500000,2133000000,1,29.027102
8,1344000,1300500000,3199000000,1,29.842896
12,1344000,1300500000,665600000,1,37.68918
12,1344000,1300500000,2133000000,1,29.49018
12,1344000,1300500000,3199000000,1,31.245129
4,1651200,114750000,665600000,1,62.46982
4,1651200,114750000,2133000000,1,46.77414
4,1651200,114750000,3199000000,1,58.447227
8,1651200,114750000,665600000,1,49.00621
8,1651200,114750000,2133000000,1,40.225792
8,1651200,114750000,3199000000,1,46.089188
12,1651200,114750000,665600000,1,54.07843
12,1651200,114750000,2133000000,1,43.009674
12,1651200,114750000,3199000000,1,47.21681
4,1651200,318750000,665600000,1,35.51088
4,1651200,318750000,2133000000,1,28.893795
4,1651200,318750000,3199000000,1,29.223923
8,1651200,318750000,665600000,1,32.00131
8,1651200,318750000,2133000000,1,29.148033
8,1651200,318750000,3199000000,1,28.89946
12,1651200,318750000,665600000,1,35.156414
12,1651200,318750000,2133000000,1,27.379917
12,1651200,318750000,3199000000,1,27.320763
4,1651200,522750000,665600000,1,35.588135
4,1651200,522750000,2133000000,1,28.760714
4,1651200,522750000,3199000000,1,25.168427
8,1651200,522750000,665600000,1,32.85745
8,1651200,522750000,2133000000,1,30.076532
8,1651200,522750000,3199000000,1,25.287632
12,1651200,522750000,665600000,1,34.585087
12,1651200,522750000,2133000000,1,27.155289
12,1651200,522750000,3199000000,1,24.836405
4,1651200,726750000,665600000,1,35.477356
4,1651200,726750000,2133000000,1,26.566147
4,1651200,726750000,3199000000,1,22.802162
8,1651200,726750000,665600000,1,34.27904
8,1651200,726750000,2133000000,1,27.525002
8,1651200,726750000,3199000000,1,23.381435
12,1651200,726750000,665600000,1,35.049194
12,1651200,726750000,2133000000,1,25.93106
12,1651200,726750000,3199000000,1,23.9877
4,1651200,930750000,665600000,1,34.865326
4,1651200,930750000,2133000000,1,23.94053
4,1651200,930750000,3199000000,1,21.07365
8,1651200,930750000,665600000,1,36.116135
8,1651200,930750000,2133000000,1,24.858189
8,1651200,930750000,3199000000,1,21.582748
12,1651200,930750000,665600000,1,35.6504
12,1651200,930750000,2133000000,1,24.629723
12,1651200,930750000,3199000000,1,23.311611
4,1651200,1134750000,665600000,1,33.483944
4,1651200,1134750000,2133000000,1,22.562222
4,1651200,1134750000,3199000000,1,20.442226
8,1651200,1134750000,665600000,1,35.665226
8,1651200,1134750000,2133000000,1,22.822533
8,1651200,1134750000,3199000000,1,21.37786
12,1651200,1134750000,665600000,1,36.475193
12,1651200,1134750000,2133000000,1,23.659374
12,1651200,1134750000,3199000000,1,23.558931
4,1651200,1300500000,665600000,1,33.7466
4,1651200,1300500000,2133000000,1,21.91831
4,1651200,1300500000,3199000000,1,20.98933
8,1651200,1300500000,665600000,1,35.52588
8,1651200,1300500000,2133000000,1,22.077387
