cores,cpu,gpu,mem,Observed_epoch_time
2,2201600.0,114750000.0,3199000000.0,1311647.5801467896
2,1036800.0,1236750000.0,2133000000.0,714404.8128128052
8,1036800.0,1300500000.0,204000000.0,1628372.7250099182
8,883200.0,420750000.0,665600000.0,827521.1653709412
4,1804800.0,1236750000.0,2133000000.0,369730.251789093
4,2201600.0,522750000.0,2133000000.0,412136.51299476624
6,1344000.0,1236750000.0,3199000000.0,437521.018743515
10,1190400.0,114750000.0,665600000.0,1399628.5572052002
6,422400.0,1032750000.0,2133000000.0,1172506.5867900848
10,2201600.0,216750000.0,2133000000.0,748121.1817264557
2,1651200.0,624750000.0,665600000.0,709410.3939533234
6,1651200.0,114750000.0,2133000000.0,1319438.0609989166
2,883200.0,216750000.0,3199000000.0,982677.6921749115
10,422400.0,1032750000.0,204000000.0,1952515.5832767487
10,729600.0,420750000.0,204000000.0,1753160.1021289825
10,1497600.0,1236750000.0,665600000.0,627488.6274337769
6,1190400.0,216750000.0,3199000000.0,836938.7612342834
8,1036800.0,930750000.0,3199000000.0,549847.8722572327
12,1497600.0,420750000.0,2133000000.0,525856.9717407227
6,576000.0,318750000.0,665600000.0,1026786.6990566254
8,883200.0,1236750000.0,204000000.0,1677811.1097812653
4,883200.0,726750000.0,2133000000.0,674126.7287731171
2,729600.0,1032750000.0,2133000000.0,967020.4513072968
10,883200.0,1032750000.0,204000000.0,1659611.4687919617
2,883200.0,522750000.0,665600000.0,988766.4635181427
8,1497600.0,726750000.0,204000000.0,1572842.8528308868
