powermode,observed_time,observed_power,predicted_time,predicted_power
2_268800_522750000_3199000000,3290740.5927181244,13.497,2263977.9912,14.090883
2_268800_522750000_665600000,3543980.82447052,11.878,2601009.0879,13.068895000000001
2_268800_420750000_204000000,4243564.076662064,11.375,3365154.3173999996,12.467229999999999
2_268800_420750000_2133000000,3286176.469564438,12.485,2331659.4861,13.572987
2_268800_420750000_3199000000,3156201.956272125,13.497,2271625.7501999997,14.009476000000001
2_268800_420750000_665600000,3486423.1214523315,11.476,2581795.9104,12.843645500000001
2_268800_318750000_204000000,1688422.2390651703,14.304,3416868.3606,12.224135
2_268800_318750000_2133000000,577952.8923034668,16.5185,2357724.8556,13.434194
2_268800_318750000_3199000000,563073.1425285339,17.7285,2281995.7863,13.950751
2_268800_318750000_665600000,734201.3471126556,15.511,2587594.6404,12.623522999999999
2_268800_216750000_204000000,2110819.2813396454,12.383,3448113.981,12.005244000000001
2_268800_216750000_2133000000,1131754.6255588531,13.8,2345656.62,13.277284
2_268800_216750000_3199000000,1133115.3576374054,14.9575,2299331.9570999998,13.880752000000001
2_268800_216750000_665600000,1218948.3087062836,12.983,2584759.9836,12.430603
2_268800_114750000_204000000,4327948.992967606,11.374,3549382.3140000002,11.80527
2_268800_114750000_2133000000,3523276.865005493,12.491,2509384.9338,13.138029000000001
2_268800_114750000_3199000000,3422059.011697769,13.095,2545488.0456000003,13.138029000000001
2_268800_114750000_665600000,3528473.8852977757,11.477,2729556.7725,13.801945
2_422400_1300500000_204000000,1898538.7654304504,16.105,2333242.4924999997,12.258017
2_422400_1300500000_2133000000,801867.6211833954,17.02,1374299.4789,14.504346
2_422400_1300500000_3199000000,767567.5113201141,18.026,1132820.199,14.677620999999998
2_422400_1300500000_665600000,939415.5657291412,16.0,1664292.0906,14.748536
2_422400_1236750000_204000000,2662979.0143966675,14.393,2611723.9217999997,14.644477
2_422400_1236750000_2133000000,1761043.8692569733,14.996,1666914.4919999999,14.374233
2_422400_1236750000_3199000000,1748158.5040092468,16.0625,1510503.75345,14.614974
2_422400_1236750000_665600000,1986280.784368515,14.392,1946824.3469999998,14.660957
2_422400_1134750000_204000000,2698213.5910987854,13.589,2763799.9143000003,14.579655
2_422400_1134750000_2133000000,1759161.35597229,14.4945,1728491.3778,14.210211
2_422400_1134750000_3199000000,1773415.5843257904,15.512,1588859.61618,14.541156
2_422400_1134750000_665600000,1965598.2398986816,13.689,2056615.7190000003,14.545148
2_422400_1032750000_204000000,2681944.0879821777,13.186,2715044.7864,14.402184
2_422400_1032750000_2133000000,1832146.4262008667,14.094,1697332.6602,14.07339
2_422400_1032750000_3199000000,1796869.378566742,14.709,1609816.5389999999,14.507333000000001
2_422400_1032750000_665600000,1987368.114233017,13.2355,2002642.9845,14.476125
2_422400_930750000_204000000,2766788.8355255127,13.186,2672966.1693,14.26843
2_422400_930750000_2133000000,1759472.727060318,13.893,1666724.4312,13.890085
2_422400_930750000_3199000000,1781061.7830753326,14.752,1609627.8849,14.470133
2_422400_930750000_665600000,1951810.137271881,12.886,1959208.6212000002,14.421173000000001
2_422400_828750000_204000000,2684882.153511048,12.784,2636555.1465,14.145825
2_422400_828750000_2133000000,1790610.106229782,13.4405,1639024.1637,13.648465
2_422400_828750000_3199000000,1779577.5349140167,14.405,1588387.9653,14.37479
2_422400_828750000_665600000,1954893.4528827667,12.884,1919408.3891999999,14.432503
2_422400_726750000_204000000,2604828.375101089,12.382,2612828.6502,13.990279000000001
2_422400_726750000_2133000000,1818738.5654449463,13.491,1623396.5082,13.401174999999999
2_422400_726750000_3199000000,1756386.8169784546,13.904,1570247.5684800001,14.252032999999999
2_422400_726750000_665600000,1999920.7372665403,12.484,1891630.2843000002,14.489884
2_422400_624750000_204000000,2659317.4254894257,11.982,2602983.6258,13.782112999999999
2_422400_624750000_2133000000,1752285.7339382172,13.089,1615556.0313,13.153870999999999
2_422400_624750000_3199000000,1726775.5875587463,13.8985,1559309.05365,14.128581
2_422400_624750000_665600000,1935208.4546089168,12.585,1873365.0662999998,14.464625
