powermode,observed_time,observed_power,predicted_time,predicted_power
2_729600_1134750000_2133000000,973846.848487854,15.907,1009696.9058999999,14.854128000000001
2_729600_1134750000_3199000000,934043.31946373,15.605,984944.769,15.917588
2_729600_1134750000_665600000,1119411.7183685305,15.004,1409354.0677800002,16.850668000000002
2_729600_1032750000_204000000,2044765.302658081,13.789,1932305.3274,15.019134
2_729600_1032750000_2133000000,967020.4513072968,15.206,948280.13382,14.561433999999998
2_729600_1032750000_3199000000,946273.0572223664,16.313,941212.4979000001,15.549421
2_729600_1032750000_665600000,1139243.7527179718,14.294,1334147.1030000001,16.420741999999997
2_729600_930750000_204000000,2008924.598455429,13.487,1853435.8785,14.726441000000001
2_729600_930750000_2133000000,972739.5865917206,15.0075,895800.3925500001,14.270465
2_729600_930750000_3199000000,916245.849609375,15.0555,917644.41165,15.210507
2_729600_930750000_665600000,1068355.4708957672,14.598,1243549.8399,16.034599
2_729600_828750000_204000000,2030071.2883472445,13.536,1788215.796,14.433946
2_729600_828750000_2133000000,972258.6627006532,14.1515,862893.0687,13.98019
2_729600_828750000_3199000000,923721.373319626,16.012,903184.75479,14.882718
2_729600_828750000_665600000,1053922.367811203,14.594,1165018.84302,15.667688
2_729600_726750000_204000000,2022748.1055259705,13.186,1778654.7687,14.143671
2_729600_726750000_2133000000,973324.8627185822,14.001,848090.2083,13.689915000000001
2_729600_726750000_3199000000,911344.8874950408,14.505,883911.0423000001,14.557065
2_729600_726750000_665600000,963306.6761493684,14.6015,1125349.6060499998,15.321423000000001
2_729600_624750000_204000000,2042580.6155204773,12.583,1841777.9304,13.853395500000001
2_729600_624750000_2133000000,1036416.0413742064,14.0,837598.47702,13.39964
2_729600_624750000_3199000000,934168.9665317537,14.8595,877035.0926999999,14.244858
2_729600_624750000_665600000,1065314.4173622131,13.8495,1171347.0548999999,15.04448
2_729600_522750000_204000000,2078425.7502555847,12.634,1936094.5082999999,13.563120999999999
2_729600_522750000_2133000000,954735.75091362,14.002,829004.4153,13.1102705
2_729600_522750000_3199000000,858031.5642356873,14.304,886450.4484,13.950987
2_729600_522750000_665600000,1153343.9166545868,12.984,1291284.6413999998,14.818245000000001
2_729600_420750000_204000000,2058692.922115326,12.784,2034800.928,13.27597
2_729600_420750000_2133000000,955693.6078071594,13.8,903511.2185999999,12.827231
2_729600_420750000_3199000000,960077.179670334,14.204,925223.4768000001,13.716246
2_729600_420750000_665600000,1147589.401960373,12.986,1410129.9409800002,14.633956
2_729600_318750000_204000000,2087656.2113761904,12.5315,2133611.5998,12.996685
2_729600_318750000_2133000000,1021644.9356079102,13.598,1038081.07968,12.549001
2_729600_318750000_3199000000,954976.2411117554,14.807,1009603.5948000001,13.535257
2_729600_318750000_665600000,1176142.1246528623,12.6325,1527065.59842,14.481208
