cores_algo,cpu_algo,gpu_algo,mem_algo,algo_time,algo_power,power_budget,num_pwds,visited_dim,cores_optimal,cpu_optimal,gpu_optimal,mem_optimal,optim_time,optim_power
8.0,2201600.0,930750000.0,3199000000.0,189.3515586853028,21.25,22.0,9.0,4.0,8.0,2201600.0,930750000.0,3199000000.0,189.3515586853028,21.25
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,23.0,9.0,4.0,12.0,2201600.0,1134750000.0,3199000000.0,183.76147747039795,22.948
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,24.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,25.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,26.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,27.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,28.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,29.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,30.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,31.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,32.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,33.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,34.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,35.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,36.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,37.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,38.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,39.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,40.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,41.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,42.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,43.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,44.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,45.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,46.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,1134750000.0,3199000000.0,186.3731145858765,22.243,47.0,9.0,4.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
