cores,cpu,gpu,mem,observed_time,observed_power
12,729600,930750000,665600000,3925.4921875,22.18
12,729600,930750000,2133000000,1399.7667846679688,35.415
12,729600,930750000,3199000000,1164.102783203125,41.018
4,729600,1134750000,665600000,3923.3406982421875,23.683
4,729600,1134750000,2133000000,1359.1360473632812,38.631
4,729600,1134750000,3199000000,1113.4141235351562,43.713
8,729600,1134750000,665600000,3935.2861328125,23.783
8,729600,1134750000,2133000000,1330.0546875,39.925
8,729600,1134750000,3199000000,1037.5986328125,46.815
12,729600,1134750000,665600000,3928.8023681640625,23.783
12,729600,1134750000,2133000000,1452.8367309570312,37.927
12,729600,1134750000,3199000000,1095.1272583007812,47.021
4,729600,1300500000,665600000,3914.8349609375,25.793
4,729600,1300500000,2133000000,1333.1414794921875,43.155
4,729600,1300500000,3199000000,1101.5751953125,50.556
8,729600,1300500000,665600000,3927.453369140625,26.188
8,729600,1300500000,2133000000,1330.806396484375,44.046
8,729600,1300500000,3199000000,1086.6664428710938,51.927
12,729600,1300500000,665600000,3917.7615966796875,26.188
12,729600,1300500000,2133000000,1315.6832275390625,44.146
12,729600,1300500000,3199000000,987.9490051269531,54.912
4,1036800,114750000,665600000,7886.930419921875,15.664
4,1036800,114750000,2133000000,7860.81201171875,16.568
4,1036800,114750000,3199000000,7852.606689453125,17.472
8,1036800,114750000,665600000,7899.603271484375,15.965
8,1036800,114750000,2133000000,7874.110107421875,16.869
8,1036800,114750000,3199000000,7868.286865234375,17.773
12,1036800,114750000,665600000,7884.0615234375,15.968
12,1036800,114750000,2133000000,7860.76123046875,16.969
12,1036800,114750000,3199000000,7854.798828125,17.7745
4,1036800,318750000,665600000,4144.67041015625,18.772
4,1036800,318750000,2133000000,2864.617431640625,22.088
4,1036800,318750000,3199000000,2847.347900390625,23.595
8,1036800,318750000,665600000,4131.017822265625,19.076
8,1036800,318750000,2133000000,2866.4586181640625,22.388
8,1036800,318750000,3199000000,2850.9083251953125,23.996
12,1036800,318750000,665600000,4142.457275390625,19.177
12,1036800,318750000,2133000000,2863.597412109375,22.388
12,1036800,318750000,3199000000,2846.607177734375,23.996
4,1036800,522750000,665600000,3967.6009521484375,19.278
4,1036800,522750000,2133000000,1790.2153930664062,27.307
4,1036800,522750000,3199000000,1757.1600341796875,29.21
8,1036800,522750000,665600000,3963.326171875,19.679
8,1036800,522750000,2133000000,1790.1930541992188,27.507
8,1036800,522750000,3199000000,1763.6543579101562,29.51
12,1036800,522750000,665600000,3963.046875,19.679
12,1036800,522750000,2133000000,1789.5468139648438,27.607
12,1036800,522750000,3199000000,1759.7711791992188,29.611
4,1036800,726750000,665600000,3935.024169921875,20.376
4,1036800,726750000,2133000000,1473.2852783203125,31.406
4,1036800,726750000,3199000000,1321.7158203125,35.004
8,1036800,726750000,665600000,3923.4383544921875,20.477
8,1036800,726750000,2133000000,1470.1262817382812,31.706
8,1036800,726750000,3199000000,1322.6500854492188,34.996
12,1036800,726750000,665600000,3933.4005126953125,20.577
12,1036800,726750000,2133000000,1473.8734741210938,31.706
12,1036800,726750000,3199000000,1320.2530517578125,35.405
4,1036800,930750000,665600000,3923.694580078125,21.782
4,1036800,930750000,2133000000,1368.854736328125,35.321
4,1036800,930750000,3199000000,1082.512451171875,42.004
8,1036800,930750000,665600000,3922.5982666015625,22.08
8,1036800,930750000,2133000000,1353.999755859375,35.917
8,1036800,930750000,3199000000,1085.7578735351562,41.509
12,1036800,930750000,665600000,3919.3856201171875,22.08
12,1036800,930750000,2133000000,1361.880126953125,35.315
12,1036800,930750000,3199000000,1078.900634765625,42.816
4,1036800,1134750000,665600000,3919.9564208984375,23.7335
4,1036800,1134750000,2133000000,1312.9219360351562,39.725
4,1036800,1134750000,3199000000,1005.9029541015625,48.198
8,1036800,1134750000,665600000,3915.7548828125,23.783
8,1036800,1134750000,2133000000,1309.1134033203125,40.035
8,1036800,1134750000,3199000000,1002.7484436035156,47.624
12,1036800,1134750000,665600000,3917.9010009765625,23.786
12,1036800,1134750000,2133000000,1309.2412719726562,40.025
12,1036800,1134750000,3199000000,984.7832336425781,48.21
4,1036800,1300500000,665600000,3909.5001220703125,25.799
4,1036800,1300500000,2133000000,1293.2715454101562,44.108
4,1036800,1300500000,3199000000,963.83935546875,53.725
8,1036800,1300500000,665600000,3931.631103515625,26.194
8,1036800,1300500000,2133000000,1291.3505249023438,44.547
8,1036800,1300500000,3199000000,949.6050720214844,55.644
12,1036800,1300500000,665600000,3910.1856689453125,26.194
12,1036800,1300500000,2133000000,1287.7384033203125,44.547
12,1036800,1300500000,3199000000,953.2800598144531,54.912
4,1344000,114750000,665600000,7885.25830078125,15.664
4,1344000,114750000,2133000000,7862.3408203125,16.568
4,1344000,114750000,3199000000,7855.108154296875,17.472
8,1344000,114750000,665600000,7911.859375,15.965
8,1344000,114750000,2133000000,7887.8974609375,16.969
8,1344000,114750000,3199000000,7883.4921875,17.773
12,1344000,114750000,665600000,7882.045654296875,16.065
12,1344000,114750000,2133000000,7860.82421875,16.969
12,1344000,114750000,3199000000,7856.738037109375,17.873
