epoch,batch_idx,fetchtime,fetchtime_ms,log_time
_,223,null,1.399839997291565,337.21917510032654
1,223,null,1.399839997291565,337.2192358970642
_,224,null,1.5646719932556152,337.56272864341736
1,224,null,1.5646719932556152,337.5627853870392
_,225,null,1.1558079719543457,337.9040493965149
1,225,null,1.1558079719543457,337.9041414260864
_,226,null,1.4663679599761963,338.2479043006897
1,226,null,1.4663679599761963,338.24797010421753
_,227,null,1.334272027015686,338.5911509990692
1,227,null,1.334272027015686,338.59121108055115
_,228,null,1.3025280237197876,338.9330472946167
1,228,null,1.3025280237197876,338.9331157207489
_,229,null,1.5800319910049438,339.2748267650604
1,229,null,1.5800319910049438,339.2748878002167
_,230,null,1.4839359521865845,339.61983847618103
1,230,null,1.4839359521865845,339.6199052333832
_,231,null,1.1385600566864014,339.9633162021637
1,231,null,1.1385600566864014,339.9633786678314
_,232,null,1.6486400365829468,340.305867433548
1,232,null,1.6486400365829468,340.3059272766113
_,233,null,1.0434880256652832,340.64708065986633
1,233,null,1.0434880256652832,340.64713978767395
_,234,null,1.250432014465332,340.99022150039673
1,234,null,1.250432014465332,340.9902844429016
_,235,null,1.0240000486373901,341.33296728134155
1,235,null,1.0240000486373901,341.33302783966064
_,236,null,1.2687360048294067,341.67519307136536
1,236,null,1.2687360048294067,341.6752507686615
_,237,null,1.3209600448608398,342.0169985294342
1,237,null,1.3209600448608398,342.0170569419861
_,238,null,1.15174400806427,342.36039638519287
1,238,null,1.15174400806427,342.36046290397644
_,239,null,1.3128960132598877,342.7022981643677
1,239,null,1.3128960132598877,342.7023572921753
_,240,null,1.0497920513153076,343.0445876121521
1,240,null,1.0497920513153076,343.0446696281433
_,241,null,1.8749439716339111,343.38773798942566
1,241,null,1.8749439716339111,343.3878002166748
_,242,null,1.3199360370635986,343.73044538497925
1,242,null,1.3199360370635986,343.73050475120544
_,243,null,1.2257280349731445,344.0718197822571
1,243,null,1.2257280349731445,344.07188534736633
_,244,null,1.3948160409927368,344.41530108451843
1,244,null,1.3948160409927368,344.4153678417206
_,245,null,1.457152009010315,344.7590515613556
1,245,null,1.457152009010315,344.75911259651184
_,246,null,1.3537280559539795,345.10074400901794
1,246,null,1.3537280559539795,345.1008059978485
_,247,null,1.2922879457473755,345.44262528419495
1,247,null,1.2922879457473755,345.44268321990967
_,248,null,1.0658880472183228,345.7862250804901
1,248,null,1.0658880472183228,345.7862865924835
_,249,null,1.0897279977798462,346.1281678676605
1,249,null,1.0897279977798462,346.1282274723053
_,250,null,1.3178880214691162,346.47064089775085
1,250,null,1.3178880214691162,346.4706988334656
_,251,null,1.4303679466247559,346.81484365463257
1,251,null,1.4303679466247559,346.81490087509155
_,252,null,1.5350079536437988,347.1572275161743
1,252,null,1.5350079536437988,347.15729093551636
_,253,null,1.4387199878692627,347.4996998310089
1,253,null,1.4387199878692627,347.4997594356537
_,254,null,1.0885119438171387,347.84120750427246
1,254,null,1.0885119438171387,347.84128880500793
_,255,null,1.3393919467926025,348.184618473053
1,255,null,1.3393919467926025,348.18468856811523
_,256,null,1.2034239768981934,348.527357339859
1,256,null,1.2034239768981934,348.52742099761963
_,257,null,1.3783040046691895,348.86984729766846
1,257,null,1.3783040046691895,348.86991333961487
_,258,null,1.227776050567627,349.2121741771698
1,258,null,1.227776050567627,349.2122333049774
_,259,null,1.3148159980773926,349.55404591560364
1,259,null,1.3148159980773926,349.5541031360626
_,260,null,1.1386560201644897,349.8966052532196
1,260,null,1.1386560201644897,349.8966646194458
_,261,null,1.2513279914855957,350.23987197875977
1,261,null,1.2513279914855957,350.2399320602417
_,262,null,1.449887990951538,350.58230686187744
1,262,null,1.449887990951538,350.58236837387085
_,263,null,1.0567679405212402,350.924259185791
1,263,null,1.0567679405212402,350.924320936203
_,264,null,1.3361279964447021,351.26711559295654
1,264,null,1.3361279964447021,351.267174243927
_,265,null,1.3527040481567383,351.6090986728668
1,265,null,1.3527040481567383,351.60915756225586
_,266,null,1.2206079959869385,351.9515640735626
1,266,null,1.2206079959869385,351.9516222476959
_,267,null,1.0580159425735474,352.29354786872864
1,267,null,1.0580159425735474,352.29360914230347
