epoch,batch_idx,computetime,computetime_ms,log_time
0,705,null,341.34014892578125,248.019451379776
_,706,null,341.9033508300781,248.36292576789856
0,706,null,341.9033508300781,248.36295223236084
_,707,null,340.92437744140625,248.70523071289062
0,707,null,340.92437744140625,248.70525789260864
_,708,null,340.83941650390625,249.04725003242493
0,708,null,340.83941650390625,249.04727911949158
_,709,null,342.3549499511719,249.39101362228394
0,709,null,342.3549499511719,249.39103984832764
_,710,null,341.17529296875,249.73395776748657
0,710,null,341.17529296875,249.73398447036743
_,711,null,340.28466796875,250.07557320594788
0,711,null,340.28466796875,250.07560110092163
_,712,null,341.8655090332031,250.41880798339844
0,712,null,341.8655090332031,250.41883516311646
_,713,null,341.7326354980469,250.76204872131348
0,713,null,341.7326354980469,250.76207637786865
_,714,null,341.1150817871094,251.10452342033386
0,714,null,341.1150817871094,251.10455083847046
_,715,null,341.4159240722656,251.44756531715393
0,715,null,341.4159240722656,251.44759249687195
_,716,null,340.31512451171875,251.78951120376587
0,716,null,340.31512451171875,251.7895393371582
_,717,null,342.21466064453125,252.13307642936707
0,717,null,342.21466064453125,252.13310265541077
_,718,null,342.0323791503906,252.47635173797607
0,718,null,342.0323791503906,252.4763777256012
_,719,null,340.411376953125,252.81822514533997
0,719,null,340.411376953125,252.81825399398804
_,720,null,340.7715759277344,253.1602475643158
0,720,null,340.7715759277344,253.16027641296387
_,721,null,341.9596862792969,253.50355124473572
0,721,null,341.9596862792969,253.50357794761658
_,722,null,340.6858215332031,253.84591484069824
0,722,null,340.6858215332031,253.84594202041626
_,723,null,340.87298583984375,254.18797540664673
0,723,null,340.87298583984375,254.18801045417786
_,724,null,341.7366027832031,254.531183719635
0,724,null,341.7366027832031,254.5312111377716
_,725,null,340.6346740722656,254.87316250801086
0,725,null,340.6346740722656,254.87318968772888
_,726,null,340.2627868652344,255.21466398239136
0,726,null,340.2627868652344,255.21469402313232
_,727,null,343.0758361816406,255.55893635749817
0,727,null,343.0758361816406,255.5589632987976
_,728,null,340.8968811035156,255.90143299102783
0,728,null,340.8968811035156,255.9014618396759
