cores,cpu,gpu,mem,observed_time,bs,observed_power
12,422400,1134750000,3199000000,64.03977584838867,1.0,16.9585
4,422400,1300500000,665600000,70.5689926147461,1.0,15.851
4,422400,1300500000,2133000000,78.88897705078125,1.0,16.7545
4,422400,1300500000,3199000000,75.66934204101562,1.0,17.3565
8,422400,1300500000,665600000,70.49718475341797,1.0,16.453
8,422400,1300500000,2133000000,65.35739135742188,1.0,17.356
8,422400,1300500000,3199000000,65.38409423828125,1.0,17.958
12,422400,1300500000,665600000,67.82563400268555,1.0,16.503
12,422400,1300500000,2133000000,64.88875198364258,1.0,17.356
12,422400,1300500000,3199000000,64.99905395507812,1.0,17.958
4,729600,114750000,665600000,54.256975173950195,1.0,13.742
4,729600,114750000,2133000000,52.0852165222168,1.0,14.648
4,729600,114750000,3199000000,50.934335708618164,1.0,15.8605
8,729600,114750000,665600000,52.644527435302734,1.0,13.644
8,729600,114750000,2133000000,51.277809143066406,1.0,14.648
8,729600,114750000,3199000000,50.66843223571777,1.0,15.761
12,729600,114750000,665600000,52.397151947021484,1.0,14.245
12,729600,114750000,2133000000,51.90353584289551,1.0,14.648
12,729600,114750000,3199000000,50.61441612243652,1.0,15.761
4,729600,318750000,665600000,46.49732780456543,1.0,14.045
4,729600,318750000,2133000000,42.495920181274414,1.0,15.055
4,729600,318750000,3199000000,45.4605770111084,1.0,16.251
8,729600,318750000,665600000,43.19607925415039,1.0,14.046
8,729600,318750000,2133000000,41.67803192138672,1.0,15.048
8,729600,318750000,3199000000,40.355119705200195,1.0,16.152
12,729600,318750000,665600000,43.24937629699707,1.0,14.296
12,729600,318750000,2133000000,40.965681076049805,1.0,15.052
12,729600,318750000,3199000000,39.864959716796875,1.0,16.653
4,729600,522750000,665600000,47.94260787963867,1.0,14.046
4,729600,522750000,2133000000,42.66310501098633,1.0,15.456
4,729600,522750000,3199000000,41.42940902709961,1.0,16.052
8,729600,522750000,665600000,43.34662437438965,1.0,14.446
8,729600,522750000,2133000000,41.014991760253906,1.0,15.449
8,729600,522750000,3199000000,39.78900909423828,1.0,16.152
12,729600,522750000,665600000,43.362592697143555,1.0,14.446
12,729600,522750000,2133000000,40.28148651123047,1.0,15.453
12,729600,522750000,3199000000,40.688865661621094,1.0,16.052
4,729600,726750000,665600000,49.55961608886719,1.0,14.85
4,729600,726750000,2133000000,42.69966506958008,1.0,15.355
4,729600,726750000,3199000000,41.5756950378418,1.0,16.456
8,729600,726750000,665600000,44.32651329040527,1.0,14.85
8,729600,726750000,2133000000,40.96198272705078,1.0,15.652
8,729600,726750000,3199000000,39.95283126831055,1.0,16.456
12,729600,726750000,665600000,43.294015884399414,1.0,15.0505
12,729600,726750000,2133000000,40.23465538024902,1.0,16.154
12,729600,726750000,3199000000,39.65073585510254,1.0,16.854
4,729600,930750000,665600000,48.03182411193848,1.0,15.652
4,729600,930750000,2133000000,42.50892639160156,1.0,16.057
4,729600,930750000,3199000000,42.71459197998047,1.0,17.056
8,729600,930750000,665600000,43.25564765930176,1.0,15.652
8,729600,930750000,2133000000,44.58662414550781,1.0,16.555
8,729600,930750000,3199000000,43.980224609375,1.0,17.258
12,729600,930750000,665600000,43.46171188354492,1.0,16.053
12,729600,930750000,2133000000,40.67259216308594,1.0,16.956
12,729600,930750000,3199000000,39.99969482421875,1.0,17.659
4,729600,1134750000,665600000,46.39971351623535,1.0,16.45
4,729600,1134750000,2133000000,43.75660705566406,1.0,17.254
4,729600,1134750000,3199000000,41.83060836791992,1.0,17.856
8,729600,1134750000,665600000,44.19990348815918,1.0,16.454
8,729600,1134750000,2133000000,41.636735916137695,1.0,17.254
8,729600,1134750000,3199000000,40.614736557006836,1.0,18.458
12,729600,1134750000,665600000,43.265695571899414,1.0,16.454
12,729600,1134750000,2133000000,40.56271934509277,1.0,17.755
12,729600,1134750000,3199000000,39.94022560119629,1.0,18.458
4,729600,1300500000,665600000,48.8147029876709,1.0,17.655
4,729600,1300500000,2133000000,45.36590385437012,1.0,18.457
4,729600,1300500000,3199000000,42.094017028808594,1.0,19.4595
8,729600,1300500000,665600000,44.05727958679199,1.0,18.056
8,729600,1300500000,2133000000,41.35016059875488,1.0,18.056
8,729600,1300500000,3199000000,39.79288101196289,1.0,19.66
12,729600,1300500000,665600000,43.6744327545166,1.0,18.453
12,729600,1300500000,2133000000,41.43854522705078,1.0,18.7575
12,729600,1300500000,3199000000,39.93302345275879,1.0,19.559
4,1036800,114750000,665600000,52.70283317565918,1.0,14.448
4,1036800,114750000,2133000000,50.85441589355469,1.0,15.154
4,1036800,114750000,3199000000,49.642433166503906,1.0,15.968
8,1036800,114750000,665600000,51.93876838684082,1.0,14.25
8,1036800,114750000,2133000000,50.46094512939453,1.0,15.054
8,1036800,114750000,3199000000,49.91862487792969,1.0,15.968
12,1036800,114750000,665600000,51.828081130981445,1.0,14.4495
12,1036800,114750000,2133000000,50.40838432312012,1.0,15.104
12,1036800,114750000,3199000000,49.88279914855957,1.0,15.9125
4,1036800,318750000,665600000,36.33598327636719,1.0,14.65
4,1036800,318750000,2133000000,34.064735412597656,1.0,15.754
4,1036800,318750000,3199000000,31.92571258544922,1.0,16.961
8,1036800,318750000,665600000,34.39135932922363,1.0,15.252
8,1036800,318750000,2133000000,31.487903594970703,1.0,16.259
8,1036800,318750000,3199000000,30.466511726379395,1.0,17.219
12,1036800,318750000,665600000,34.854400634765625,1.0,15.151
12,1036800,318750000,2133000000,33.3931999206543,1.0,16.657
12,1036800,318750000,3199000000,30.11036777496338,1.0,17.359
4,1036800,522750000,665600000,37.449663162231445,1.0,14.651
4,1036800,522750000,2133000000,34.5918083190918,1.0,16.054
4,1036800,522750000,3199000000,31.478687286376953,1.0,16.656
8,1036800,522750000,665600000,33.7807674407959,1.0,15.552
8,1036800,522750000,2133000000,31.594207763671875,1.0,16.057
8,1036800,522750000,3199000000,30.557007789611816,1.0,17.258
12,1036800,522750000,665600000,33.789472579956055,1.0,15.552
12,1036800,522750000,2133000000,31.561264038085938,1.0,15.854
12,1036800,522750000,3199000000,30.05225658416748,1.0,17.158
4,1036800,726750000,665600000,35.8922233581543,1.0,15.451
4,1036800,726750000,2133000000,34.50323295593262,1.0,16.455
4,1036800,726750000,3199000000,31.370960235595703,1.0,17.161
8,1036800,726750000,665600000,34.74721717834473,1.0,15.953
8,1036800,726750000,2133000000,31.507375717163086,1.0,16.856
8,1036800,726750000,3199000000,30.194047927856445,1.0,17.963
12,1036800,726750000,665600000,33.42884826660156,1.0,15.904
12,1036800,726750000,2133000000,31.342304229736328,1.0,16.255
12,1036800,726750000,3199000000,30.031408309936523,1.0,17.963
4,1036800,930750000,665600000,38.604095458984375,1.0,16.256
4,1036800,930750000,2133000000,32.7053279876709,1.0,17.257
4,1036800,930750000,3199000000,33.40211296081543,1.0,18.261
