cores,cpu,gpu,mem,observed_time,bs,observed_power
4,729600,114750000,2133000000,563.3983764648438,1.0,15.765
4,729600,114750000,3199000000,568.6935119628906,1.0,16.869
8,729600,114750000,665600000,568.4049377441406,1.0,14.952
8,729600,114750000,2133000000,555.2948913574219,1.0,15.765
8,729600,114750000,3199000000,554.9442749023438,1.0,16.969
12,729600,114750000,665600000,568.565673828125,1.0,15.152
12,729600,114750000,2133000000,555.9676208496094,1.0,16.166
12,729600,114750000,3199000000,550.6307678222656,1.0,17.37
4,729600,318750000,665600000,268.9707946777344,1.0,18.374
4,729600,318750000,2133000000,113.07263946533203,1.0,32.399
4,729600,318750000,3199000000,205.19662475585938,1.0,21.787
8,729600,318750000,665600000,265.6503143310547,1.0,18.775
8,729600,318750000,2133000000,207.5381622314453,1.0,21.134
8,729600,318750000,3199000000,212.87208557128906,1.0,21.987
12,729600,318750000,665600000,263.731201171875,1.0,18.775
12,729600,318750000,2133000000,222.5937957763672,1.0,20.5325
12,729600,318750000,3199000000,216.46868896484375,1.0,22.087
4,729600,522750000,665600000,246.58025360107422,1.0,19.176
4,729600,522750000,2133000000,103.74518585205078,1.0,38.111
4,729600,522750000,3199000000,131.7179718017578,1.0,26.398
8,729600,522750000,665600000,237.75113677978516,1.0,19.878
8,729600,522750000,2133000000,149.07259368896484,1.0,23.7415
8,729600,522750000,3199000000,129.2396469116211,1.0,26.799
12,729600,522750000,665600000,236.2174072265625,1.0,19.878
12,729600,522750000,2133000000,137.46846771240234,1.0,25.097
12,729600,522750000,3199000000,128.93621063232422,1.0,26.197
4,729600,726750000,665600000,232.84770965576172,1.0,20.278
4,729600,726750000,2133000000,101.64358520507812,1.0,33.591
4,729600,726750000,3199000000,102.87259292602539,1.0,30.696
8,729600,726750000,665600000,236.59080505371094,1.0,20.679
8,729600,726750000,2133000000,109.61191940307617,1.0,28.201
8,729600,726750000,3199000000,112.54659271240234,1.0,29.793
12,729600,726750000,665600000,244.12310791015625,1.0,20.578
12,729600,726750000,2133000000,114.05279922485352,1.0,27.197
12,729600,726750000,3199000000,97.39497375488281,1.0,31.398
4,729600,930750000,665600000,233.9841537475586,1.0,21.882
4,729600,930750000,2133000000,116.62705612182617,1.0,34.9065
4,729600,930750000,3199000000,107.98933029174805,1.0,32.199
8,729600,930750000,665600000,229.51367950439453,1.0,22.5845
8,729600,930750000,2133000000,111.62982559204102,1.0,30.306
8,729600,930750000,3199000000,97.37503814697266,1.0,32.199
12,729600,930750000,665600000,229.1531524658203,1.0,22.384
12,729600,930750000,2133000000,95.72024154663086,1.0,30.104
12,729600,930750000,3199000000,104.26548767089844,1.0,33.403
4,729600,1134750000,665600000,230.8854522705078,1.0,23.887
4,729600,1134750000,2133000000,106.86423873901367,1.0,34.497
4,729600,1134750000,3199000000,98.91795349121094,1.0,35.807
8,729600,1134750000,665600000,228.0786895751953,1.0,24.389
8,729600,1134750000,2133000000,110.03524780273438,1.0,32.803
8,729600,1134750000,3199000000,96.42403030395508,1.0,34.891
12,729600,1134750000,665600000,229.98900604248047,1.0,24.283
12,729600,1134750000,2133000000,96.78772735595703,1.0,35.4555
12,729600,1134750000,3199000000,104.50223922729492,1.0,34.257
4,729600,1300500000,665600000,244.97694396972656,1.0,25.791
4,729600,1300500000,2133000000,116.59954833984375,1.0,35.002
4,729600,1300500000,3199000000,99.2808609008789,1.0,39.411
8,729600,1300500000,665600000,233.84798431396484,1.0,26.691
8,729600,1300500000,2133000000,96.76480102539062,1.0,33.918
8,729600,1300500000,3199000000,95.98163223266602,1.0,39.1655
12,729600,1300500000,665600000,228.6417236328125,1.0,26.795
12,729600,1300500000,2133000000,98.11703872680664,1.0,39.015
12,729600,1300500000,3199000000,97.35760116577148,1.0,39.0
4,1036800,114750000,665600000,555.7756652832031,1.0,15.464
4,1036800,114750000,2133000000,556.7902221679688,1.0,15.765
4,1036800,114750000,3199000000,557.962158203125,1.0,18.074
8,1036800,114750000,665600000,567.9557495117188,1.0,15.35
8,1036800,114750000,2133000000,560.7033996582031,1.0,16.166
8,1036800,114750000,3199000000,577.0688171386719,1.0,17.27
12,1036800,114750000,665600000,554.1062622070312,1.0,15.35
12,1036800,114750000,2133000000,550.2712707519531,1.0,16.166
12,1036800,114750000,3199000000,548.587646484375,1.0,17.37
4,1036800,318750000,665600000,267.2881622314453,1.0,18.374
4,1036800,318750000,2133000000,82.21088027954102,1.0,42.92
4,1036800,318750000,3199000000,208.20816040039062,1.0,21.787
8,1036800,318750000,665600000,266.69248962402344,1.0,18.871
8,1036800,318750000,2133000000,206.45104217529297,1.0,21.184
8,1036800,318750000,3199000000,209.9112319946289,1.0,23.392
12,1036800,318750000,665600000,262.5592346191406,1.0,18.775
12,1036800,318750000,2133000000,204.294677734375,1.0,21.787
12,1036800,318750000,3199000000,215.7957000732422,1.0,22.188
4,1036800,522750000,665600000,238.78756713867188,1.0,19.477
4,1036800,522750000,2133000000,82.0831527709961,1.0,44.444
4,1036800,522750000,3199000000,132.19332885742188,1.0,26.9
8,1036800,522750000,665600000,238.70523834228516,1.0,19.774
8,1036800,522750000,2133000000,130.67544555664062,1.0,25.197
