cores,cpu,gpu,mem,observed_time,bs,observed_power
4,1036800,1134750000,665600000,43.367326736450195,1.0,14.347
4,1036800,1134750000,2133000000,37.83784103393555,1.0,15.955
4,1036800,1134750000,3199000000,36.34515190124512,1.0,15.853
8,1036800,1134750000,665600000,39.98366355895996,1.0,14.25
8,1036800,1134750000,2133000000,35.714847564697266,1.0,15.153
8,1036800,1134750000,3199000000,34.183664321899414,1.0,16.257
12,1036800,1134750000,665600000,36.961151123046875,1.0,14.652
12,1036800,1134750000,2133000000,35.36409568786621,1.0,15.554
12,1036800,1134750000,3199000000,34.84035301208496,1.0,16.156
4,1036800,1300500000,665600000,42.78289604187012,1.0,15.553
4,1036800,1300500000,2133000000,38.98915100097656,1.0,16.056
4,1036800,1300500000,3199000000,36.12673568725586,1.0,17.059
8,1036800,1300500000,665600000,39.0260009765625,1.0,15.954
8,1036800,1300500000,2133000000,36.47987174987793,1.0,15.955
8,1036800,1300500000,3199000000,34.19209671020508,1.0,16.958
12,1036800,1300500000,665600000,37.01107215881348,1.0,15.954
12,1036800,1300500000,2133000000,34.7194709777832,1.0,16.757
12,1036800,1300500000,3199000000,34.59471893310547,1.0,17.359
4,1344000,114750000,665600000,33.711265563964844,1.0,12.844
4,1344000,114750000,2133000000,33.41316795349121,1.0,13.848
4,1344000,114750000,3199000000,30.266464233398438,1.0,14.851
8,1344000,114750000,665600000,32.14587116241455,1.0,13.142
8,1344000,114750000,2133000000,30.24022388458252,1.0,14.249
8,1344000,114750000,3199000000,28.713552474975586,1.0,14.853
12,1344000,114750000,665600000,31.67193603515625,1.0,13.243
12,1344000,114750000,2133000000,29.026047706604004,1.0,14.146
12,1344000,114750000,3199000000,28.064847946166992,1.0,14.849
4,1344000,318750000,665600000,34.02367973327637,1.0,13.144
4,1344000,318750000,2133000000,31.282320022583008,1.0,16.955
4,1344000,318750000,3199000000,31.47772789001465,1.0,14.75
8,1344000,318750000,665600000,34.85955238342285,1.0,13.144
8,1344000,318750000,2133000000,29.647664070129395,1.0,14.148
8,1344000,318750000,3199000000,29.4530086517334,1.0,15.151
12,1344000,318750000,665600000,32.14726448059082,1.0,13.144
12,1344000,318750000,2133000000,29.658960342407227,1.0,14.148
12,1344000,318750000,3199000000,28.5806884765625,1.0,14.75
4,1344000,522750000,665600000,36.871551513671875,1.0,13.545
4,1344000,522750000,2133000000,31.9576473236084,1.0,16.955
4,1344000,522750000,3199000000,30.176464080810547,1.0,15.151
8,1344000,522750000,665600000,32.83671951293945,1.0,13.545
8,1344000,522750000,2133000000,30.127615928649902,1.0,14.148
8,1344000,522750000,3199000000,28.245792388916016,1.0,15.151
12,1344000,522750000,665600000,32.38663864135742,1.0,13.545
12,1344000,522750000,2133000000,29.593791961669922,1.0,14.047
12,1344000,522750000,3199000000,28.746031761169434,1.0,15.151
4,1344000,726750000,665600000,37.60214424133301,1.0,13.545
4,1344000,726750000,2133000000,31.251903533935547,1.0,16.554
4,1344000,726750000,3199000000,29.97103977203369,1.0,15.552
8,1344000,726750000,665600000,32.63043212890625,1.0,13.946
8,1344000,726750000,2133000000,29.63475227355957,1.0,14.549
8,1344000,726750000,3199000000,28.93785572052002,1.0,15.552
12,1344000,726750000,665600000,32.39569664001465,1.0,13.946
12,1344000,726750000,2133000000,29.31441593170166,1.0,14.549
12,1344000,726750000,3199000000,28.149439811706543,1.0,15.552
4,1344000,930750000,665600000,35.20633506774902,1.0,13.946
4,1344000,930750000,2133000000,32.523088455200195,1.0,16.955
4,1344000,930750000,3199000000,30.897536277770996,1.0,15.953
8,1344000,930750000,665600000,33.46382522583008,1.0,14.347
8,1344000,930750000,2133000000,29.97324848175049,1.0,15.351
8,1344000,930750000,3199000000,28.473072052001953,1.0,15.953
12,1344000,930750000,665600000,31.950735092163086,1.0,14.347
12,1344000,930750000,2133000000,29.17411231994629,1.0,15.351
12,1344000,930750000,3199000000,28.03102397918701,1.0,15.953
4,1344000,1134750000,665600000,36.375423431396484,1.0,14.748
4,1344000,1134750000,2133000000,32.00551986694336,1.0,16.955
4,1344000,1134750000,3199000000,29.142911911010742,1.0,16.755
8,1344000,1134750000,665600000,32.963008880615234,1.0,15.149
8,1344000,1134750000,2133000000,30.125120162963867,1.0,16.153
8,1344000,1134750000,3199000000,28.456144332885742,1.0,16.655
12,1344000,1134750000,665600000,32.08070373535156,1.0,15.149
12,1344000,1134750000,2133000000,29.568111419677734,1.0,16.156
12,1344000,1134750000,3199000000,28.1147518157959,1.0,16.755
4,1344000,1300500000,665600000,36.64228820800781,1.0,15.951
4,1344000,1300500000,2133000000,31.976447105407715,1.0,16.955
4,1344000,1300500000,3199000000,30.713536262512207,1.0,17.557
