power_budget,powermode_random,bs_random,optim_time_random,optim_power_random,time_budget,arr_rate,soln_random,powermode_nn,bs_nn,optim_time_nn,optim_power_nn,soln_nn,flag,time_scaled,time_cond1,time_cond2
45,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.13,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
46,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.13,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
47,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.13,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
48,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.13,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
49,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.13,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
50,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.13,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
10,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.14,60,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.036905304590861,1.2143182754516602
11,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.14,60,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.036905304590861,1.2143182754516602
12,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.14,60,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.036905304590861,1.2143182754516602
13,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.14,60,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.036905304590861,1.2143182754516602
14,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.14,60,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.036905304590861,1.2143182754516602
15,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.14,60,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.036905304590861,1.2143182754516602
16,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.14,60,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.036905304590861,1.2143182754516602
17,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.14,60,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.036905304590861,1.2143182754516602
18,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.14,60,0,8_422400_726750000_2133000000,4,100.43811798095705,17.158,1,False,0.10043811798095705,0.1671047846476237,6.026287078857423
19,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.14,60,0,4_729600_726750000_2133000000,4,75.40667057037354,21.764,1,False,0.07540667057037354,0.1420733372370402,4.524400234222412
20,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.14,60,0,8_1958400_318750000_2133000000,4,76.73406600952148,20.0815,1,False,0.07673406600952148,0.14340073267618814,4.604043960571289
21,8_1651200_522750000_2133000000,4.0,55.89616298675537,20.481,0.14,60,1,12_1036800_726750000_2133000000,4,50.95350742340088,21.783,1,True,0.05095350742340088,0.11762017409006754,3.0572104454040527
22,12_1036800_726750000_2133000000,4.0,50.95350742340088,21.783,0.14,60,1,8_1651200_726750000_2133000000,4,47.14298248291016,22.39,1,True,0.04714298248291016,0.11380964914957684,2.82857894897461
23,8_1651200_726750000_2133000000,4.0,47.14298248291016,22.39,0.14,60,1,12_1344000_726750000_3199000000,4,44.64840888977051,23.775,1,True,0.04464840888977051,0.11131507555643717,2.6789045333862305
24,4_1651200_726750000_3199000000,4.0,44.181227684021,23.279,0.14,60,1,12_1958400_522750000_3199000000,4,50.36783218383789,23.791,1,True,0.05036783218383789,0.11703449885050456,3.0220699310302734
25,4_1651200_726750000_3199000000,4.0,44.181227684021,23.279,0.14,60,1,12_2201600_522750000_3199000000,4,50.95505714416504,25.694,1,True,0.05095505714416504,0.1176217238108317,3.0573034286499023
26,4_1651200_726750000_3199000000,4.0,44.181227684021,23.279,0.14,60,1,12_2201600_522750000_3199000000,4,50.95505714416504,25.694,1,True,0.05095505714416504,0.1176217238108317,3.0573034286499023
