cpu_bs,gpu_bs,mem_bs,cores_bs,bs_bs,observed_time,observed_power,power_budget,num_pwds,cores_optim,cpu_optim,gpu_optim,mem_optim,bs_optim,optim_time,optim_power
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,28.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,29.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,30.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,31.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,32.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,33.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,34.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,35.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,36.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,37.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,38.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,39.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,40.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,41.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,42.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,43.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,44.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,45.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,46.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,47.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,48.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,49.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,50.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
