powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim
8_2201600_726750000_2133000000,45.839311599731445,16.0,30.191,33.0,5.0,8_729600_1134750000_3199000000,69.43928146362305,16.0,30.878,6.0
8_2201600_726750000_2133000000,45.839311599731445,16.0,30.191,34.0,5.0,4_1651200_930750000_3199000000,62.71319961547852,16.0,33.703,6.0
8_2201600_726750000_2133000000,45.839311599731445,16.0,30.191,35.0,5.0,8_1036800_930750000_3199000000,50.3004322052002,16.0,34.299,6.0
8_2201600_726750000_2133000000,45.839311599731445,16.0,30.191,36.0,5.0,12_1036800_930750000_3199000000,47.582815170288086,16.0,35.795,6.0
8_1344000_930750000_3199000000,44.36118507385254,16.0,36.597,37.0,6.0,8_1344000_1300500000_3199000000,41.97348785400391,16.0,36.3445,8.0
8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,38.0,7.0,8_1344000_1300500000_3199000000,41.97348785400391,16.0,36.3445,8.0
8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,39.0,7.0,8_1344000_1300500000_3199000000,41.97348785400391,16.0,36.3445,8.0
8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,40.0,7.0,8_1344000_1300500000_3199000000,41.97348785400391,16.0,36.3445,8.0
8_1958400_930750000_3199000000,33.303823471069336,16.0,37.809,41.0,7.0,8_1344000_1300500000_3199000000,41.97348785400391,16.0,36.3445,8.0
8_1344000_1300500000_3199000000,41.97348785400391,16.0,36.3445,42.0,8.0,8_1344000_1300500000_3199000000,41.97348785400391,16.0,36.3445,8.0
8_1344000_1300500000_3199000000,41.97348785400391,16.0,36.3445,43.0,8.0,8_1344000_1300500000_3199000000,41.97348785400391,16.0,36.3445,8.0
8_1344000_1300500000_3199000000,41.97348785400391,16.0,36.3445,44.0,8.0,8_1344000_1300500000_3199000000,41.97348785400391,16.0,36.3445,8.0
8_1344000_1300500000_3199000000,41.97348785400391,16.0,36.3445,45.0,8.0,8_1344000_1300500000_3199000000,41.97348785400391,16.0,36.3445,8.0
8_1344000_1300500000_3199000000,41.97348785400391,16.0,36.3445,46.0,8.0,8_1344000_1300500000_3199000000,41.97348785400391,16.0,36.3445,8.0
8_1651200_1300500000_3199000000,34.398942947387695,16.0,46.474,47.0,8.0,8_1651200_1300500000_3199000000,34.398942947387695,16.0,46.474,8.0
8_1651200_1300500000_3199000000,34.398942947387695,16.0,46.474,48.0,8.0,8_1651200_1300500000_3199000000,34.398942947387695,16.0,46.474,8.0
8_1651200_1300500000_3199000000,34.398942947387695,16.0,46.474,49.0,8.0,12_1958400_1300500000_3199000000,29.82460880279541,16.0,48.7785,8.0
8_1958400_1300500000_3199000000,30.97694396972656,16.0,49.687,50.0,8.0,12_1958400_1300500000_3199000000,29.82460880279541,16.0,48.7785,8.0
