cores_algo,cpu_algo,gpu_algo,mem_algo,bs_algo,algo_time,algo_power,power_budget,num_pwds,visited_dim,tries,time_budget,arr_rate,soln_algo,cores_optimal,cpu_optimal,gpu_optimal,mem_optimal,bs_optimal,optim_time,optim_power,soln_optimal
8.0,1344000.0,1300500000.0,2133000000.0,1.0,2.857327938079834,21.245,24.0,11.0,4.0,11.0,0.07,30.0,1.0,12.0,1958400.0,726750000.0,3199000000.0,1.0,2.369375944137573,23.464,1.0
8.0,1344000.0,1300500000.0,2133000000.0,1.0,2.857327938079834,21.245,25.0,11.0,4.0,11.0,0.07,30.0,1.0,4.0,1958400.0,930750000.0,3199000000.0,1.0,2.218832015991211,24.579,1.0
8.0,1344000.0,1300500000.0,2133000000.0,1.0,2.857327938079834,21.245,26.0,11.0,4.0,11.0,0.07,30.0,1.0,8.0,2201600.0,930750000.0,3199000000.0,1.0,2.115936040878296,25.978,1.0
8.0,1958400.0,726750000.0,2133000000.0,1.0,2.2282400131225586,26.982,27.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,930750000.0,3199000000.0,1.0,2.085503935813904,26.38,1.0
8.0,1958400.0,726750000.0,2133000000.0,1.0,2.2282400131225586,26.982,28.0,10.0,4.0,10.0,0.07,30.0,1.0,4.0,2201600.0,1134750000.0,3199000000.0,1.0,1.95687997341156,27.689,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,2.028864026069641,28.486,29.0,10.0,4.0,10.0,0.07,30.0,1.0,4.0,2201600.0,1134750000.0,3199000000.0,1.0,1.95687997341156,27.689,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,2.028864026069641,28.486,30.0,10.0,4.0,10.0,0.07,30.0,1.0,4.0,2201600.0,1134750000.0,3199000000.0,1.0,1.95687997341156,27.689,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,2.028864026069641,28.486,31.0,10.0,4.0,10.0,0.07,30.0,1.0,4.0,2201600.0,1134750000.0,3199000000.0,1.0,1.95687997341156,27.689,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,32.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,33.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,34.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,35.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,36.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,37.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,38.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,39.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,40.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,41.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,42.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,43.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,44.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,45.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,46.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,47.0,10.0,4.0,10.0,0.07,30.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
