powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,38.0,0.0,3.0,4.0,4_2201600_930750000_2133000000,2.0895040035247803,1.0,35.013,0.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,39.0,0.0,3.0,4.0,4_2201600_930750000_2133000000,2.0895040035247803,1.0,35.013,0.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,40.0,0.0,3.0,4.0,4_2201600_930750000_2133000000,2.0895040035247803,1.0,35.013,0.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,41.0,0.0,3.0,4.0,4_2201600_930750000_2133000000,2.0895040035247803,1.0,35.013,0.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,42.0,0.0,3.0,4.0,4_2201600_930750000_2133000000,2.0895040035247803,1.0,35.013,0.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,43.0,0.0,3.0,4.0,4_2201600_930750000_2133000000,2.0895040035247803,1.0,35.013,0.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,44.0,0.0,3.0,4.0,4_2201600_930750000_2133000000,2.0895040035247803,1.0,35.013,0.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,45.0,0.0,3.0,4.0,4_2201600_930750000_2133000000,2.0895040035247803,1.0,35.013,0.0
8_1958400_930750000_3199000000,543.7320556640625,8.0,45.141,46.0,1.0,3.0,4.0,4_2201600_930750000_2133000000,2.0895040035247803,1.0,35.013,0.0
8_1958400_930750000_3199000000,543.7320556640625,8.0,45.141,47.0,1.0,3.0,4.0,4_2201600_930750000_2133000000,2.0895040035247803,1.0,35.013,0.0
8_1958400_930750000_3199000000,543.7320556640625,8.0,45.141,48.0,1.0,3.0,4.0,4_2201600_930750000_2133000000,2.0895040035247803,1.0,35.013,0.0
8_1958400_930750000_3199000000,543.7320556640625,8.0,45.141,49.0,1.0,3.0,4.0,4_2201600_930750000_2133000000,2.0895040035247803,1.0,35.013,0.0
8_1958400_930750000_3199000000,543.7320556640625,8.0,45.141,50.0,1.0,3.0,4.0,4_2201600_930750000_2133000000,2.0895040035247803,1.0,35.013,0.0
8_1958400_930750000_3199000000,543.7320556640625,8.0,45.141,51.0,1.0,3.0,4.0,4_2201600_930750000_2133000000,2.0895040035247803,1.0,35.013,0.0
