powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,time_cond1,time_cond2
8_1958400_930750000_3199000000,117.94254302978516,32.0,40.817,57.0,48.0,4.0,9.0,8_1958400_930750000_3199000000,1103.7975463867188,16.0,45.393,9.0,True,0.11794254302978516,3.6734980985853407,1.0614828872680664
8_1958400_930750000_3199000000,117.94254302978516,32.0,40.817,58.0,48.0,4.0,9.0,8_1958400_930750000_3199000000,1103.7975463867188,16.0,45.393,9.0,True,0.11794254302978516,3.6734980985853407,1.0614828872680664
8_1958400_930750000_3199000000,117.94254302978516,32.0,40.817,59.0,48.0,4.0,9.0,8_1958400_930750000_3199000000,1103.7975463867188,16.0,45.393,9.0,True,0.11794254302978516,3.6734980985853407,1.0614828872680664
8_1958400_930750000_3199000000,117.94254302978516,32.0,40.817,60.0,48.0,4.0,9.0,8_1958400_930750000_3199000000,1103.7975463867188,16.0,45.393,9.0,True,0.11794254302978516,3.6734980985853407,1.0614828872680664
8_1651200_726750000_2133000000,164.82396697998047,32.0,29.309,30.0,35.0,4.5,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,0.0,True,0.16482396697998047,3.720379522535536,1.4834157028198243
8_1651200_726750000_2133000000,164.82396697998047,32.0,29.309,31.0,35.0,4.5,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,0.0,True,0.16482396697998047,3.720379522535536,1.4834157028198243
8_1651200_726750000_2133000000,164.82396697998047,32.0,29.309,32.0,35.0,4.5,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,0.0,True,0.16482396697998047,3.720379522535536,1.4834157028198243
4_1651200_726750000_3199000000,148.54340362548828,32.0,32.502,33.0,39.0,4.5,9.0,4_1651200_726750000_3199000000,98.0902214050293,1.0,32.201,0.0,True,0.1485434036254883,3.7040989591810436,1.3368906326293946
4_1651200_726750000_3199000000,148.54340362548828,32.0,32.502,34.0,39.0,4.5,9.0,8_1651200_726750000_2133000000,1489.0365600585938,16.0,33.812,3.0,True,0.1485434036254883,3.7040989591810436,1.3368906326293946
4_1651200_726750000_3199000000,148.54340362548828,32.0,32.502,35.0,39.0,4.5,9.0,8_1651200_726750000_2133000000,1489.0365600585938,16.0,33.812,3.0,True,0.1485434036254883,3.7040989591810436,1.3368906326293946
