cores_algo,cpu_algo,gpu_algo,mem_algo,bs_algo,algo_time,algo_power,power_budget,num_pwds,visited_dim,tries,cores_optimal,cpu_optimal,gpu_optimal,mem_optimal,bs_optimal,optim_time,optim_power
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,28.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,29.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,30.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,31.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,32.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,33.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,34.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,35.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,36.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,37.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,38.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,39.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,40.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,41.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,42.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,43.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
