powermode,predicted_time,predicted_power,observed_time,observed_power
6_1804800_828750000_3199000000,189.39592893,29.15846,181.0175913619995,30.3385
6_1804800_726750000_2133000000,263.01559557,23.611326,229.0351875152588,25.077
6_1958400_1236750000_3199000000,169.1660646,38.27183,148.51607504272462,40.012
6_1958400_1134750000_3199000000,173.899775595,36.075324,151.85327768707276,37.804
6_1958400_1032750000_3199000000,177.40345896,33.879543,160.13389692687988,34.697
6_1958400_930750000_3199000000,179.08478484,31.895574,165.84991368103027,33.495
6_1958400_726750000_2133000000,251.907396,24.604156,221.36373962402342,26.175
6_2112000_1236750000_3199000000,167.39339682,39.592742,145.57249541473388,40.815
6_2112000_1134750000_3199000000,169.39514085,37.39531,151.35777389526368,38.205
6_2201600_1300500000_3199000000,167.6868453,41.734117,138.99405934143067,43.8675
6_2201600_1134750000_3199000000,167.79830262000002,38.124402,148.5694629058838,39.201
8_576000_420750000_2133000000,363.48623103,17.923213,385.5459264221192,19.524
8_729600_522750000_2133000000,337.86946011,18.581389,321.17826528930664,20.964
8_1036800_726750000_2133000000,264.83213055,20.74027,254.21304307556153,23.474
8_1190400_726750000_2133000000,263.76545052,21.306152,242.47572332763673,24.075
8_1190400_624750000_2133000000,270.08384247000004,20.509096000000003,259.5070182189941,22.672
8_1344000_726750000_2133000000,263.01559557,21.9352,236.28597322082518,24.175
8_1497600_930750000_2133000000,243.70461921,25.501396,205.044464553833,27.7855
8_1497600_828750000_2133000000,254.48378592,24.058693,215.65866012573238,26.5295
8_1497600_828750000_3199000000,195.03553368,28.267785,193.25184733581543,28.6425
8_1497600_420750000_2133000000,343.52779499999997,20.076977,330.12224336242684,20.579
8_1651200_1032750000_3199000000,178.35009581999998,32.4243,167.69829964447018,33.288
8_1651200_930750000_3199000000,180.155454765,30.742307,175.68895513153078,31.384
8_1651200_828750000_2133000000,243.1216905,25.056117,208.6519312286377,27.175
8_1651200_828750000_3199000000,183.16742145,29.17052,186.07149744415284,30.031
8_1651200_726750000_2133000000,254.96072628,23.612021,224.81079678344727,25.3735
8_1651200_726750000_3199000000,194.48918502,27.459412,202.88508563232423,27.8815
8_1804800_1134750000_3199000000,170.53450479,35.883348,156.8926384048462,35.908
8_1804800_1032750000_3199000000,174.91461585,33.664362999999994,165.05031050872802,33.602
8_1804800_930750000_3199000000,178.25143791,31.746564,171.10396282958985,32.193
8_1958400_1300500000_3199000000,168.29234252999998,40.719080000000005,144.97909568786622,41.222
8_1958400_1236750000_3199000000,168.31984611,39.342914,145.78847242736816,40.309
8_1958400_1032750000_3199000000,170.274484848,34.901464999999995,159.28418004608153,35.098
8_1958400_930750000_3199000000,174.80955102000001,32.703844000000004,166.1470824584961,33.394
8_2112000_1032750000_3199000000,167.52862034999998,36.1412,155.91157620239258,36.101
8_2201600_1300500000_3199000000,164.20995844499998,42.70864,139.91331687164308,42.832
8_2201600_1236750000_3199000000,164.65329855000002,41.33162,142.55339922332763,42.116
8_2201600_1032750000_3199000000,167.33911837500003,36.86295,155.0485124359131,37.01
10_268800_828750000_2133000000,538.98239031,18.970035,664.8949644470215,13.342
10_422400_624750000_3199000000,410.2399938,21.341102,437.71992193603523,14.347
10_422400_522750000_2133000000,390.00545415,18.57812,434.54478887939445,18.46
