powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,56.0,17.0,2.5,9.0,4_422400_930750000_3199000000,600.2762145996094,8.0,41.9755,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,57.0,17.0,2.5,9.0,4_422400_930750000_3199000000,600.2762145996094,8.0,41.9755,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,58.0,17.0,2.5,9.0,4_422400_930750000_3199000000,600.2762145996094,8.0,41.9755,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,59.0,17.0,2.5,9.0,4_422400_930750000_3199000000,600.2762145996094,8.0,41.9755,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,60.0,17.0,2.5,9.0,4_422400_930750000_3199000000,600.2762145996094,8.0,41.9755,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,30.0,17.0,3.0,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,0.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,31.0,17.0,3.0,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,0.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,32.0,17.0,3.0,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,0.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,33.0,17.0,3.0,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,0.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,34.0,17.0,3.0,9.0,12_1036800_726750000_2133000000,714.4331970214844,8.0,33.62,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,35.0,17.0,3.0,9.0,12_1036800_726750000_2133000000,714.4331970214844,8.0,33.62,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,36.0,17.0,3.0,9.0,12_1036800_726750000_2133000000,714.4331970214844,8.0,33.62,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,37.0,17.0,3.0,9.0,12_1036800_726750000_2133000000,714.4331970214844,8.0,33.62,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,38.0,17.0,3.0,9.0,12_1036800_726750000_2133000000,714.4331970214844,8.0,33.62,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,39.0,17.0,3.0,9.0,12_1036800_726750000_2133000000,714.4331970214844,8.0,33.62,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,40.0,17.0,3.0,9.0,12_1036800_726750000_2133000000,714.4331970214844,8.0,33.62,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,41.0,17.0,3.0,9.0,12_1036800_726750000_2133000000,714.4331970214844,8.0,33.62,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,42.0,17.0,3.0,9.0,4_422400_930750000_3199000000,600.2762145996094,8.0,41.9755,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,43.0,17.0,3.0,9.0,4_422400_930750000_3199000000,600.2762145996094,8.0,41.9755,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,44.0,17.0,3.0,9.0,4_422400_930750000_3199000000,600.2762145996094,8.0,41.9755,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,45.0,17.0,3.0,9.0,4_422400_930750000_3199000000,600.2762145996094,8.0,41.9755,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,46.0,17.0,3.0,9.0,4_422400_930750000_3199000000,600.2762145996094,8.0,41.9755,1.0
12_1036800_726750000_2133000000,86.18309020996094,16.0,28.095,47.0,17.0,3.0,9.0,4_422400_930750000_3199000000,600.2762145996094,8.0,41.9755,1.0
