powermode,observed_time,observed_power,predicted_time,predicted_power
2_268800_318750000_204000000,4652791.768554688,11.94,4284413.1759,12.027593999999999
2_268800_318750000_2133000000,3505733.1479492188,13.145,4191340.6859999998,15.421603999999999
2_268800_318750000_3199000000,3895920.932861328,13.745,4675794.6027,16.619262
2_268800_318750000_665600000,3944931.745361328,12.141,4040552.2365,12.809546000000001
2_268800_216750000_204000000,4654651.866455078,11.537,4448086.316699999,11.814004
2_268800_216750000_2133000000,3578997.4865722656,13.143,4231677.8751,15.053421
2_268800_216750000_3199000000,3502337.710205078,13.747,4697246.385,15.982267
2_268800_216750000_665600000,3916211.383544922,12.141,4148365.2600000002,12.604128000000001
2_268800_114750000_204000000,4581940.1083984375,11.64,4620609.2321999995,11.651176
2_268800_114750000_2133000000,3543427.1352539062,13.145,4235592.1569,14.473778
2_268800_114750000_3199000000,3578049.90234375,13.847,4684677.855,15.366499
2_268800_114750000_665600000,3825461.4287109375,12.342,4291322.4042,12.429734
2_422400_1300500000_204000000,1720492.941772461,17.253,2351747.2875,14.105954
2_422400_1300500000_2133000000,938443.5672607422,19.06,2611358.139,17.542351999999998
2_422400_1300500000_3199000000,885649.6506347656,19.46,3077562.1461,19.584627
2_422400_1300500000_665600000,1052644.8626098633,17.857,2266897.0116,14.702802
2_422400_1236750000_204000000,2736471.8564453125,15.551,2406998.3145,13.939538
2_422400_1236750000_2133000000,1850766.2181396484,16.155,2645403.9924000003,17.279424
2_422400_1236750000_3199000000,1781949.7143554688,17.157,3109317.9585,19.092153999999997
2_422400_1236750000_665600000,2056397.604736328,15.25,2327194.0653,14.527567999999999
2_422400_1134750000_204000000,2655012.045288086,14.846,2446100.2956000003,13.687571
2_422400_1134750000_2133000000,1868201.6900634768,15.75,2696102.7873,16.88972
2_422400_1134750000_3199000000,1810584.1934814453,16.353,3163094.8167,18.518863
2_422400_1134750000_665600000,2016894.100830078,14.8505,2374631.2473,14.277638000000001
2_422400_1032750000_204000000,2670881.9143066406,14.445,2490388.7073000004,13.471409
2_422400_1032750000_2133000000,1859387.4688720703,14.95,2746945.1607,16.582836
2_422400_1032750000_3199000000,1821323.6315917969,15.951,3217171.386,18.268621
2_422400_1032750000_665600000,2010634.4874267576,14.451,2425379.3928,14.061686
2_422400_930750000_204000000,2704415.986694336,13.445,2539483.0305,13.455559
2_422400_930750000_2133000000,1882510.0064697263,14.948,2798971.227,16.35242
2_422400_930750000_3199000000,1788875.6813964844,15.55,3271097.739,18.169322
2_422400_930750000_665600000,2007173.5087890625,14.047,2480253.7968,13.902204
2_422400_828750000_204000000,2735812.9451904297,13.445,2602910.0955000003,13.527187
2_422400_828750000_2133000000,1853847.0146484373,14.547,2853023.5539,16.183456
2_422400_828750000_3199000000,1799790.8350830078,15.2495,3326673.441,18.135033
2_422400_828750000_665600000,2045081.4432373047,13.646,2536812.1818,13.949788
2_422400_726750000_204000000,2682129.637084961,13.144,2685889.2333,13.382095
2_422400_726750000_2133000000,1894527.30847168,14.148,2908180.6416,16.058244000000002
2_422400_726750000_3199000000,1813554.4141845703,15.25,3381844.8144,17.970988000000002
2_422400_726750000_665600000,2033134.293334961,13.245,2595977.6349,13.97691
