powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim,powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,num_train_batches_nn,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,time_cond1,time_cond2,powermode_nn_50,infer_time_nn_50,bs_nn_50,interleaved_power_nn_50,num_train_batches_nn_50,powermode_random_50,infer_time_random_50,bs_random_50,interleaved_power_random_50,num_train_batches_random_50
8_1344000_930750000_2133000000,92.20774459838869,1.0,33.215,36,10.0,15.0,2.0,1.0,8_729600_1134750000_3199000000,96.42403030395508,1.0,34.891,11.0,1.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,34.497,11.0,12_2201600_726750000_3199000000,95.03231811523438,1.0,34.757,10.0,True,0.016437232017517,1.016437232017517,0.016437232017517,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1036800_930750000_3199000000,84.47011184692383,1.0,36.915,37,12.0,15.0,2.0,1.0,8_1036800_930750000_3199000000,84.47011184692383,1.0,36.915,12.0,1.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,34.497,11.0,12_2201600_726750000_3199000000,95.03231811523438,1.0,34.757,10.0,True,0.016437232017517,1.016437232017517,0.016437232017517,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_930750000_3199000000,86.46763229370117,1.0,37.006,38,12.0,15.0,2.0,1.0,12_1036800_930750000_3199000000,78.41203308105469,1.0,37.909,12.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,4_1958400_930750000_3199000000,80.02644729614258,1.0,37.654,12.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_930750000_3199000000,86.46763229370117,1.0,37.006,39,12.0,15.0,2.0,1.0,12_1036800_930750000_3199000000,78.41203308105469,1.0,37.909,12.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,4_1958400_930750000_3199000000,80.02644729614258,1.0,37.654,12.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_1134750000_2133000000,83.29584121704102,1.0,39.025,40,11.0,13.0,2.0,1.0,12_2201600_930750000_3199000000,78.66961669921875,1.0,39.9625,13.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,4_1958400_930750000_3199000000,80.02644729614258,1.0,37.654,12.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_1134750000_2133000000,83.29584121704102,1.0,39.025,41,11.0,13.0,2.0,1.0,4_2201600_930750000_3199000000,76.92251205444336,1.0,40.3145,13.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_1134750000_2133000000,83.29584121704102,1.0,39.025,42,11.0,13.0,2.0,1.0,8_2201600_930750000_3199000000,76.03071975708008,1.0,41.016,13.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_1134750000_2133000000,83.29584121704102,1.0,39.025,43,11.0,13.0,2.0,1.0,8_2201600_930750000_3199000000,76.03071975708008,1.0,41.016,13.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_1134750000_2133000000,83.29584121704102,1.0,39.025,44,11.0,13.0,2.0,1.0,8_2201600_930750000_3199000000,76.03071975708008,1.0,41.016,13.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_1300500000_2133000000,79.74544143676758,1.0,44.538,45,12.0,14.0,2.0,1.0,12_1344000_1134750000_3199000000,70.60758209228516,1.0,44.826,14.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_1300500000_2133000000,79.74544143676758,1.0,44.538,46,12.0,14.0,2.0,1.0,8_2201600_1134750000_3199000000,69.61409759521484,1.0,45.828,14.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,47,14.0,14.0,2.0,1.0,8_1958400_1134750000_3199000000,66.93260955810547,1.0,46.13,14.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,48,14.0,14.0,2.0,1.0,8_1958400_1134750000_3199000000,66.93260955810547,1.0,46.13,14.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,49,14.0,14.0,2.0,1.0,8_1651200_1300500000_3199000000,72.36491012573242,1.0,48.133,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,50,14.0,14.0,2.0,1.0,4_2201600_1300500000_3199000000,66.8863525390625,1.0,49.623,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,51,14.0,14.0,2.0,1.0,4_2201600_1300500000_3199000000,66.8863525390625,1.0,49.623,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,52,14.0,14.0,2.0,1.0,4_2201600_1300500000_3199000000,66.8863525390625,1.0,49.623,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,53,15.0,14.0,2.0,1.0,8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,54,15.0,14.0,2.0,1.0,8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,55,15.0,14.0,2.0,1.0,4_1958400_1300500000_3199000000,63.62516784667969,1.0,54.343,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
