powermode,observed_time,observed_power,predicted_time,predicted_power
2_422400_726750000_204000000,2682129.637084961,13.144,1908228.6834,14.168342
2_422400_726750000_2133000000,1894527.30847168,14.148,866729.292,16.662229
2_422400_726750000_3199000000,1813554.4141845703,15.25,678549.73992,20.651375
2_422400_726750000_665600000,2033134.293334961,13.245,1579667.6844000001,14.358055
2_422400_624750000_204000000,2757161.4747314453,13.242,1904474.5746000002,13.984138999999999
2_422400_624750000_2133000000,1887569.3690185547,13.747,874045.0133999999,16.131027
2_422400_624750000_3199000000,1817864.3057861328,14.75,709952.99856,19.599758
2_422400_624750000_665600000,2048056.404541016,13.245,1561892.5217999998,14.163768
2_422400_522750000_204000000,2676705.043823242,12.841,1896970.1088,13.840149
2_422400_522750000_2133000000,1957838.3795776367,13.747,888069.0975,16.177256
2_422400_522750000_3199000000,1840491.171508789,14.851,746772.1248,19.166838
2_422400_522750000_665600000,2054292.3966064453,12.895,1546752.8543999998,13.999887000000001
2_422400_420750000_204000000,2770966.513671875,12.741,1894242.4059,13.757262
2_422400_420750000_2133000000,1890468.413330078,13.749,913342.521,16.348759
2_422400_420750000_3199000000,1814029.3923339844,14.452,795291.7011,18.987372999999998
2_422400_420750000_665600000,2056498.4375,12.944,1538134.104,13.928666
2_422400_318750000_204000000,2755103.752319336,12.242,1899500.1207,14.051159
2_422400_318750000_2133000000,1855754.3642578125,13.899,946747.5381000001,16.639666000000002
2_422400_318750000_3199000000,1804384.0335083008,15.2025,854832.7671,19.103099999999998
2_422400_318750000_665600000,2017114.2221069336,12.946,1530974.0823000001,14.301662
2_422400_216750000_204000000,2711884.837524414,12.342,1910171.5385999999,14.713714
2_422400_216750000_2133000000,1869347.0517578125,13.848,999405.2054999999,17.005018
2_422400_216750000_3199000000,1837369.2680664065,14.65,916245.9813000001,19.2903
2_422400_216750000_665600000,2030942.2708740237,12.944,1526779.5698999998,14.750799
2_422400_114750000_204000000,2707483.360717773,12.442,1922548.2939,15.480732
2_422400_114750000_2133000000,1896669.973815918,14.048,1066446.3072900001,17.379044999999998
2_422400_114750000_3199000000,1855350.246459961,14.852,980996.20515,19.524268
2_422400_114750000_665600000,2015696.554321289,13.0945,1533030.0687000002,15.377629
2_576000_1300500000_204000000,1497888.1661376953,19.9085,1590244.1528999999,18.762482
2_576000_1300500000_2133000000,337885.1612854004,27.382,648707.2877999999,26.812564
2_576000_1300500000_3199000000,257870.3206787109,29.789,450229.91052,31.978544999999997
2_576000_1300500000_665600000,456462.6957397461,24.5705,1279598.21535,20.378928
2_576000_1236750000_204000000,2059664.8759765625,16.4475,1624219.4435999999,17.736428
2_576000_1236750000_2133000000,1310607.993103027,17.202,658503.5262,25.461521
2_576000_1236750000_3199000000,1195477.238647461,17.856,445613.21961000003,30.64459
2_576000_1236750000_665600000,1395937.583190918,16.454,1304042.63535,19.10197
2_576000_1134750000_204000000,2047776.481201172,15.397,1691315.769,16.382531
2_576000_1134750000_2133000000,1273526.279663086,16.455,678658.3401,23.334592
2_576000_1134750000_3199000000,1215282.7401123047,17.054,446379.72677999997,28.567294999999998
2_576000_1134750000_665600000,1370920.3494873047,15.55,1347523.905,17.440846
2_576000_1032750000_204000000,1984720.278930664,14.947,1753649.7615,15.453365
2_576000_1032750000_2133000000,1270023.7479248047,16.151,691815.7584,21.2673
2_576000_1032750000_3199000000,1202174.6092529297,16.653,458031.66318000003,26.604283
2_576000_1032750000_665600000,1410894.4296875,15.251,1391810.22435,16.121467
2_576000_930750000_204000000,2040180.209350586,14.698,1772673.6963,14.838592
2_576000_930750000_2133000000,1302915.3292236328,15.65,698490.3549,19.39153
2_576000_930750000_3199000000,1201504.2475585938,16.252,482735.59229999996,24.721619999999998
2_576000_930750000_665600000,1402582.461364746,14.85,1428919.8264900001,15.246889
2_576000_828750000_204000000,2006087.662109375,14.343,1774408.6152000001,14.391707
2_576000_828750000_2133000000,1250046.7801513672,15.2505,700643.3108999999,17.912419999999997
2_576000_828750000_3199000000,1210965.5067749023,16.3535,509632.968,22.85312
2_576000_828750000_665600000,1437617.8563232422,14.449,1425169.2818999998,14.656979999999999
2_576000_726750000_204000000,2050835.144897461,13.847,1771470.6672,14.135599000000001
